string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	IsCash	IsTime	
iyyyy01	1	A30200	1	Клинг	302	300	11111	0	90	0	0	0	0	1	1	1	1	1	1	tiyyyy01	0	0	
iyyyy02	1	A30201	2	Харен	302	300	11111	0	400	0	0	0	0	4	1	1	1	1	1	tiyyyy02	0	0	
iyyyy03	1	A30202	3	Гриф	302	300	11111	0	1880	0	0	0	0	18	1	1	1	1	1	tiyyyy03	0	0	
iyyyy04	1	A30203	4	Рина	302	300	11111	0	8770	0	0	0	0	87	1	1	1	1	1	tiyyyy04	0	0	
iyyyy05	1	A30204	5	Мика	302	300	11111	0	100	0	0	0	0	1	1	1	1	1	1	tiyyyy05	0	0	
iyyyy06	1	A30205	6	Луас Мика	302	300	11111	0	480	0	0	0	0	4	1	1	1	1	1	tiyyyy06	0	0	
iyyyy07	1	A30206	7	Мид Мика	302	300	11111	0	2260	0	0	0	0	22	1	1	1	1	1	tiyyyy07	0	0	
iyyyy08	1	A30207	8	Вииф	302	300	11111	0	50	0	0	0	0	1	1	1	1	1	1	tiyyyy08	0	0	
iyyyy09	1	A30208	9	Цел Вииф	302	300	11111	0	270	0	0	0	0	2	1	1	1	1	1	tiyyyy09	0	0	
iyyyy10	1	A30209	10	Варт Вииф	302	300	11111	0	870	0	0	0	0	8	1	1	1	1	1	tiyyyy10	0	0	
iyyyy11	1	A3020A	11	Лаки	302	300	11111	0	4870	0	0	0	0	48	1	1	1	1	1	tiyyyy11	0	0	
iyyyy12	1	A3020B	12	Рира	302	300	11111	0	40	0	0	0	0	1	1	1	1	1	1	tiyyyy12	0	1	
iyyyy13	1	A3020C	13	Демо Рира	302	300	11111	0	220	0	0	0	0	2	1	1	1	1	1	tiyyyy13	0	0	
iyyyy14	1	A3020D	14	Деме Рира	302	300	11111	0	1250	0	0	0	0	12	1	1	1	1	1	tiyyyy14	0	0	
iyyyy15	1	A3020E	15	Жим	302	300	11111	0	4060	0	0	0	0	40	1	1	1	1	1	tiyyyy15	0	0	
iyyyy16	1	A3020F	16	Зид	302	300	11111	0	60	0	0	0	0	1	1	1	1	1	1	tiyyyy16	0	0	
iyyyy17	1	A30210	17	Сол Зид	302	300	11111	0	190	0	0	0	0	1	1	1	1	1	1	tiyyyy17	0	0	
iyyyy18	1	A30211	18	Шай Зид	302	300	11111	0	1040	0	0	0	0	10	1	1	1	1	1	tiyyyy18	0	0	
iyyyy19	1	A30212	19	Варм	302	300	11111	0	5850	0	0	0	0	58	1	1	1	1	1	tiyyyy19	0	0	
iyyyy20	1	A30213	20	БриДент	302	300	11111	0	120	0	0	0	0	1	1	1	1	1	1	tiyyyy20	0	0	
iyyyy21	1	A30214	21	Плю БриДент	302	300	11111	0	580	0	0	0	0	5	1	1	1	1	1	tiyyyy21	0	0	
iyyyy22	1	A30215	22	Саер БриДент	302	300	11111	0	2710	0	0	0	0	27	1	1	1	1	1	tiyyyy22	0	0	
iyyyy23	1	A30216	23	Глю	302	300	11111	0	10530	0	0	0	0	105	1	1	1	1	1	tiyyyy23	0	0	
iyyyy24	1	A30217	24	Биим	302	300	11111	0	12640	0	0	0	0	126	1	1	1	1	1	tiyyyy24	0	0	
iyyyy25	1	A30218	25	Серебряный Катализатор	302	300	11111	0	15000	0	0	0	0	150	1	1	1	1	1	tiyyyy25	0	0	
iyyyy26	1	A30219	26	Золотой Катализатор	302	300	11111	0	30000	0	0	0	0	300	1	1	1	1	1	tiyyyy26	0	0	
