dword	text	END
Count	desc	
0	Карта континента Асу [Зона оккупации Федерации 	
1	Карта континента Асу [Зона оккупации Священного Альянса 	
2	Карта континента Асу [Зона оккупации Империи 	
3	Карта континента Асу [Зона оккупации Федерации 	
4	Карта континента Асу [Зона оккупации Священного Альянса 	
5	Карта континента Асу [Зона оккупации Империи 	
6	Карта континента Асу [Укрепление Солус 	
7	Карта континента Асу [Укрепление Анакаде 	
8	Карта континента Асу [Нейтральные территории - Колонии Харам 	
9	Карта континента Асу [Нейтральные территории - Колонии Нумерус 	
10	Карта континента Асу [Нейтральные территории - Застава-213 	
11	Карта континента Асу [Нейтральные территории - Застава-117 	
12	Карта Шахт	
13	Карта Этера	
14	Карта Сеттовой Пустыни	
15	Карта Отрогов Вулкана Котел	
