clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	string[32]	string[32]	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	MapCode	DummyName	Lv	hz	hz	
iqbbb00	База Подготовки Федерации	730C00	1	11000	22	0	0	10	0	0	0	0	1	0	1	0	0	0	1	0	0	-1	NeutralB	dpfrom_resources	0	0	0	
iqccc00	База Подготовки Альянса	830C01	2	00110	22	0	0	10	0	0	0	0	1	0	1	0	0	1	1	0	0	-1	NeutralC	dpfrom_resources	0	0	0	
iqaaa00	База Подготовки Империи	430C02	3	00001	22	0	0	10	0	0	0	0	1	0	1	0	0	2	1	0	0	-1	NeutralA	dpfrom_resources	0	0	0	
iqbbb01	Генштаб Федерации	730C00	1	11000	22	0	0	1000	0	0	0	0	50	0	1	1	1	3	1	0	0	-1	NeutralB	dpfrom_resources	0	0	0	
iqccc01	Генштаб Альянса	830C01	2	00110	22	0	0	1000	0	0	0	0	50	0	1	1	1	4	1	0	0	-1	NeutralC	dpfrom_resources	0	0	0	
iqaaa01	Генштаб Империи	430C02	3	00001	22	0	0	1000	0	0	0	0	50	0	1	1	1	5	1	0	0	-1	NeutralA	dpfrom_resources	0	0	0	
iqbbb02	Аванпост Федерации	730C03	1	11000	22	0	0	1000	0	0	0	0	50	0	1	1	1	6	1	0	0	-1	NeutralB	dpfrom_bellato_HQ	0	0	0	
iqccc02	Аванпост Альянса	830C04	2	00110	22	0	0	1000	0	0	0	0	50	0	1	1	1	7	1	0	0	-1	NeutralC	dpfrom_cora_HQ	0	0	0	
iqaaa02	Аванпост Империи	430C05	3	00001	22	0	0	1000	0	0	0	0	50	0	1	1	1	8	1	0	0	-1	NeutralA	dpfrom_accretia_HQ	0	0	0	
iqbnn01	Укрепление Солус	730C06	1	11000	22	0	0	3000	0	0	0	0	150	0	1	1	1	9	1	0	0	-1	NeutralBS1	dpfrom_town	0	0	0	
iqbnn02	Укрепление Анакаде	730C07	1	11000	22	0	0	3000	0	0	0	0	150	0	1	1	1	10	1	0	0	-1	NeutralBS2	dpfrom_town	0	0	0	
iqcnn01	Колония Харам	830C08	2	00110	22	0	0	3000	0	0	0	0	150	0	1	1	1	11	1	0	0	-1	NeutralCS1	dpfrom_town	0	0	0	
