dword	text	END
Count	Desc	
0	Портал на Базу Подготовки Федерации Беллато	
1	Портал на Базу Подготовки Священного Альянса	
2	Портал на Базу Подготовки Военной Империи	
3	Портал в Генштаб Федерации	
4	Портал в Генштаб Альянса	
5	Портал в Генштаб Империи	
6	Портал на Аванпост Федерации	
7	Портал на Аванпост Альянса	
8	Портал на Аванпост Империи	
9	Портал в Укрепление Солус	
10	Портал в укрепление Анакаде	
11	Портал в колонию Харам	
12	Портал в колонию Нумерус	
13	Портал на Заставу 213	
14	Портал на Заставу 117	
15	Телепорт в Шахты	
16	Телепорт на Элан.	
17	Свиток Святой Птицы. Дает аномальный радиус для движения.	
18	Перемещает игрока на Этер, территория Федерации.	
19	Перемещает игрока на Этер, территория Альянса.	
20	Перемещает игрока на Этер, территория Империи.	
21	Перемещает игрока в локацию выбранного Пит-Босса.	
22	Перемещает игрока в локацию выбранного Пит-Босса.	
23	Перемещает игрока в локацию выбранного Пит-Босса.	
24	Перемещает игрока в локацию выбранного Пит-Босса.	
25	Перемещает игрока в локацию выбранного Пит-Босса.	
26	Перемещает игрока в локацию выбранного Пит-Босса.	
27	Перемещает игрока в локацию выбранного Пит-Босса.	
28	Перемещает игрока в локацию выбранного Пит-Босса.	
29	Перемещает игрока в локацию выбранного Пит-Босса.	
30	Перемещает игрока в локацию выбранного Пит-Босса.	
31	Перемещает игрока в локацию выбранного Пит-Босса.	
32	Перемещает игрока в локацию выбранного Пит-Босса.	
33	Перемещает игрока в локацию выбранного Пит-Босса.	
34	Перемещает игрока в локацию выбранного Пит-Босса.	
35	Перемещает игрока в локацию выбранного Пит-Босса.	
36	Перемещает игрока в локацию выбранного Пит-Босса.	
37	Перемещает игрока в локацию выбранного Пит-Босса.	
38	Перемещает игрока в локацию выбранного Пит-Босса.	
39	Перемещает игрока в локацию выбранного Пит-Босса.	
40	Перемещает игрока в локацию выбранного Пит-Босса.	
41	Перемещает игрока в локацию выбранного Пит-Босса.	
42	Перемещает игрока в локацию выбранного Пит-Босса.	
43	Перемещает игрока в локацию выбранного Пит-Босса.	
44	Перемещает игрока в локацию выбранного Пит-Босса.	
45	Перемещает игрока в локацию выбранного Пит-Босса.	
46	Перемещает игрока в локацию выбранного Пит-Босса.	
47	Перемещает игрока в локацию выбранного Пит-Босса.	
48	Перемещает игрока в локацию выбранного Пит-Босса.	
49	Перемещает игрока в локацию выбранного Пит-Босса.	
50	Перемещает игрока в локацию выбранного Пит-Босса.	
51	Перемещает игрока в локацию выбранного Пит-Босса.	
52	Перемещает игрока в локацию выбранного Пит-Босса.	
53	Перемещает игрока в локацию выбранного Пит-Босса.	
54	Перемещает игрока в локацию выбранного Пит-Босса.	
55	Перемещает игрока в локацию выбранного Пит-Босса.	
56	Перемещает игрока в локацию выбранного Пит-Босса.	
57	Перемещает игрока в локацию выбранного Пит-Босса.	
58	Перемещает игрока в локацию выбранного Пит-Босса.	
59	Перемещает игрока в локацию выбранного Пит-Босса.	
60	Перемещает игрока в локацию выбранного Пит-Босса.	
61	Перемещает игрока в локацию выбранного Пит-Босса.	
62	Перемещает игрока в локацию выбранного Пит-Босса.	
63	Перемещает игрока в локацию выбранного Пит-Босса.	
64	Перемещает игрока в локацию выбранного Пит-Босса.	
65	Перемещает игрока в локацию выбранного Пит-Босса.	
66	Перемещает игрока в локацию выбранного Пит-Босса.	
67	Перемещает игрока в локацию выбранного Пит-Босса.	
68	Перемещает игрока в локацию выбранного Пит-Босса.	
69	Перемещает игрока в локацию выбранного Пит-Босса.	
70	Свиток телепортации, предназначенный для перемещения в локацию Горы Чудовищ.	
71	Свиток телепортации, предназначенный для перемещения в локацию Земля Изгнанников.	
72	Перемещает игрока в локацию выбранного Пит-Босса.	
73	Перемещает игрока в локацию выбранного Пит-Босса.	
74	Свиток телепортации, предназначенный для перемещения в локацию Лаборатория Картелы.	
75	Предмет, который может телепортировать премиум пользователя из Верфи Федерации на Этере в Генштаб Федерации.	
76	Предмет, который может телепортировать премиум пользователя из Верфи Альянса на Этере в Генштаб Альянса.	
77	Предмет, который может телепортировать премиум пользователя из Верфи Империи на Этере в Генштаб Империи.	
