string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	MapCode	DummyName	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	Lv	UpLvLim	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	IsCash	UsePCCash	IsTime	
iqbbb00	1	730C00	1	База Подготовки Федерации	780	300	11000	NeutralB	dpfrom_resources	0	10	0	0	0	0	1	0	-1	1	0	0	0	1	tiqbbb00	0	0	0	
iqccc00	1	830C01	2	База Подготовки Альянса	780	300	00110	NeutralC	dpfrom_resources	0	10	0	0	0	0	1	0	-1	1	0	0	0	1	tiqccc00	0	0	0	
iqaaa00	1	430C02	3	База Подготовки Империи	780	300	00001	NeutralA	dpfrom_resources	0	10	0	0	0	0	1	0	-1	1	0	0	0	1	tiqaaa00	0	0	0	
iqbbb01	1	730C00	1	Генштаб Федерации	780	300	11000	NeutralB	dpfrom_resources	0	1000	0	0	0	0	50	0	-1	1	0	1	1	1	tiqbbb01	0	0	0	
iqccc01	1	830C01	2	Генштаб Альянса	780	300	00110	NeutralC	dpfrom_resources	0	1000	0	0	0	0	50	0	-1	1	0	1	1	1	tiqccc01	0	0	0	
iqaaa01	1	430C02	3	Генштаб Империи	780	300	00001	NeutralA	dpfrom_resources	0	1000	0	0	0	0	50	0	-1	1	0	1	1	1	tiqaaa01	0	0	0	
iqbbb02	1	730C03	1	Аванпост Федерации	780	300	11000	NeutralB	dpfrom_bellato_HQ	0	1000	0	0	0	0	50	0	-1	1	0	1	1	1	tiqbbb02	0	0	0	
iqccc02	1	830C04	2	Аванпост Альянса	780	300	00110	NeutralC	dpfrom_cora_HQ	0	1000	0	0	0	0	50	0	-1	1	0	1	1	1	tiqccc02	0	0	0	
iqaaa02	1	430C05	3	Аванпост Империи	780	300	00001	NeutralA	dpfrom_accretia_HQ	0	1000	0	0	0	0	50	0	-1	1	0	1	1	1	tiqaaa02	0	0	0	
iqbnn01	1	730C06	1	Укрепление Солус	780	300	11000	NeutralBS1	dpfrom_town	0	3000	0	0	0	0	150	0	-1	1	0	1	1	1	tiqbnn01	0	0	0	
iqbnn02	1	730C07	1	Укрепление Анакаде	780	300	11000	NeutralBS2	dpfrom_town	0	3000	0	0	0	0	150	0	-1	1	0	1	1	1	tiqbnn02	0	0	0	
iqcnn01	1	830C08	2	Колония Харам	780	300	00110	NeutralCS1	dpfrom_town	0	3000	0	0	0	0	150	0	-1	1	0	1	1	1	tiqcnn01	0	0	0	
iqcnn02	1	830C09	2	Колония Нумерус	780	300	00110	NeutralCS2	dpfrom_town	0	3000	0	0	0	0	150	0	-1	1	0	1	1	1	tiqcnn02	0	0	0	
iqann01	1	430C0A	3	Застава-213	780	300	00001	NeutralAS1	dpfrom_town	0	3000	0	0	0	0	150	0	-1	1	0	1	1	1	tiqann01	0	0	0	
iqann02	1	430C0B	3	Застава-117	780	300	00001	NeutralAS2	dpfrom_town	0	3000	0	0	0	0	150	0	-1	1	0	1	1	1	tiqann02	0	0	0	
iqres01	1	A30C0C	3	Краговы Шахты	780	300	11111	resources	dpfrom_town	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	tiqres01	0	0	0	
iqell01	1	A30C0D	3	Плато Элан	780	300	11111	Elan	dp_elan_start	0	1000	0	0	0	0	50	45	-1	1	1	1	1	1	tiqell01	0	0	0	
iqtwe01	1	A30C0E	4	MagpieScroll	780	300	11111	resources	dpfrom_town	0	20000	0	0	0	0	1000	0	-1	1	1	1	1	1	tiqtwe01	0	0	0	
iqcsa01	1	730C00	5	Этерская территория Федерации	780	300	11000	Platform01	dsstart0	0	1	0	0	0	0	0	35	-1	1	0	0	1	1	tiqcsa01	1	0	0	
iqcsa02	1	830C01	6	Этерская территория Священного Альянса	780	300	00110	Platform01	dsstart1	0	1	0	0	0	0	0	35	-1	1	0	0	1	1	tiqcsa02	1	0	0	
iqcsa03	1	430C02	7	Этерская территория Империи	780	300	00001	Platform01	dsstart2	0	1	0	0	0	0	0	35	-1	1	0	0	1	1	tiqcsa03	1	0	0	
iqcsa04	1	430C02	8	Телепорт Предводителя Шипоголовов	780	300	00001	NeutralA	dmm66_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa04	1	0	0	
iqcsa05	1	730C00	9	Телепорт Царя Саблезубов	780	300	11000	NeutralB	dmm49_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa05	1	0	0	
iqcsa06	1	830C01	10	Телепорт Царя Саблезубов	780	300	00110	NeutralC	dmm45_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa06	1	0	0	
iqcsa07	1	430C02	11	Телепорт Бешеного Молотоглава	780	300	00001	NeutralA	dmm82_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa07	1	0	0	
iqcsa08	1	730C00	12	Телепорт Бешеного Молотоглава	780	300	11000	NeutralB	dmm19_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa08	1	0	0	
iqcsa09	1	830C01	13	Телепорт Бешеного Молотоглава	780	300	00110	NeutralC	dmm61_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa09	1	0	0	
iqcsa10	1	430C02	14	Телепорт Молодого Раптора Доминанта	780	300	00001	NeutralA	dmm52_1	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa10	1	0	0	
iqcsa11	1	730C00	15	Телепорт Свирепого Ратозверя	780	300	11000	NeutralB	dmm48_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa11	1	0	0	
iqcsa12	1	830C01	16	Телепорт Свирепого Ратозверя	780	300	00110	NeutralC	dmm33_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa12	1	0	0	
iqcsa13	1	430C02	17	Телепорт Стального Аргола	780	300	00001	NeutralA	dmm78_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa13	1	0	0	
iqcsa14	1	730C00	18	Телепорт Стального Аргола	780	300	11000	NeutralB	dmm40_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa14	1	0	0	
iqcsa15	1	830C01	19	Телепорт Змееголова Военачальника	780	300	00110	NeutralC	dmm23_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa15	1	0	0	
iqcsa16	1	430C02	20	Телепорт Царя Скорпионов	780	300	00001	NeutralAS1	dmm08_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa16	1	0	0	
iqcsa17	1	730C00	21	Телепорт Царя Скорпионов	780	300	11000	NeutralBS1	dmm0913_0	0	1	0	0	0	0	0	0	-1	1	1	1	1	1	tiqcsa17	1	0	0	
