clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	xeh	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	ISCash	IsTime	UpLvLim	IsQualification	TerminateTime	EndIF	MobID	MobCount	Exp	Dalant	Gold	hz	hz	
ixbdn25	Врата Территории Войны 	A30D00	1	11111	23	0	0	20000	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	300	1	-1	200	0	10000	0	0	0	
ixbdp25	Врата Территории Войны 	A30D01	1	11111	23	0	0	20000	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	300	2	041A3	1	0	10000	0	0	0	
ixbdn20	Врата Территории Войны 	A30D02	1	11111	23	0	0	10000	0	0	0	0	1	1	1	1	0	2	1	0	0	0	0	300	1	-1	300	0	10000	0	0	0	
ixbdp20	Врата Территории Войны 	A30D03	1	11111	23	0	0	10000	0	0	0	0	1	1	1	1	0	3	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey01	Ключ Активации Врат 	A30D04	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	4	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey02	Ключ Активации Врат 	A30D05	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	5	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey03	Ключ Активации Врат 	A30D06	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	6	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey04	Ключ Активации Врат 	A30D07	2	11111	23	0	0	3000	0	0	0	0	100	1	1	1	1	7	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey05	Ключ Активации Врат 	A30D08	2	11111	23	0	0	3000	0	0	0	0	100	1	1	1	1	8	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey06	Ключ Активации Врат 	A30D09	2	11111	23	0	0	3000	0	0	0	0	100	1	1	1	1	9	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey07	Ключ Активации Врат 	A30D0A	2	11111	23	0	0	3500	0	0	0	0	100	1	1	1	1	10	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey08	Ключ Активации Врат 	A30D0B	2	11111	23	0	0	3500	0	0	0	0	100	1	1	1	1	11	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey09	Ключ Активации Врат 	A30D0C	2	11111	23	0	0	3500	0	0	0	0	100	1	1	1	1	12	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey10	Ключ Активации Врат 	A30D0D	2	11111	23	0	0	3500	0	0	0	0	100	1	1	1	1	13	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey11	Ключ Активации Врат 	A30D0E	2	11111	23	0	0	4000	0	0	0	0	100	1	1	1	1	14	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey12	Ключ Активации Врат 	A30D0F	2	11111	23	0	0	4000	0	0	0	0	100	1	1	1	1	15	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey13	Ключ Активации Врат 	A30D10	2	11111	23	0	0	4000	0	0	0	0	100	1	1	1	1	16	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey14	Ключ Активации Врат 	A30D11	2	11111	23	0	0	4000	0	0	0	0	100	1	1	1	1	17	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
