dword	text	END
Count	desc	
0	Обычные Врата Территории Войны	
1	Обычные Врата Территории Войны	
2	Обычные Врата Территории Войны	
3	Обычные Врата Территории Войны	
4	Ключ активации Врат Территории Войны с Вертоботами. Уровни : 15-20.	
5	Ключ активации Врат Территории Войны с Флемами. Уровни : 21-25.	
6	Ключ активации Врат Территории Войны с Шипоголовами. Уровни : 21-25.	
7	Ключ активации Врат Территории Войны со Скарабеями. Уровни : 26-30.	
8	Ключ активации Врат Территории Войны со Скорпионами. Уровни : 26-30.	
9	Ключ активации Врат Территории Войны с Красными скорпионами. Уровни : 26-30.	
10	Ключ активации Врат Территории Войны с Саблезубами. Уровни : 31-35.	
11	Ключ активации Врат Территории Войны с Огненными монстрами. Уровни : 31-35.	
12	Ключ активации Врат Территории Войны с Огненными Элементалями. Уровни : 31-35.	
13	Ключ активации Врат Территории Войны с Арголами. Уровни : 31-35.	
14	Ключ активации Врат Территории Войны с Ящерами. Уровни : 36-40.	
15	Ключ активации Врат Территории Войны с Культистами. Уровни : 36-40.	
16	Ключ активации Врат Территории Войны с Дроидами. Уровни : 36-40.	
17	Ключ активации Врат Территории Войны со Змееголовами. Уровни : 36-40.	
18	Ключ активации Врат Территории Войны со Слизнями Уровни : 41-45.	
19	Ключ активации Врат Территории Войны с Робо-монстрами. Уровни : 41-45.	
20	Ключ активации Врат Территории Войны с Мотыльками. Уровни : 41-45.	
21	Ключ активации Врат Территории Войны с Лобстерами. Уровни : 41-45.	
22	Ключ активации Врат Территории Войны с Патрульными роботами. Уровни : 41-45.	
23	Ключ активации Врат Территории Войны с Шипоголовами. Уровни : 46-49.	
24	Ключ активации Врат Территории Войны с Русалками. Уровни : 46-49.	
25	Ключ активации Врат Территории Войны с Гиперморфами. Уровни : 46-49.	
26	Ключ активации Врат Территории Войны с Калианами. Уровни : 46-49.	
27	Ключ активации Врат Территории Войны с Предателями. Уровни : 46-49.	
28	Ключ активации Врат Цитадели	
29	Отдаленная Территория Войны для 50 уровней. [Территория Войн Механоидов 	
30	Отдаленная Территория Войны для 50 уровней. [Территория войн Инферналов 	
31	Отдаленная Территория Войны для 50 уровней. [Территория Войн Калиан 	
32	Отдаленная Территория Войны для 50 уровней. [Территория Войн Предателей 	
33	Отдаленная Территория Войны для 50 уровней.	
34	Ключ активации Врат Цитадели	
35	Ключ активации Врат Цитадели	
36	Обычные Врата Территории Войны	
37	Обычные Врата Территории Войны	
38	Обычные Врата Территории Войны	
39	Обычные Врата Территории Войны	
40	Обычные Врата Территории Войны	
41	Обычные Врата Территории Войны	
42	Подземелье, в которое могут войти только персонажи 48~51 уровня.	
43	Подземелье, в которое могут войти только персонажи 45~60 уровня.	
44	Кольцо авантюриста, уклонение 100%	
45	Ключ, открывающий дверь в другое временное пространство. Использовать могут только персонажи с 56 по 66 уровень.	
46	Ключ, открывающий дверь в другое временное пространство будущего. Использовать могут только персонажи с 56 по 66 уровень.	
