string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	string[64]	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	MapCode	DummyName	GenMob	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsQualification	MobAdd	TerminateTime	EndIF	MobID	MobCount	IsItemLooting	Exp	Dalant	Gold	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	MissionIndex	IsTime	
ixbdn25	1	A30D00	1	Врата Территории Войны 	781	300	11111	Dungeon00	_	0	0	20000	0	0	0	0	1	0	0	300	1	-1	200	0	0	10000	0	1	1	1	0	1	tixbdn25	ixm001	0	
ixbdp25	1	A30D01	1	Врата Территории Войны 	781	300	11111	Dungeon00	_	1	0	20000	0	0	0	0	1	1	0	300	2	041A3	1	0	0	10000	0	1	1	1	0	1	tixbdp25	ixm002	0	
ixbdn20	1	A30D02	1	Врата Территории Войны 	781	300	11111	Dungeon00	_	0	0	10000	0	0	0	0	1	0	0	300	1	-1	300	0	0	10000	0	1	1	1	0	1	tixbdn20	0	0	
ixbdp20	1	A30D03	1	Врата Территории Войны 	781	300	11111	Dungeon00	_	1	0	10000	0	0	0	0	1	1	0	300	1	-1	300	0	0	10000	0	1	1	1	0	1	tixbdp20	0	0	
ixkey01	1	A30D04	2	Ключ Активации Врат 	781	300	11111	Dungeon00_1520_winBoss	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey01	0	0	
ixkey02	1	A30D05	2	Ключ Активации Врат 	781	300	11111	Dungeon00_2125_flmBoss	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey02	0	0	
ixkey03	1	A30D06	2	Ключ Активации Врат 	781	300	11111	Dungeon00_2125_snt	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey03	0	0	
ixkey04	1	A30D07	2	Ключ Активации Врат 	781	300	11111	Dungeon00_2630_grmBoss	_	0	0	3000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey04	0	0	
ixkey05	1	A30D08	2	Ключ Активации Врат 	781	300	11111	Dungeon00_2630_gaf	_	0	0	3000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey05	0	0	
ixkey06	1	A30D09	2	Ключ Активации Врат 	781	300	11111	Dungeon00_2630_huBoss	_	0	0	3000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey06	0	0	
ixkey07	1	A30D0A	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3135_splBoss	_	0	0	3500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey07	0	0	
ixkey08	1	A30D0B	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3135_bolBoss	_	0	0	3500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey08	0	0	
ixkey09	1	A30D0C	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3135_sizl	_	0	0	3500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey09	0	0	
ixkey10	1	A30D0D	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3135_arg	_	0	0	3500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey10	0	0	
ixkey11	1	A30D0E	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3640_lizBoss	_	0	0	4000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey11	0	0	
ixkey12	1	A30D0F	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3640_crlBoss	_	0	0	4000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey12	0	0	
ixkey13	1	A30D10	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3640_lav	_	0	0	4000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey13	0	0	
ixkey14	1	A30D11	2	Ключ Активации Врат 	781	300	11111	Dungeon00_3640_vaf	_	0	0	4000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey14	0	0	
ixkey15	1	A30D12	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4145_cldBoss	_	0	0	4500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey15	0	0	
ixkey16	1	A30D13	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4145_hobBoss	_	0	0	4500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey16	0	0	
ixkey17	1	A30D14	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4145_thrn	_	0	0	4500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey17	0	0	
ixkey18	1	A30D15	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4145_king	_	0	0	4500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey18	0	0	
ixkey19	1	A30D16	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4145_pasBoss	_	0	0	4500	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey19	0	0	
ixkey20	1	A30D17	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4650_sntBoss	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey20	0	0	
ixkey21	1	A30D18	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4650_helBoss	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey21	0	0	
ixkey22	1	A30D19	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4650_ana	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey22	0	0	
ixkey23	1	A30D1A	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4650_kali	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey23	0	0	
ixkey24	1	A30D1B	2	Ключ Активации Врат 	781	300	11111	Dungeon00_4650_trnBoss	_	0	0	5000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey24	0	0	
ixkey25	1	A30D1C	3	Ключ Активации Врат 	781	300	11111	DarkHole_01	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey25	0	0	
ixkey26	1	A30D1D	3	Ключ Активации Врат 	781	300	11111	Dungeon00_50_horaMechanic	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey26	0	0	
ixkey27	1	A30D1E	3	Ключ Активации Врат 	781	300	11111	Dungeon00_50_horaIInfernal	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey27	0	0	
ixkey28	1	A30D1F	3	Ключ Активации Врат 	781	300	11111	Dungeon00_50_horaKali	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey28	0	0	
ixkey29	1	A30D20	3	Ключ Активации Врат 	781	300	11111	Dungeon00_50_horaTrn	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey29	0	0	
ixkey30	1	A30D21	3	Ключ Активации Врат 	781	300	11111	Dungeon00_50_horaRex	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey30	0	0	
ixkey31	1	A30D22	3	Ключ Активации Врат 	781	300	11111	DarkHole_02	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey31	0	0	
ixkey32	1	A30D23	3	Ключ Активации Врат 	781	300	11111	DarkHole_08	_	0	0	10000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixkey32	0	0	
ixbde25	1	A30D00	1	Территория Событий25~30	781	300	11111	dungeon00_Evnt_30	_	0	0	200000	0	0	0	0	1	0	0	300	1	-1	200	0	0	250000	0	0	0	0	0	0	tixbde25	ixm001	0	
ixbde35	1	A30D02	1	Территория Событий31~35	781	300	11111	dungeon00_Evnt_3140	_	2	0	500000	0	0	0	0	1	0	0	300	1	-1	300	0	0	500000	0	0	0	0	0	0	tixbde35	ixm001	0	
ixbde40	1	A30D03	1	Территория Событий36~40	781	300	11111	dungeon00_Evnt_41	_	4	0	1000000	0	0	0	0	1	0	0	300	1	-1	300	0	0	1000000	0	0	0	0	0	0	tixbde40	ixm001	0	
ixbee25	1	A30D00	1	Территория Событий30 	781	300	11111	dungeon00_EvntRe_30	_	0	0	2000000	0	0	0	0	1	1	0	600	1	-1	300	0	0	500000	0	1	1	0	1	1	tixbee25	ixm001	0	
ixbee35	1	A30D02	1	Территория Событий35 	781	300	11111	dungeon00_EvntRe_3140	_	2	0	2000000	0	0	0	0	1	1	0	600	1	-1	300	0	0	500000	0	1	1	0	1	1	tixbee35	ixm001	0	
ixbee40	1	A30D03	1	Территория Событий40 	781	300	11111	dungeon00_EvntRe_41	_	4	0	2000000	0	0	0	0	1	1	0	600	1	-1	300	0	0	500000	0	1	1	0	1	1	tixbee40	ixm001	0	
ixins01	1	A30D30	1	Ключ для создания Врат Войны 	781	300	11111	instant_01	_	0	0	39000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixins01	0	0	
ixins02	1	A30D31	1	Ключ для создания Врат Войны 	781	300	11111	instant_02	_	0	0	39000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixins02	0	0	
ixins03	1	A30D32	1	Ключ от Пространственных Врат [Настоящее  	781	300	11111	instant_03	_	0	0	39000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixins03	0	0	
ixins04	1	A30D33	1	Ключ от Пространственных Врат [Будущее  	781	300	11111	instant_04	_	0	0	39000	0	0	0	0	100	1	0	300	1	-1	300	0	0	10000	0	1	1	1	1	1	tixins04	0	0	
