clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	xeh	dword	dword	float	dword	dword	dword	dword	byte	byte	word	dword	dword	xeh	dword	byte	byte	byte	byte	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	dword	hex	hex	hex	xeh	xeh	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	Storeprice	IsExchage	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	Level	MeshID	HitPoint	LvLim	Radius	StartTime	hz	hz	hz	Height	Width	none	AttMin	AttMax	hz	DeFc	fire	water	soil	wind	Speed	NumItem	ItemType1	ItemType2	ItemType3	ItemType4	ItemType5	none	ItemIndex1	ItemIndex2	ItemIndex3	ItemIndex4	ItemIndex5	ItemCode1	ItemCode2	ItemCode3	ItemCode4	ItemCode5	NeedItem1	NeedItem2	NeedItem3	NeedItem4	NeedItem5	AttEff	DefEff	hz
gtbb000	Охранная Турель Федерации(system)	730E00	1	11000	25	0	0	10000	0	0	0	0	500	1	1	1	1	0	1	0	0	-1	67	7000	346400	30	450	180	0	0	0	30	20	0	331104	367891	ff00	13192	20	20	20	20	1000	2	17	17	-1	-1	-1	0	34	37	0	0	0	010504c6	010004c6	ffffffff	0	0	2	5	0	0	0	11	2	2490563
gtbb001	Охранная Турель Альфа(Bellato1)	730E00	1	11000	25	0	0	10000	0	0	0	0	500	1	1	1	1	1	1	0	0	-1	30	7000	16120	30	330	10	0	0	0	30	20	0	1442	1602	ff00	671	20	20	20	20	2000	2	17	17	-1	-1	-1	0	34	37	0	0	0	010504c6	010004c6	ffffffff	0	0	2	2	0	0	0	11	2	2490563
gtbb002	Охранная Турель Бета	730E00	1	11000	25	0	0	20000	0	0	0	0	1000	1	1	1	1	2	1	0	0	-1	38	7000	20010	35	330	10	0	0	0	30	20	0	4733	5259	ff00	1151	20	20	20	20	2000	2	17	17	-1	-1	-1	0	34	37	0	0	0	010504c6	010004c6	ffffffff	0	0	3	3	0	0	0	11	2	2490563
gtbb003	Охранная Турель Гамма(Bellato3)	730E00	1	11000	25	0	0	50000	0	0	0	0	2500	1	1	1	1	3	1	0	0	-1	43	7000	22570	40	330	10	0	0	0	30	20	0	10622	11802	ff00	1503	20	20	20	20	2000	2	17	17	-1	-1	-1	0	35	38	0	0	0	020504c6	020004c6	ffffffff	0	0	2	2	0	0	0	11	2	2490563
gtbb004	Эпохальная Охранная Турель	730E00	1	11000	25	0	0	1000000	0	0	0	0	50000	1	1	1	1	4	1	0	0	-1	50	7000	26210	45	330	10	0	0	0	30	20	0	26655	29616	ff00	3110	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	76	0	0	251818d8	261818d8	010807d6	0	0	5	5	1	0	0	11	2	2490563
gtbb005	Эпохальная Охранная Турель Мк.2	730E00	1	11000	25	0	0	2500000	0	0	0	0	125000	1	1	1	1	5	1	0	0	-1	55	7000	28610	50	450	10	0	0	0	30	20	0	52254	58061	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	76	0	0	251818d8	261818d8	010807d6	0	0	10	10	1	0	0	11	2	2490563
gtbb006	Охранная Турель Дзета(Bellato6)	730E00	1	11000	25	0	0	3000000	0	0	0	0	150000	1	1	1	1	6	1	0	0	-1	56	7000	29260	53	450	10	0	0	0	30	20	0	59238	65820	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	77	0	0	251818d8	261818d8	020807d6	0	0	15	15	1	0	0	11	2	2490563
gtbb007	Автоматическая буровая установка(Bellato)	730E00	1	11000	25	0	0	4000000	0	0	0	0	200000	1	1	1	1	7	1	0	0	-1	57	7000	29620	55	450	10	0	0	0	30	20	0	67589	75098	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	77	0	0	251818d8	261818d8	020807d6	0	0	20	20	1	0	0	11	2	2490563
gtbb008	Усиленная Эпохальная Охранная Турель Т1	730E00	1	11000	25	0	0	10000	0	0	0	0	500	1	1	1	1	8	1	0	0	-1	55	7000	28610	50	450	10	0	0	0	30	20	0	54867	60964	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	76	0	0	251818d8	261818d8	010807d6	0	0	30	30	1	0	0	11	2	2490563
gtbb009	Усиленная Эпохальная Охранная Турель Т2	730E00	1	11000	25	0	0	10000	0	0	0	0	500	1	1	1	1	9	1	0	0	-1	55	7000	28610	50	450	10	0	0	0	30	20	0	60092	66770	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	76	0	0	251818d8	261818d8	010807d6	0	0	30	30	1	0	0	11	2	2490563
