dword	text	END
Count	desc	
0	Система Охранных Турелей Федерации	
1	Охранная Турель Федерации Тип-Альфа. Может использоваться только Специалистами.	
2	Охранная Турель Федерации Тип-Бета. Может использоваться только Специалистами.	
3	Охранная Турель Федерации Тип-Гамма. Может использоваться только Специалистами.	
4	Охранная Турель Федерации Тип-Дельта. Может использоваться только Специалистами.	
5	Охранная Турель Федерации Тип-Эпсилон. Может использоваться только Специалистами.	
6	Охранная Турель Федерации Тип-Дзета. Может использоваться только Специалистами.	
7	Охранная Турель Федерации Тип-Тета. Может использоваться только Специалистами.	
8	Комплект для установки охранной турели типа H, используется армией Федерации.Слабо увеличивает силу атаки.	
9	Комплект для установки охранной турели типа I, используется армией Федерации.Сильно увеличивает силу атаки.	
10	Комплект для установки охранной турели типа J, используется армией Федерации.Слабо увеличивает силу атаки.	
11	Комплект для установки охранной турели типа K, используется армией Федерации.Сильно увеличивает силу атаки.	
12	Комплект для установки охранной турели типа L, используется армией Федерации.Слабо увеличивает силу атаки.	
13	Комплект для установки охранной турели типа M, используется армией Федерации.Сильно увеличивает силу атаки.	
14	Охранная Турель Федерации Тип-Ню. Может использоваться только Специалистами.	
15	Охранная Турель Федерации Тип-Кси. Может использоваться только Специалистами.	
16	Охранная Турель Федерации Тип-Омикрон. Может использоваться только Специалистами.	
17	Охранная Турель Федерации Тип-Пи. Может использоваться только Специалистами.	
18	Охранная Турель Федерации Тип-Ро. Может использоваться только Специалистами.	
19	Охранная Турель Федерации Тип-Сигма. Может использоваться только Специалистами.	
20	Охранная Турель Федерации Тип-Тау. Может использоваться только Специалистами.	
21	Система Охранных Турелей Альянса	
22	Охранная Турель Священного Альянса Тип-Альфа. Может использоваться только Специалистами.	
23	Охранная Турель Священного Альянса Тип-Бета. Может использоваться только Специалистами.	
24	Охранная Турель Священного Альянса Тип-Гамма. Может использоваться только Специалистами.	
25	Охранная Турель Священного Альянса Тип-Дельта. Может использоваться только Специалистами.	
26	Охранная Турель Священного Альянса Тип-Эпсилон. Может использоваться только Специалистами.	
27	Охранная Турель Священного Альянса Тип-Дзета. Может использоваться только Специалистами.	
28	Охранная Турель Священного Альянса Тип-Тета. Может использоваться только Специалистами.	
29	Комплект для установки охранной турели типа H, используется армией Альянса.Слабо увеличивает силу атаки.	
30	Комплект для установки охранной турели типа I, используется армией Альянса.Сильно увеличивает силу атаки.	
31	Комплект для установки охранной турели типа J, используется армией Альянса.Слабо увеличивает силу атаки.	
32	Комплект для установки охранной турели типа K, используется армией Альянса.Сильно увеличивает силу атаки.	
33	Комплект для установки охранной турели типа L, используется армией Альянса.Слабо увеличивает силу атаки.	
34	Комплект для установки охранной турели типа M, используется армией Альянса.Сильно увеличивает силу атаки.	
35	Охранная Турель Священного Альянса Тип-Ню. Может использоваться только Специалистами.	
36	Охранная Турель Священного Альянса Тип-Кси. Может использоваться только Специалистами.	
37	Охранная Турель Священного Альянса Тип-Омикрон. Может использоваться только Специалистами.	
38	Охранная Турель Священного Альянса Тип-Пи. Может использоваться только Специалистами.	
39	Охранная Турель Священного Альянса Тип-Ро. Может использоваться только Специалистами.	
40	Охранная Турель Священного Альянса Тип-Сигма. Может использоваться только Специалистами.	
41	Охранная Турель Священного Альянса Тип-Тау. Может использоваться только Специалистами.	
42	Система Охранных Турелей Империи	
43	Охранная Турель Империи Тип-Альфа. Может использоваться только Специалистами.	
44	Охранная Турель Империи Тип-Бета. Может использоваться только Специалистами.	
45	Охранная Турель Империи Тип-Гамма. Может использоваться только Специалистами.	
46	Охранная Турель Империи Тип-Дельта. Может использоваться только Специалистами.	
47	Охранная Турель Империи Тип-Эпсилон. Может использоваться только Специалистами.	
48	Охранная Турель Империи Тип-Дзета. Может использоваться только Специалистами.	
49	Охранная Турель Империи Тип-Тета. Может использоваться только Специалистами.	
50	Комплект для установки охранной турели типа H, используется армией Империи.Слабо увеличивает силу атаки.	
51	Комплект для установки охранной турели типа I, используется армией Империи.Сильно увеличивает силу атаки.	
52	Комплект для установки охранной турели типа J, используется армией Империи.Слабо увеличивает силу атаки.	
53	Комплект для установки охранной турели типа K, используется армией Империи.Сильно увеличивает силу атаки.	
54	Комплект для установки охранной турели типа L, используется армией Империи.Слабо увеличивает силу атаки.	
55	Комплект для установки охранной турели типа M, используется армией Империи.Сильно увеличивает силу атаки.	
56	Охранная Турель Империи Тип-Ню. Может использоваться только Специалистами.	
57	Охранная Турель Империи Тип-Кси. Может использоваться только Специалистами.	
58	Охранная Турель Империи Тип-Омикрон. Может использоваться только Специалистами.	
59	Охранная Турель Империи Тип-Пи. Может использоваться только Специалистами.	
60	Охранная Турель Империи Тип-Ро. Может использоваться только Специалистами.	
61	Охранная Турель Империи Тип-Сигма. Может использоваться только Специалистами.	
62	Охранная Турель Империи Тип-Тау. Может использоваться только Специалистами.	
