string[64]	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	dword	dword	dword	dword	dword	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	Model	MeshID	Name	Civil	LvLim	UpLvLim	ExpertLim	ExpTime	EffectGroup	Icon	Level	Height	Width	AttGap	Attack_DP	GADst	GASpd	AttSklUnit	GAMinAF	GAMaxAF	GAMinSelProb	GAMaxSelProb	DefSklUnit	DefFc	DefGap	DefFacing	Property	Fire	Water	Soil	Wind	EffCode1	EffUnit1	EffCode2	EffUnit2	Duration	MaxHP	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	Material1	Num1	Material2	Num2	Material3	DNum3	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	IsUpgrade	ToolTip	AttEffType	DefEffType	IsTime	
gtbb000	730E00	7000	Охранная Турель Федерации(system)	11000	30	-1	0	180	0	1	67	30	20	0,5	0	450	1000	400	331104	367891	30	50	99	13192	0,5	0,057390999	-1	20	20	20	20	0	0	0	0	0	346400	0	10000	0	0	0	0	500	irgef01	2	irgea01	5	-1	0	1	1	1	1	1	0	tgtbb000	11	2	0	
gtbb001	730E00	7000	Охранная Турель Альфа(Bellato1)	11000	30	-1	0	10	0	1	30	30	20	0,5	0	330	2000	99	1442	1602	30	50	99	671	0,5	0,310716987	-1	20	20	20	20	0	0	0	0	0	16120	0	10000	0	0	0	0	500	irgef01	2	irgea01	2	-1	0	1	1	1	1	1	0	tgtbb001	11	2	0	
gtbb002	730E00	7000	Охранная Турель Бета	11000	35	-1	0	10	0	1	38	30	20	0,5	0	330	2000	150	4733	5259	30	50	99	1151	0,5	0,206907004	-1	20	20	20	20	0	0	0	0	0	20010	0	20000	0	0	0	0	1000	irgef01	3	irgea01	3	-1	0	1	1	1	1	1	0	tgtbb002	11	2	0	
gtbb003	730E00	7000	Охранная Турель Гамма(Bellato3)	11000	40	-1	0	10	0	1	43	30	20	0,5	0	330	2000	200	10622	11802	30	50	99	1503	0,5	0,166804999	-1	20	20	20	20	0	0	0	0	0	22570	0	50000	0	0	0	0	2500	irgef02	2	irgea02	2	-1	0	1	1	1	1	1	0	tgtbb003	11	2	0	
gtbb004	730E00	7000	Эпохальная Охранная Турель	11000	45	-1	0	10	0	1	50	30	20	0,5	0	330	1500	250	26655	29616	30	50	99	3110	0,5	0,114767	-1	20	20	20	20	0	0	0	0	0	26210	0	1000000	0	0	0	0	50000	iyyyy25	5	iyyyy26	5	iywhi01	1	1	1	1	1	1	0	tgtbb004	11	2	0	
gtbb005	730E00	7000	Эпохальная Охранная Турель Мк.2	11000	50	-1	0	10	0	1	55	30	20	0,5	0	450	1500	300	52254	58061	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	2500000	0	0	0	0	125000	iyyyy25	10	iyyyy26	10	iywhi01	1	1	1	1	1	1	0	tgtbb005	11	2	0	
gtbb006	730E00	7000	Охранная Турель Дзета(Bellato6)	11000	53	-1	0	10	0	1	56	30	20	0,5	0	450	1500	300	59238	65820	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	3000000	0	0	0	0	150000	iyyyy25	15	iyyyy26	15	iywhi02	1	1	1	1	1	1	0	tgtbb006	11	2	0	
gtbb007	730E00	7000	Автоматическая буровая установка(Bellato)	11000	55	-1	0	10	0	1	57	30	20	0,5	0	450	1500	300	67589	75098	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	4000000	0	0	0	0	200000	iyyyy25	20	iyyyy26	20	iywhi02	1	1	1	1	1	1	0	tgtbb007	11	2	0	
gtbb008	730E00	7000	Усиленная Эпохальная Охранная Турель Т1	11000	50	-1	0	10	0	1	55	30	20	0,5	0	450	1500	300	54867	60964	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	10000	0	0	0	0	500	iyyyy25	30	iyyyy26	30	iywhi01	1	1	1	1	1	1	0	tgtbb008	11	2	0	
gtbb009	730E00	7000	Усиленная Эпохальная Охранная Турель Т2	11000	50	-1	0	10	0	1	55	30	20	0,5	0	450	1500	300	60092	66770	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	10000	0	0	0	0	500	iyyyy25	30	iyyyy26	30	iywhi01	1	1	1	1	1	1	0	tgtbb009	11	2	0	
gtbb010	730E00	7000	Плазменная Турель Т1	11000	53	-1	0	10	0	1	56	30	20	0,5	0	450	1500	300	62200	69111	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	20000	0	0	0	0	1000	iyyyy25	35	iyyyy26	35	iywhi02	1	1	1	1	1	1	0	tgtbb010	11	2	0	
gtbb011	730E00	7000	Плазменная Турель Т2	11000	53	-1	0	10	0	1	56	30	20	0,5	0	450	1500	300	68124	75693	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	20000	0	0	0	0	1000	iyyyy25	35	iyyyy26	35	iywhi02	1	1	1	1	1	1	0	tgtbb011	11	2	0	
gtbb012	730E00	7000	Усиленная Плазменная Турель Т1	11000	55	-1	0	10	0	1	57	30	20	0,5	0	450	1500	300	70968	78852	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	50000	0	0	0	0	2500	iyyyy25	40	iyyyy26	40	iywhi03	1	1	1	1	1	1	0	tgtbb012	11	2	0	
gtbb013	730E00	7000	Усиленная Плазменная Турель Т2	11000	55	-1	0	10	0	1	57	30	20	0,5	0	450	1500	300	77727	86362	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	50000	0	0	0	0	2500	iyyyy25	40	iyyyy26	40	iywhi03	1	1	1	1	1	1	0	tgtbb013	11	2	0	
gtbb014	730E00	7000	Темная Плазменная Турель	11000	57	-1	0	10	0	1	60	30	20	0,5	0	450	1500	300	76290	84768	30	50	99	4750	0,5	0,072210997	-1	25	25	25	25	0	0	0	0	0	32582	0	5000000	0	0	0	0	25000	iyyyy26	40	iyyyy25	45	iywhi03	3	1	1	1	1	1	0	tgtbb014	11	2	0	
gtbb015	730E00	7000	Усиленная Темная Плазменная Турель	11000	60	-1	0	10	0	1	63	30	20	0,5	0	450	750	300	150694	167438	30	50	99	4750	0,5	0,068210997	-1	25	25	25	25	0	0	0	0	0	34211	0	6000000	0	0	0	0	30000	iyyyy26	45	iyyyy25	50	iywhi03	5	1	1	1	1	1	0	tgtbb015	11	2	0	
gtbb016	730E00	7000	Сияющая Плазменная Турель	11000	63	-1	0	10	0	1	66	30	20	0,5	0	450	1500	300	87101	96779	30	50	99	4956	0,5	0,060001999	-1	30	30	30	30	0	0	0	0	0	37632	0	7000000	0	0	0	0	35000	iyyyy26	50	iyyyy25	55	iywhi03	8	1	1	1	1	1	0	tgtbb016	11	2	0	
gtbb017	730E00	7000	Сияющая Плазменная Турель II	11000	65	-1	0	10	0	1	68	30	20	0,5	0	450	750	300	76290	84768	30	50	99	4956	0,5	0,056019999	-1	30	30	30	30	0	0	0	0	0	39513	0	10000000	0	0	0	0	50000	iyyyy26	55	iyyyy25	60	iywhi03	10	1	1	1	1	1	0	tgtbb017	11	2	0	
gtbb018	730E00	7000	Охранная Турель Ро	11000	1	-1	0	0	0	1	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	-1	0	1	1	1	1	1	0	tgtbb018	11	2	0	
gtbb019	730E00	7000	Охранная Турель Сигма(Bellato19)	11000	1	-1	0	0	0	1	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	-1	0	1	1	1	1	1	0	tgtbb019	11	2	0	
gtbb020	730E00	7000	Охранная Турель Тау(Bellato20)	11000	1	-1	0	0	0	1	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	-1	0	1	1	1	1	1	0	tgtbb020	11	2	0	
gtcc000	830E14	8014	Охранная Турель Альянса(system)	00110	30	-1	0	180	0	4	67	30	20	0,5	0	450	1000	400	331104	367891	30	50	99	13192	0,5	0,057390999	-1	20	20	20	20	0	0	0	0	0	346400	0	10000	0	0	0	0	500	irgef01	2	irgea01	5	-1	0	1	1	1	1	1	0	tgtcc000	13	2	0	
gtcc001	830E14	8014	Охранная Турель Альфа(Cora 1)	00110	30	-1	0	10	0	4	30	30	20	0,5	0	330	2000	99	1442	1602	30	50	99	671	0,5	0,310716987	-1	20	20	20	20	0	0	0	0	0	16120	0	10000	0	0	0	0	500	irgef01	2	irget01	2	-1	0	1	1	1	1	1	0	tgtcc001	13	2	0	
gtcc002	830E14	8014	Охранная Турель Бета	00110	35	-1	0	10	0	4	38	30	20	0,5	0	330	2000	150	4733	5259	30	50	99	1151	0,5	0,206907004	-1	20	20	20	20	0	0	0	0	0	20010	0	20000	0	0	0	0	1000	irgef01	3	irget01	3	-1	0	1	1	1	1	1	0	tgtcc002	13	2	0	
gtcc003	830E14	8014	Охранная Турель Гамма(Cora 3)	00110	40	-1	0	10	0	4	43	30	20	0,5	0	330	2000	200	10622	11802	30	50	99	1503	0,5	0,166804999	-1	20	20	20	20	0	0	0	0	0	22570	0	50000	0	0	0	0	2500	irgef02	2	irget02	2	-1	0	1	1	1	1	1	0	tgtcc003	13	2	0	
