clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	xeh	dword	byte	byte	word	float	dword	dword	dword	xeh	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	Lv	Mesh	MaxHP	LvLim	ExpertLim	none	GADst	ExpTimeSec	hz	IsUseEffect	EffCode	hz	
tr00001	Взрывчатое вещество	A30F00	1	11111	26	0	0	1500	0	0	0	0	75	1	1	1	1	0	1	0	0	-1	30	A100	1	30	10	0	30	10	0	0	-1	0	
tr00002	Улучшенный Заряд	A30F00	1	11111	26	0	0	1500	0	0	0	0	75	0	0	0	1	1	1	0	0	-1	40	A100	1	40	10	0	50	10	0	0	-1	0	
tr00003	Эпохальный Заряд	A30F00	1	11111	26	0	0	5000	0	0	0	0	250	1	1	1	1	2	1	0	0	-1	50	A100	1	45	10	0	40	10	0	0	-1	0	
tr00004	Противопехотная мина	A30F00	1	11111	26	0	0	10000	0	0	0	0	500	1	1	1	1	3	1	0	0	-1	55	A100	1	47	10	0	20	10	0	0	-1	0	
tr00005	Мина-Ловушка	A30F00	1	11111	26	0	0	50000	0	0	0	0	2500	1	1	1	1	4	1	0	0	-1	60	A100	1	50	10	0	20	10	0	0	-1	0	
tr00006	Плазменная Мина	A30F00	1	11111	26	0	0	60000	0	0	0	0	3000	1	1	1	1	5	1	0	0	-1	61	A100	1	53	10	0	30	10	0	0	-1	0	
tr00007	Улучшенная плазменная Мина	A30F00	1	11111	26	0	0	70000	0	0	0	0	3500	1	1	1	1	6	1	0	0	-1	62	A100	1	55	10	0	30	10	0	0	-1	0	
tr00008	Огненная Мина	A30F00	1	11111	26	0	0	100000	0	0	0	0	5000	1	1	1	1	7	1	0	0	-1	63	A100	1	57	10	0	30	10	0	0	-1	0	
tr00009	Улучшенная Огненная Мина	A30F00	1	11111	26	0	0	150000	0	0	0	0	7500	1	1	1	1	8	1	0	0	-1	64	A100	1	60	10	0	30	10	0	0	-1	0	
tr00010	Ядерная Мина	A30F00	1	11111	26	0	0	200000	0	0	0	0	10000	1	1	1	1	9	1	0	0	-1	65	A100	1	63	10	0	30	10	0	0	-1	0	
tr00011	Огненная мина	A30F0A	2	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	10	1	0	0	-1	35	A10A	1	35	10	0	100	10	0	0	-1	0	
tr00012	Мина-Ловушка Т1	A30F0A	1	11111	26	0	0	500	0	0	0	0	25	1	1	1	1	11	1	0	0	-1	60	A10A	1	50	10	0	20	10	0	0	-1	0	
tr00013	Мина-Ловушка Т2	A30F0A	1	11111	26	0	0	500	0	0	0	0	25	1	1	1	1	12	1	0	0	-1	60	A10A	1	50	10	0	20	10	0	0	-1	0	
tr00014	Плазменная Мина Т1	A30F0A	1	11111	26	0	0	600	0	0	0	0	30	1	1	1	1	13	1	0	0	-1	61	A10A	1	53	10	0	30	10	0	0	-1	0	
tr00015	Плазменная Мина Т2	A30F0A	1	11111	26	0	0	600	0	0	0	0	30	1	1	1	1	14	1	0	0	-1	61	A10A	1	53	10	0	30	10	0	0	-1	0	
