dword	text	END
Count	Desc	
0	Подземная ловушка. Время действия после установки ограничено	
1	Подземная ловушка. Время действия после установки ограничено	
2	Подземная ловушка. Время действия после установки ограничено	
3	Подземная ловушка. Время действия после установки ограничено	
4	Подземная ловушка. Время действия после установки ограничено	
5	Подземная ловушка. Время действия после установки ограничено	
6	Подземная ловушка. Время действия после установки ограничено	
7	Подземная ловушка. Время действия после установки ограничено	
8	Подземная ловушка. Время действия после установки ограничено	
9	Подземная ловушка. Время действия после установки ограничено	
10	Подземная ловушка. Время действия после установки ограничено	
11	Тип ловушки с небольшим увеличением силы атаки.	
12	Тип ловушки с большим увеличением силы атаки.	
13	Тип ловушки с небольшим увеличением силы атаки.	
14	Тип ловушки с большим увеличением силы атаки.	
15	Тип ловушки с небольшим увеличением силы атаки.	
16	Тип ловушки с большим увеличением силы атаки.	
17	Подземная ловушка. Время действия после установки ограничено	
18	Подземная ловушка. Время действия после установки ограничено	
19	Подземная ловушка. Время действия после установки ограничено	
20	Подземная ловушка. Время действия после установки ограничено	
21	Подземная ловушка. Время действия после установки ограничено	
22	Подземная ловушка. Время действия после установки ограничено	
23	Подземная ловушка. Время действия после установки ограничено	
24	Подземная ловушка. Время действия после установки ограничено	
25	Подземная ловушка. Время действия после установки ограничено	
26	Подземная ловушка. Время действия после установки ограничено	
27	Подземная ловушка. Время действия после установки ограничено	
28	Подземная ловушка. Время действия после установки ограничено	
29	Подземная ловушка. Время действия после установки ограничено	
30	Подземная ловушка. Время действия после установки ограничено	
31	Подземная ловушка. Время действия после установки ограничено	
32	Подземная ловушка. Время действия после установки ограничено	
33	Подземная ловушка. Время действия после установки ограничено	
34	Подземная ловушка. Время действия после установки ограничено	
35	Подземная ловушка. Время действия после установки ограничено	
36	Подземная ловушка. Время действия после установки ограничено	
37	Подземная ловушка. Время действия после установки ограничено	
38	Подземная ловушка. Время действия после установки ограничено	
39	Подземная ловушка. Время действия после установки ограничено	
40	Подземная ловушка. Время действия после установки ограничено	
41	Подземная ловушка. Время действия после установки ограничено	
42	Подземная ловушка. Время действия после установки ограничено	
43	Подземная ловушка. Время действия после установки ограничено	
44	Подземная ловушка. Время действия после установки ограничено	
45	Подземная ловушка. Время действия после установки ограничено	
46	Подземная ловушка. Время действия после установки ограничено	
47	Подземная ловушка. Время действия после установки ограничено	
48	Подземная ловушка. Время действия после установки ограничено	
49	Подземная ловушка. Время действия после установки ограничено	
50	Вооружение, поставляемое на Новус компанией Картела. Несмотря на то, что оно технически устарело, его продолжают применять все расы, воюющие на Новусе.	
51	Вооружение, поставляемое на Новус компанией Картела. Несмотря на то, что оно технически устарело, его продолжают применять все расы, воюющие на Новусе.	
52	Вооружение, поставляемое на Новус компанией Картела. Несмотря на то, что оно технически устарело, его продолжают применять все расы, воюющие на Новусе.	
