string[64]	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	float	float	dword	float	dword	dword	dword	dword	dword	dword	float	dword	dword	float	float	string[64]	dword	dword	dword	dword	dword	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	IsExist	Type	Model	Mesh	Name	Civil	Lv	LvLim	UpLvLim	ExpertLim	ExpTimeSec	IsDisjointable	UpKeepTimeMin	Icon	ReactionDst	AttGap	Attack_DP	GADst	IsSetTarget	AttSklUnit	GAMinAF	GAMaxAF	GAMinSelProb	GAMaxSelProb	MaxHP	DefSklUnit	DefFc	DefGap	DefFacing	EffCode	Property	Fire	Water	Soil	Wind	Eff1Code	Eff1Unit	Eff2COde	Eff2Unit	Duration	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsDismantle	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	IsUpgrade	ToolTip	AttEffType	DefEffType	IsTime	
tr00001	1	0	A30F00	A100	Взрывчатое вещество	11111	30	30	-1	10	10	0	60	1	15	0	0	30	0	99	1197	1323	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	1500	0	0	0	0	75	1	1	1	1	1	1	0	ttr00001	-1	-1	0	
tr00002	1	0	A30F00	A100	Улучшенный Заряд	11111	40	40	-1	10	10	0	60	1	25	0	0	50	0	299	5501	6080	40	40	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	1500	0	0	0	0	75	1	0	0	0	1	1	0	ttr00002	-1	-1	0	
tr00003	1	0	A30F00	A100	Эпохальный Заряд	11111	50	45	-1	10	10	0	60	1	25	0	0	40	0	299	22116	24444	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	5000	0	0	0	0	250	1	1	1	1	1	1	0	ttr00003	-1	-1	0	
tr00004	1	0	A30F00	A100	Противопехотная мина	11111	55	47	-1	10	10	0	60	1	15	0	0	20	0	299	42627	47114	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	10000	0	0	0	0	500	1	1	1	1	1	1	0	ttr00004	-1	-1	0	
tr00005	1	0	A30F00	A100	Мина-Ловушка	11111	60	50	-1	10	10	0	60	1	15	0	0	20	0	299	80567	89048	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	50000	0	0	0	0	2500	1	1	1	1	1	1	0	ttr00005	-1	-1	0	
tr00006	1	0	A30F00	A100	Плазменная Мина	11111	61	53	-1	10	10	0	60	1	15	0	0	30	0	299	90545	100076	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	60000	0	0	0	0	3000	1	1	1	1	1	1	0	ttr00006	-1	-1	0	
tr00007	1	0	A30F00	A100	Улучшенная плазменная Мина	11111	62	55	-1	10	10	0	60	1	15	0	0	30	0	299	103270	114141	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	70000	0	0	0	0	3500	1	1	1	1	1	1	0	ttr00007	-1	-1	0	
tr00008	1	0	A30F00	A100	Огненная Мина	11111	63	57	-1	10	10	0	60	1	20	0	0	30	0	299	116288	128528	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	100000	0	0	0	0	5000	1	1	1	1	1	1	0	ttr00008	-1	-1	0	
tr00009	1	0	A30F00	A100	Улучшенная Огненная Мина	11111	64	60	-1	10	10	0	60	1	25	0	0	30	0	299	132102	146008	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	150000	0	0	0	0	7500	1	1	1	1	1	1	0	ttr00009	-1	-1	0	
