clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	dword	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	byte	byte	word	float	float	float	long	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	Grade	hz	Upgrade	hz	DurUnit	LvLim	ExpID1	ExpID2	ExpLim1	ExpLim2	none	none	none	hz	AbilityNum	Eff1Code	Eff2Code	Eff3Code	Eff4Code	none	none	none	Eff1Unit	Eff2Unit	Eff3Unit	Eff4Unit	AttEffType	hz	UsableType	SubType	none	MinDst	MaxDst	GAAF	GACorSpd	hz	
sklu001	Осадный Набор 	411D01	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	0	1	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	0	0	1	50	1	-550	0	
sklu002	Улучшенный Осадный Набор 	411D01	1	00001	27	0	0	420000	0	0	0	0	21000	1	1	1	1	1	1	0	0	-1	0	0	0	0	1500	40	-1	-1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0,349999994	0	0	0	11	0	7	0	0	1	50	1	-550	0	
sklu003	Эпохальный Ракетометный Осадный Набор [Атака]	411D03	4	00001	27	0	0	2100	0	0	0	0	105	1	1	1	1	2	1	0	0	-1	0	0	0	0	1000	50	-1	-1	0	0	0	0	0	0	4	6	5	21	3	0	0	0	0,400000006	0,100000001	0,100000001	20	11	0	7	0	0	1	50	1	-550	0	
sklu004	Эпохальный Ракетометный Осадный Набор [Защита]	411D03	4	00001	27	0	0	2100	0	0	0	0	105	1	1	1	1	3	1	0	0	-1	0	0	0	0	2000	50	-1	-1	0	0	0	0	0	0	4	6	5	21	3	0	0	0	0,100000001	0,200000003	0,400000006	20	11	0	7	0	0	1	50	1	-550	0	
sklu005	Осадный Набор ПУ	411D05	5	00001	27	0	0	2728	0	0	0	0	185	1	1	1	1	4	1	0	0	-1	0	0	0	0	1500	55	2	1	99	99	0	0	0	0	4	6	24	3	25	0	0	0	0,600000024	-150	50	500	11	0	7	0	0	30	130	1	-550	0	
sklu006	Осадный Набор 	411D01	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	5	1	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	0	0	1	50	1	-550	0	
sklu007	Сияющий Осадный Набор	411D07	6	00001	27	0	0	4095	0	0	0	0	370	1	1	1	1	6	1	0	0	-1	0	0	0	0	1500	60	2	1	99	99	0	0	0	0	4	6	3	31	25	0	0	0	0,449999988	20	-0,100000001	-100	11	0	7	0	0	1	50	1	-550	0	
sklu008	Улучшенный Сияющий Осадный Набор	411D07	6	00001	27	0	0	5920	0	0	0	0	555	1	1	1	1	7	1	0	0	-1	0	0	0	0	2000	65	2	1	99	99	0	0	0	0	4	6	3	31	25	0	0	0	0,5	20	-0,150000006	-100	11	0	7	0	0	1	50	1	-550	0	
sklu009	Осадный Набор 	411D09	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	8	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	0	0	1	50	1	-550	0	
