dword	text	END
Count	Desc	
0	Осадный набор для пусковой установки	
1	Осадный набор для пусковой установки	
2	Осадный набор для пусковой установки	
3	Осадный набор для пусковой установки	
4	Осадный набор для пусковой установки	
5	Осадный набор для пусковой установки	
6	Осадный набор для пусковой установки	
7	Осадный набор для пусковой установки	
8	Осадный набор для пусковой установки	
9	Осадный набор для пусковой установки	
10	Осадный набор для огнемета	
11	Осадный набор для огнемета	
12	Осадный набор для огнемета	
13	Осадный набор для огнемета	
14	Осадный набор для огнемета	
15	Осадный набор для огнемета	
16	Осадный набор для огнемета	
17	Осадный набор для огнемета	
18	Осадный набор для огнемета	
19	Осадный набор для огнемета	
20	Осадный набор для фауста	
21	Осадный набор для фауста	
22	Осадный набор для фауста	
23	Осадный набор для фауста	
24	Осадный набор для фауста	
25	Осадный набор для фауста	
26	Осадный набор для фауста	
27	Осадный набор для фауста	
28	Осадный набор для фауста	
29	Осадный набор для фауста	
30	Специальный предмет для Международного Турнира 2006	
