string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	long	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	Grade	UsableType	SubType	Civil	LvLim	UpLvLim	ExpID1	ExpLim1	ExpID2	ExpLim2	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsAbr	DurUnit	IsRepair	RepPrice	EffState	MinDst	MaxDst	GACorSpd	GAAF	Eff1Code	Eff1Unit	Eff2Code	Eff2Unit	Eff3Code	Eff3Unit	Eff4Code	Eff4Unit	Duration	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	Upgrade	ToolTip	AttEffType	IsTime	
sklu001	1	411D01	1	Осадный Набор 	285	0	7	0	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu001	11	0	
sklu002	1	411D01	1	Улучшенный Осадный Набор 	285	0	7	0	00001	40	-1	-1	0	-1	0	0	420000	0	0	0	0	21000	1	1500	0	0	1	1	50	-550	1	6	0,349999994	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu002	11	0	
sklu003	1	411D03	4	Эпохальный Ракетометный Осадный Набор [Атака]	285	0	7	0	00001	50	-1	-1	0	-1	0	0	2100	0	0	0	0	105	1	1000	0	0	1	1	50	-550	1	6	0,400000006	5	0,100000001	21	0,100000001	3	20	0	1	1	1	1	1	0	tsklu003	11	0	
sklu004	1	411D03	4	Эпохальный Ракетометный Осадный Набор [Защита]	285	0	7	0	00001	50	-1	-1	0	-1	0	0	2100	0	0	0	0	105	1	2000	0	0	1	1	50	-550	1	6	0,100000001	5	0,200000003	21	0,400000006	3	20	0	1	1	1	1	1	0	tsklu004	11	0	
sklu005	1	411D05	5	Осадный Набор ПУ	285	0	7	0	00001	55	-1	2	99	1	99	0	2728	0	0	0	0	185	1	1500	0	0	1	30	130	-550	1	6	0,600000024	24	-150	3	50	25	500	0	1	1	1	1	1	0	tsklu005	11	0	
sklu006	1	411D01	1	Осадный Набор 	285	0	7	0	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu006	11	0	
sklu007	1	411D07	6	Сияющий Осадный Набор	285	0	7	0	00001	60	-1	2	99	1	99	0	4095	0	0	0	0	370	1	1500	0	0	1	1	50	-550	1	6	0,449999988	3	20	31	-0,100000001	25	-100	0	1	1	1	1	1	0	tsklu007	11	0	
sklu008	1	411D07	6	Улучшенный Сияющий Осадный Набор	285	0	7	0	00001	65	-1	2	99	1	99	0	5920	0	0	0	0	555	1	2000	0	0	1	1	50	-550	1	6	0,5	3	20	31	-0,150000006	25	-100	0	1	1	1	1	1	0	tsklu008	11	0	
sklu009	0	411D09	1	Осадный Набор 	285	0	7	0	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu009	11	0	
sklu010	0	411D0A	1	Осадный Набор 	285	0	7	0	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu010	11	0	
sklu011	1	411D01	1	Осадный Набор 	286	0	7	1	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu011	11	0	
sklu012	1	411D01	1	Улучшенный Осадный Набор 	286	0	7	1	00001	40	-1	-1	0	-1	0	0	420000	0	0	0	0	21000	1	1500	0	0	1	1	50	-550	1	6	0,349999994	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu012	11	0	
sklu013	1	411D03	4	Эпохальный Огнеметный Осадный Набор [Атака]	286	0	7	1	00001	50	-1	-1	0	-1	0	0	2100	0	0	0	0	105	1	1000	0	0	1	1	50	-550	1	6	0,400000006	5	0,100000001	21	0,100000001	3	20	0	1	1	1	1	1	0	tsklu013	11	0	
sklu014	1	411D03	4	Эпохальный Огнеметный Осадный Набор [Защита]	286	0	7	1	00001	50	-1	-1	0	-1	0	0	2100	0	0	0	0	105	1	2000	0	0	1	1	50	-550	1	6	0,100000001	5	0,200000003	21	0,400000006	3	20	0	1	1	1	1	1	0	tsklu014	11	0	
sklu015	1	411D05	5	Осадный Набор Огнемет(Extra)	286	0	7	1	00001	55	-1	2	99	1	99	0	2728	0	0	0	0	185	1	3000	0	0	1	0	40	-550	1	25	-500	24	-50	3	30	0	0	0	1	1	1	1	1	0	tsklu015	11	0	
sklu016	1	411E0C	6	Сияющий огнем Осадный Набор	286	0	7	1	00001	60	-1	2	99	1	99	0	4095	0	0	0	0	370	1	1500	0	0	1	1	50	-550	1	6	0,449999988	3	20	31	-0,100000001	25	-100	0	1	1	1	1	1	0	tsklu016	11	0	
