dword	text	END
Count	Desc	
0	Билет из зоны Федерации Беллато [в одну сторону 	
1	Билет из зоны Священного Альянса Коритов [в одну сторону 	
2	Билет из зоны Империи Акретия [в одну сторону 	
3	Билет из зоны Федерации Беллато [в одну сторону 	
4	Билет из зоны Священного Альянса Коритов [в одну сторону 	
5	Билет из зоны Империи Акретия [в одну сторону 	
6	Билет из зоны Федерации Беллато [в одну сторону 	
7	Билет из зоны Священного Альянса Коритов [в одну сторону 	
8	Билет из зоны Империи Акретия [в одну сторону 	
9	Билет в зону Федерации Беллато [в одну сторону 	
10	Билет в зону Священного Альянса Коритов [в одну сторону 	
11	Билет в зону Империи Акретия [в одну сторону 	
