dword	text	END
Count	Desc	
0	Восстанавливает от 10 до 90% очков опыта потерянных в случае смерти персонажа.	
1	Восстанавливает от 30 до 70 % очков опыта потерянных в случае смерти персонажа.	
2	Восстанавливает от 50 до 70 % очков опыта потерянных в случае смерти персонажа.	
3	Восстанавливает от 50 до 100 % очков опыта потерянных в случае смерти персонажа.	
4	Восстанавливает от 70 до 100 % очков опыта потерянных в случае смерти персонажа.	
5	Восстанавливает от 90 до 95 % очков опыта потерянных в случае смерти персонажа.	
6	Предмет восстанавливает 100% опыта, потерянного в случае смерти персонажа.	
7	Восстанавливает от 10 до 50 % очков опыта потерянных в случае смерти персонажа.	
8	Восстанавливает от 10 до 50 % очков опыта потерянных в случае смерти персонажа.	
9	Восстанавливает от 10 до 50 % очков опыта потерянных в случае смерти персонажа.	
10	Значительно уменьшает шанс потери очков опыта. Счастливого Нового Года! 4GAME.ru	
11	Восстанавливает 100% потерянного опыта.	
