clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	LvLim	ClassGradeLim	hz	hz	
bxlow01	Охотник за Бамбуком	A20800	84	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	0	1	0	0	-1	1	0	0	0	
bxchr01	Маленькая Подарочная Коробочка	A20801	105	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	1	1	0	0	-1	1	0	0	0	
bxchr02	Подарочная Коробочка	A20802	106	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	2	1	0	0	-1	1	0	0	0	
bxchr03	Большая Подарочная Коробочка	A20803	107	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	3	1	0	0	-1	1	0	0	0	
bxdbr01	Грецкий Орех	A20804	112	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	4	1	0	0	-1	1	0	0	0	
bxwhi01	Коробочка	A20806	106	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	5	1	0	0	-1	1	0	0	0	
bxbch01	Награда Би Хаммера	A20807	120	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	6	1	0	0	-1	1	0	0	0	
bxcch01	Награда Джиз Кадаши	A20808	120	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	7	1	0	0	-1	1	0	0	0	
bxach01	Награда Лотана Третьего	A20809	120	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	8	1	0	0	-1	1	0	0	0	
bxscr01	Коробочка почета	A20810	121	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	9	1	0	0	-1	1	0	0	0	
bxgem01	Малая Коробочка Мастера	A20801	105	11111	31	0	0	312	0	0	0	0	100	1	1	1	1	10	1	0	0	-1	1	0	0	0	
bxgem02	Средняя Коробочка Мастера	A20802	106	11111	31	0	0	1584	0	0	0	0	100	1	1	1	1	11	1	0	0	-1	1	0	0	0	
bxgem03	Большая Коробочка Мастера	A20803	107	11111	31	0	0	10125	0	0	0	0	100	1	1	1	1	12	1	0	0	-1	1	0	0	0	
bxxts01	Оружие Воина Только для Тестового Сервера	A2080E	106	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	14	1	0	0	-1	1	0	0	0	
bxxts02	Элемент Пусковой Установки Только для Тестового Сервера	A2080F	106	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	15	1	0	0	-1	1	0	0	0	
bxxts03	Оружие Стрелка Только для Тестового Сервера	A20810	106	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	16	1	0	0	-1	1	0	0	0	
bxxts04	Элемент Укрепления Только для Тестового Сервера	A20811	106	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	17	1	0	0	-1	1	0	0	0	
bxxts05	Элемент Одежды Только для Тестового Сервера	A20812	106	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	18	1	0	0	-1	1	0	0	0	
bxcsa01	Малый_Набор_Модификации_Оружия_	A20812	149	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	19	1	1	0	-1	1	0	0	0	
bxcsa02	Средний_Набор_Модификации_Оружия_	A20812	150	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	20	1	1	0	-1	1	0	0	0	
bxcsa03	Большой_Набор_Модификации_Оружия_	A20812	151	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	21	1	1	0	-1	1	0	0	0	
