dword	text	END
Count	Desc	
0	Обещанный бамбук	
1	Маленькая Коробка с подарками.	
2	Средняя Коробка с подарками.	
3	Большая Коробка с подарками.	
4	Подарок появится, когда Вы сломаете грецкий орех	
5	Мистическая коробочка	
6	Награда за выполнение расового квеста.	
7	Награда за выполнение расового квеста.	
8	Награда от Героя за выполнение расового квеста.	
9	"Коробочка почета служит для создания случайного предмета. К данным предметам относятся: свитки телепортации в Краговы шахты; средства восстановления опыта; руда."	
10	Малая коробочка от флема-ювелира. Из нее можно получить руду, драгоценные камни и оружие.	
11	Средняя коробочка от флема-ювелира. Из нее можно получить руду, драгоценные камни, восстановители опыта, оружие, а также другие коробочки.	
12	Средняя коробочка от флема-ювелира. Из нее можно получить руду, драгоценные камни, восстановители опыта, оружие, а также другие коробочки.	
13	Коробочка Мастера, получаемая путем обмена на 50 больших пустых коробочек. Имеет значительно больший шанс на получения полезного предмета.	
14	Предмет для тест-сервера.	
15	Предмет для тест-сервера.	
16	Предмет для тест-сервера.	
17	Предмет для тест-сервера.	
18	Предмет для тест-сервера.	
19	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия.	
20	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен, по сравнению с маленькой коробочкой.	
21	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен, по сравнению со средней коробочкой.	
22	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия.	
23	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен, по сравнению с маленькой коробочкой.	
24	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен, по сравнению со средней коробочкой.	
25	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия.	
26	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен, по сравнению с маленькой коробочкой.	
27	Коробочка удачи служит для получения модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен, по сравнению со средней коробочкой.	
28	Поздравление.	
29	Вы удивлены тем, что это?	
30	Вы можете получить все виды свойств для модификации брони и оружия.	
31	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони.	
32	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони. Шанс получения более ценного предмета увеличен по сравнению с малым кубом.	
33	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони. Шанс получения более ценного предмета увеличен по сравнению со средним кубом.	
34	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони. 	
35	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони. Шанс получения более ценного предмета увеличен по сравнению с малым кубом.	
36	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони. Шанс получения более ценного предмета увеличен по сравнению со средним кубом.	
37	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони.	
38	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони. Шанс получения более ценного предмета увеличен по сравнению с малым кубом.	
39	Служит для получения хрупкого модификатора покровительства. Возможно получение модификатора для любого типа брони. Шанс получения более ценного предмета увеличен по сравнению со средним кубом.	
40	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия.	
41	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен по сравнению с малым таинственным кубом.	
42	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен по сравнению со средним таинственным кубом.	
43	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия.	
44	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен по сравнению с малым таинственным кубом.	
45	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен по сравнению со средним таинственным кубом.	
46	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия.	
47	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен по сравнению с малым таинственным кубом.	
48	Служит для получения хрупкого модификатора невежества. Возможно получение модификатора для любого типа оружия. Шанс получения более ценного предмета увеличен по сравнению со средним таинственным кубом.	
49	Служит для получения материалов, которые позволяют добавлять слоты в предметы со 100% вероятностью. Есть возможность добавлять максимум шесть слотов. Возможно получение материала для добавления слотов в броню, щиты и оружие всех типов.	
50	Служит для получения различных полезных предметов.	
51	Служит для получения различных полезных предметов.	
52	Служит для получения различных полезных предметов.	
53	Таинственный свет из коробки образует стилизованное изображение шлема.	
54	Таинственный свет из коробки образует стилизованное изображение шлема.	
55	Таинственный свет из коробки образует стилизованное изображение шлема.	
56	Таинственный свет из коробки образует стилизованное изображение торса.	
57	Таинственный свет из коробки образует стилизованное изображение торса.	
58	Таинственный свет из коробки образует стилизованное изображение торса.	
59	Таинственный свет из коробки образует стилизованное изображение ног.	
60	Таинственный свет из коробки образует стилизованное изображение ног.	
61	Таинственный свет из коробки образует стилизованное изображение ног.	
62	Таинственный свет из коробки образует стилизованное изображение рук.	
63	Таинственный свет из коробки образует стилизованное изображение рук.	
64	Таинственный свет из коробки образует стилизованное изображение рук.	
65	Таинственный свет из коробки образует стилизованное изображение ступней.	
66	Таинственный свет из коробки образует стилизованное изображение ступней.	
67	Таинственный свет из коробки образует стилизованное изображение ступней.	
68	Таинственный свет из коробки образует стилизованное изображение разного оружия.	
69	Таинственный свет из коробки образует стилизованное изображение разного оружия.	
70	Таинственный свет из коробки образует стилизованное изображение разного оружия.	
71	Таинственный свет из коробки образует стилизованное изображение разных украшений.	
72	Таинственный свет из коробки образует стилизованное изображение разных украшений.	
73	Таинственный свет из коробки образует стилизованное изображение разных украшений.	
74	Таинственный свет из коробки образует стилизованное изображение разных украшений.	
75	Таинственный свет из коробки образует стилизованное изображение двуручного меча.	
76	Таинственный свет из коробки образует стилизованное изображение топора.	
77	Таинственный свет из коробки образует стилизованное изображение молота.	
78	Таинственный свет из коробки образует стилизованное изображение копья.	
79	Таинственный свет из коробки образует стилизованное изображение лука.	
80	Таинственный свет из коробки образует стилизованное изображение пулемета.	
81	Таинственный свет из коробки образует стилизованное изображение пусковой установки.	
82	Таинственный свет из коробки образует стилизованное изображение посоха.	
83	Таинственный свет из коробки образует стилизованное изображение шлема.	
84	Таинственный свет из коробки образует стилизованное изображение шлема.	
85	Таинственный свет из коробки образует стилизованное изображение шлема.	
86	Таинственный свет из коробки образует стилизованное изображение торса.	
87	Таинственный свет из коробки образует стилизованное изображение торса.	
88	Таинственный свет из коробки образует стилизованное изображение торса.	
89	Таинственный свет из коробки образует стилизованное изображение ног.	
90	Таинственный свет из коробки образует стилизованное изображение ног.	
91	Таинственный свет из коробки образует стилизованное изображение ног.	
92	Таинственный свет из коробки образует стилизованное изображение рук.	
93	Таинственный свет из коробки образует стилизованное изображение рук.	
94	Таинственный свет из коробки образует стилизованное изображение рук.	
95	Таинственный свет из коробки образует стилизованное изображение ступней.	
96	Таинственный свет из коробки образует стилизованное изображение ступней.	
97	Таинственный свет из коробки образует стилизованное изображение ступней.	
98	Вы больше не можете получать бусы с эффектом.	
99	Коробка загадочной силы. Ее можно получить с помощью талики покровительства. Есть возможность получить части уникальной брони.	
100	Благословленная коробка загадочной силы. Ее можно получить с помощью талики покровительства. Есть возможность получить части уникальной брони. Вероятность получения ценных предметов значительно выше.	
101	Коробка загадочной силы. Ее можно получить с помощью талики невежества. Есть возможность получить редкие экземпляры оружия.	
102	Благословенная коробка загадочной силы. Ее можно получить с помощью талики невежества. Есть возможность получить редкие экземпляры оружия. Вероятность получения ценных предметов значительно выше.	
103	Из данной коробочки можно получить любой элемент брони Воина расы Беллато 50 ур. Тип В или Тип SP.	
104	Из данной коробочки можно получить любой элемент брони Стрелка расы Беллато 50 ур. Тип В или Тип SP.	
105	Из данной коробочки можно получить любой элемент брони Мага расы Беллато 50 ур. Тип В или Тип SP.	
106	Из данной коробочки можно получить любой элемент брони Воина расы Кора 50 ур. Тип В или Тип SP.	
107	Из данной коробочки можно получить любой элемент брони Стрелка расы Кора 50 ур. Тип В или Тип SP.	
108	Из данной коробочки можно получить любой элемент брони Мага расы Кора 50 ур. Тип В или Тип SP.	
109	Из данной коробочки можно получить любой элемент брони Воина расы Акретия 50 ур. Тип В или Тип SP.	
