string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	LvLim	ClassGradeLim	UpLvLim	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	IsCash	IsUsePCCash	IsTime	
bxlow01	1	A20800	84	Охотник за Бамбуком	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxlow01	0	0	0	
bxchr01	1	A20801	105	Маленькая Подарочная Коробочка	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxchr01	0	0	0	
bxchr02	1	A20802	106	Подарочная Коробочка	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxchr02	0	0	0	
bxchr03	1	A20803	107	Большая Подарочная Коробочка	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxchr03	0	0	0	
bxdbr01	1	A20804	112	Грецкий Орех	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxdbr01	0	0	0	
bxwhi01	1	A20806	106	Коробочка	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxwhi01	0	0	0	
bxbch01	1	A20807	120	Награда Би Хаммера	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxbch01	0	0	0	
bxcch01	1	A20808	120	Награда Джиз Кадаши	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxcch01	0	0	0	
bxach01	1	A20809	120	Награда Лотана Третьего	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxach01	0	0	0	
bxscr01	1	A20810	121	Коробочка почета	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxscr01	0	0	0	
bxgem01	1	A20801	105	Малая Коробочка Мастера	208	250	11111	1	0	-1	0	312	0	0	0	0	100	1	1	1	1	1	tbxgem01	0	0	0	
