string[64]	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	END
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	
bxlow01	iqtwe01	1	1000	iptwe01	1	1000	iptwe02	1	1000	ittwe01	1	7000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxchr01	ipeex01	5	870	ipeex02	5	780	ipeex03	5	680	ipeex04	3	580	ipeex05	3	480	ipeex06	2	380	ioblu03	49	400	iored03	49	400	ioyel03	49	400	iogre03	49	400	iobla03	49	400	irtal01	2	200	irtal06	2	200	rebbb01	1	500	rebbb02	1	400	rebbb03	1	200	bxchr02	1	30	ipeex01	5	500	ipeex02	5	400	ipeex03	5	300	ipeex04	3	300	ipeex05	3	200	ipeex06	2	100	rebbb03	3	100	irgef03	4	200	irgea03	4	200	irget03	4	200	irgew03	4	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxchr02	ipeex01	15	1000	ipeex02	15	900	ipeex03	15	800	ipeex04	12	800	ipeex05	12	700	ipeex06	10	600	ipeex01	15	550	ipeex02	15	450	iwknb35	1	10	iwknb40	1	10	iwknb45	1	10	iwswb35	1	10	iwswb40	1	10	iwswb45	1	10	iwaxb35	1	10	iwaxb40	1	10	iwaxb45	1	10	iwmab35	1	10	iwmab40	1	10	iwmab45	1	10	iwstb35	1	10	iwstb40	1	10	iwstb45	1	10	iwspb35	1	10	iwspb40	1	10	iwspb45	1	10	iwbob35	1	10	iwbob40	1	10	iwbob45	1	10	iwfib35	1	10	iwfib40	1	10	iwfib45	1	10	iwlub45	1	10	iwflb40	1	10	iwlub35	1	10	irtal01	5	100	irtal06	5	100	rebbb04	2	200	rebbb05	2	80	bxchr03	1	20	bxchr01	4	10	ipeex07	1	50	ipeex08	1	50	irgef03	10	100	irgea03	10	100	irget03	10	100	irgew03	10	100	irgef03	10	100	irgea03	10	100	irget03	10	110	irgew03	10	110	ioblu03	99	250	iored03	99	250	ioyel03	99	250	iogre03	99	250	iobla03	99	250	ioblu03	99	250	iored03	99	250	ioyel03	99	250	iogre03	99	250	iobla03	99	250	
bxchr03	irgef03	15	100	irgea03	15	100	irget03	15	100	irgew03	15	100	irgef03	15	100	irgea03	15	100	irget03	15	100	irgew03	15	100	irtal01	10	210	irtal06	10	210	rebbb05	4	100	bxchr02	4	20	bxchr01	20	20	ipeex07	3	50	ipeex08	3	50	ipeex01	30	800	ipeex02	30	900	ipeex03	30	1000	ipeex04	25	1000	ipeex05	25	1100	ipeex06	20	1200	irgef03	15	320	irgea03	15	320	irget03	15	320	irgew03	15	320	ipeex05	25	400	ipeex06	20	500	iwknb45	1	20	iwknb50	1	20	iwswb45	1	20	iwswb50	1	20	iwaxb45	1	20	iwaxb50	1	20	iwmab45	1	20	iwmab50	1	20	iwstb45	1	20	iwstb50	1	20	iwspb45	1	20	iwspb50	1	20	iwbob45	1	20	iwbob50	1	20	iwfib45	1	20	iwfib50	1	20	iwlub45	1	20	iwfab50	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxdbr01	iydbr01	1	4200	ipdbr01	5	1500	ipdbr02	5	1500	ipdbr03	5	105	ipdbr04	5	105	ipdbr05	5	105	ibdbr01	1	35	ibdbr02	1	35	ibdbr03	1	35	ibdbr04	1	35	ibdbr05	1	35	ibdbr06	1	35	ibdbr07	1	35	ibdbr08	1	35	ibdbr09	1	35	ibdbr10	1	35	ibdbr11	1	35	ibdbr12	1	35	ibdbr13	1	35	ibdbr14	1	35	ibdbr15	1	35	ibdbr16	1	35	ibdbr17	1	35	ibdbr18	1	35	ibdbr19	1	35	ibdbr20	1	35	ibdbr21	1	35	ibdbr22	1	35	ibdbr23	1	35	ibdbr24	1	35	ibdbr25	1	35	ibdbr26	1	35	ibdbr27	1	35	ibdbr28	1	35	ibdbr29	1	35	ibdbr30	1	35	ibdbr31	1	35	ibdbr32	1	35	ibdbr33	1	35	ibdbr34	1	35	ibdbr35	1	35	ibdbr36	1	35	ibdbr37	1	35	ibdbr38	1	35	ibdbr39	1	35	ibdbr40	1	35	ibdbr41	1	35	ibdbr42	1	35	ibdbr43	1	35	ibdbr44	1	35	ibdbr45	1	35	ibdbr46	1	35	ibdbr47	1	35	ibdbr48	1	35	ibdbr49	1	35	ibdbr50	1	35	ibdbr51	1	35	itdbr01	1	200	rebbb11	1	250	iqres01	1	250	-1	-1	-1	
bxwhi01	fiaaa01	3	1000	fiaaa02	5	1000	fiaaa03	8	1000	fiaaa04	2	600	iqell01	1	1000	iqres01	1	600	ipeex01	50	1500	ipeex02	30	1000	ipeex04	25	700	ipeex05	15	600	irebl01	10	100	irere01	10	100	irebu01	10	100	iregr01	10	100	ireyl01	10	100	irepu01	10	100	irewh01	10	100	irebw01	10	100	ireol01	10	100	irena01	10	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbch01	ipbae01	99	2000	ipbde01	99	2000	ipbco02	99	2000	ipbch01	99	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcch01	ipbae02	99	2000	ipbde02	99	2000	ipcco02	99	2000	ipcch01	99	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxach01	ipbae03	99	2000	ipbde03	99	2000	ipaco02	99	2000	ipach01	99	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
