clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	xeh	byte	byte	word	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	Mesh	Level	LvLim	none	MaxHp	hz	hz	DefFc	Fire	Water	Soil	Wind	DefEffType	hz	
unbb000	Усиленная Автоматическая Буровая Установка	731200	1	11000	33	0	0	2000000	0	0	0	0	100000	1	1	1	1	572	1	0	0	-1	7200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
unbb001	Усиленная Автоматическая Буровая Установка	731200	1	11000	33	0	0	2000000	0	0	0	0	100000	1	1	1	1	573	1	0	0	-1	7200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
uncc000	Усиленная Автоматическая Буровая Установка	831200	2	00110	33	0	0	2000000	0	0	0	0	100000	1	1	1	1	574	1	0	0	-1	8200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
uncc001	Усиленная Автоматическая Буровая Установка	831200	2	00110	33	0	0	2000000	0	0	0	0	100000	1	1	1	1	575	1	0	0	-1	8200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
unaa000	Усиленная Автоматическая Буровая Установка	431200	3	00001	33	0	0	2000000	0	0	0	0	100000	1	1	1	1	576	1	0	0	-1	4200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
unaa001	Усиленная Автоматическая Буровая Установка	431200	3	00001	33	0	0	2000000	0	0	0	0	100000	1	1	1	1	577	1	0	0	-1	4200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
unbb002	Стандартная Автоматическая Буровая Установка	731200	1	11000	33	0	0	1000000	0	0	0	0	50000	1	1	1	1	578	1	0	0	-1	7200	40	35	0	150000	3000	1	1289	20	20	20	20	2	0	
uncc002	Стандартная Автоматическая Буровая Установка	831200	2	00110	33	0	0	1000000	0	0	0	0	50000	1	1	1	1	579	1	0	0	-1	8200	40	35	0	150000	3000	1	1289	20	20	20	20	2	0	
unaa002	Стандартная Автоматическая Буровая Установка	431200	3	00001	33	0	0	1000000	0	0	0	0	50000	1	1	1	1	580	1	0	0	-1	4200	40	35	0	150000	3000	1	1289	20	20	20	20	2	0	
unbb003	Легкая Автоматическая Буровая Установка	731200	1	11000	33	0	0	300000	0	0	0	0	15000	1	1	1	1	581	1	0	0	-1	7200	30	25	0	50000	3000	1	671	20	20	20	20	2	0	
uncc003	Легкая Автоматическая Буровая Установка	831200	2	00110	33	0	0	300000	0	0	0	0	15000	1	1	1	1	582	1	0	0	-1	8200	30	25	0	50000	3000	1	671	20	20	20	20	2	0	
unaa003	Легкая Автоматическая Буровая Установка	431200	3	00001	33	0	0	300000	0	0	0	0	15000	1	1	1	1	583	1	0	0	-1	4200	30	25	0	50000	3000	1	671	20	20	20	20	2	0	
uncsa01	Усиленная Автоматическая Буровая Установка	731200	4	11000	33	0	0	1	0	0	0	0	0	0	1	0	1	584	1	1	0	-1	7200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
uncsa02	Усиленная Автоматическая Буровая Установка	731200	7	11000	33	0	0	1	0	0	0	0	0	0	1	0	1	585	1	0	0	-1	7200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
uncsa03	Усиленная Автоматическая Буровая Установка	831200	5	00110	33	0	0	1	0	0	0	0	0	0	1	0	1	586	1	1	0	-1	8200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
uncsa04	Усиленная Автоматическая Буровая Установка	831200	8	00110	33	0	0	1	0	0	0	0	0	0	1	0	1	587	1	0	0	-1	8200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
