dword	text	END
Count	Desc	
0	Базовый головной элемент MAU ближнего боя	
1	Стандартный головной элемент MAU ближнего боя	
2	Головной элемент	
3	Головной элемент	
4	Головной элемент	
5	Головной элемент	
6	Головной элемент	
7	Головной элемент	
8	Головной элемент	
9	Головной элемент	
10	Головной элемент	
11	Головной элемент	
12	Головной элемент	
13	Головной элемент	
14	Головной элемент	
15	Головной элемент	
16	Головной элемент	
17	Головной элемент	
18	Головной элемент	
19	Головной элемент	
20	Базовый головной элемент MAU дальнего боя	
21	Стандартный головной элемент MAU дальнего боя	
22	Головной элемент	
23	Головной элемент	
24	Головной элемент	
25	Головной элемент	
26	Головной элемент	
27	Головной элемент	
28	Головной элемент	
29	Головной элемент	
30	Головной элемент	
31	Головной элемент	
32	Головной элемент	
33	Головной элемент	
34	Головной элемент	
35	Головной элемент	
36	Головной элемент	
37	Головной элемент	
38	Головной элемент	
39	Головной элемент	
40	Головной элемент	
41	Головной элемент	
42	Головной элемент	
43	Головной элемент	
44	Головной элемент	
45	Головной элемент	
46	Головной элемент	
47	Головной элемент	
48	Головной элемент	
49	Головной элемент	
50	Головной элемент	
51	Головной элемент	
52	Головной элемент	
53	Головной элемент	
54	Головной элемент	
55	Головной элемент	
56	Головной элемент	
57	Головной элемент	
58	Головной элемент	
59	Головной элемент	
60	Головной элемент	
61	Головной элемент	
62	Головной элемент	
63	Головной элемент	
64	Головной элемент	
65	Головной элемент	
66	Головной элемент	
67	Головной элемент	
68	Головной элемент	
69	Головной элемент	
70	Головной элемент	
71	Головной элемент	
72	Головной элемент	
73	Головной элемент	
74	Головной элемент	
75	Головной элемент	
76	Головной элемент	
77	Головной элемент	
78	Головной элемент	
79	Головной элемент	
80	Базовый верхний элемент MAU ближнего боя	
81	Верхний элемент	
82	Верхний элемент	
83	Верхний элемент	
84	Верхний элемент	
85	Верхний элемент	
86	Верхний элемент	
87	Верхний элемент	
88	Верхний элемент	
89	Верхний элемент	
90	Верхний элемент	
91	Верхний элемент	
92	Верхний элемент	
93	Верхний элемент	
94	Верхний элемент	
95	Верхний элемент	
96	Верхний элемент	
97	Верхний элемент	
98	Верхний элемент	
99	Верхний элемент	
100	Стандартный верхний элемент MAU ближнего боя	
101	Верхний элемент	
102	Верхний элемент	
103	Верхний элемент	
104	Верхний элемент	
105	Верхний элемент	
106	Верхний элемент	
107	Верхний элемент	
108	Верхний элемент	
109	Верхний элемент	
110	Верхний элемент	
111	Верхний элемент	
112	Верхний элемент	
113	Верхний элемент	
114	Верхний элемент	
115	Верхний элемент	
116	Верхний элемент	
117	Верхний элемент	
118	Верхний элемент	
119	Верхний элемент	
120	Верхний элемент	
121	Верхний элемент	
122	Верхний элемент	
123	Верхний элемент	
124	Верхний элемент	
125	Верхний элемент	
126	Верхний элемент	
127	Верхний элемент	
128	Верхний элемент	
129	Верхний элемент	
130	Верхний элемент	
131	Верхний элемент	
132	Верхний элемент	
133	Верхний элемент	
134	Верхний элемент	
135	Верхний элемент	
136	Верхний элемент	
137	Верхний элемент	
138	Верхний элемент	
139	Верхний элемент	
140	Верхний элемент	
141	Верхний элемент	
142	Верхний элемент	
143	Верхний элемент	
144	Верхний элемент	
145	Верхний элемент	
146	Верхний элемент	
147	Верхний элемент	
148	Верхний элемент	
149	Верхний элемент	
150	Верхний элемент	
151	Верхний элемент	
152	Верхний элемент	
153	Верхний элемент	
154	Верхний элемент	
155	Верхний элемент	
156	Верхний элемент	
157	Верхний элемент	
158	Верхний элемент	
159	Верхний элемент	
160	Базовый нижний элемент MAU ближнего боя	
161	Нижний элемент	
162	Нижний элемент	
163	Нижний элемент	
164	Нижний элемент	
165	Нижний элемент	
166	Нижний элемент	
167	Нижний элемент	
168	Нижний элемент	
169	Нижний элемент	
170	Нижний элемент	
171	Нижний элемент	
172	Нижний элемент	
173	Нижний элемент	
174	Нижний элемент	
175	Нижний элемент	
176	Нижний элемент	
177	Нижний элемент	
178	Нижний элемент	
179	Нижний элемент	
180	Стандартный нижний элемент MAU ближнего боя	
181	Нижний элемент	
182	Нижний элемент	
183	Нижний элемент	
184	Нижний элемент	
185	Нижний элемент	
186	Нижний элемент	
187	Нижний элемент	
188	Нижний элемент	
189	Нижний элемент	
190	Нижний элемент	
191	Нижний элемент	
192	Нижний элемент	
193	Нижний элемент	
194	Нижний элемент	
195	Нижний элемент	
196	Нижний элемент	
197	Нижний элемент	
198	Нижний элемент	
199	Нижний элемент	
200	Нижний элемент	
201	Нижний элемент	
202	Нижний элемент	
203	Нижний элемент	
204	Нижний элемент	
205	Нижний элемент	
206	Нижний элемент	
207	Нижний элемент	
