string[64]	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
Code	IsExist	Model	Mesh	Name	Civil	LvLim	UpLvLim	ExpTime	Icon	Level	Height	Width	DefSklUnit	DefFc	DefGap	DefFacing	Fire	Water	Soil	Wind	MaxHp	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	IsUpgrade	ToolTip	DefEffType	IsCash	IsTime	
unbb000	1	731200	7200	Усиленная Автоматическая Буровая Установка	11000	45	-1	180	1	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	2000000	0	0	0	0	100000	1	1	1	1	1	0	tunbb000	2	0	0	
unbb001	1	731200	7200	Усиленная Автоматическая Буровая Установка	11000	45	-1	180	1	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	2000000	0	0	0	0	100000	1	1	1	1	1	0	tunbb001	2	0	0	
uncc000	1	831200	8200	Усиленная Автоматическая Буровая Установка	00110	45	-1	180	2	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	2000000	0	0	0	0	100000	1	1	1	1	1	0	tuncc000	2	0	0	
uncc001	1	831200	8200	Усиленная Автоматическая Буровая Установка	00110	45	-1	180	2	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	2000000	0	0	0	0	100000	1	1	1	1	1	0	tuncc001	2	0	0	
unaa000	1	431200	4200	Усиленная Автоматическая Буровая Установка	00001	45	-1	180	3	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	2000000	0	0	0	0	100000	1	1	1	1	1	0	tunaa000	2	0	0	
unaa001	1	431200	4200	Усиленная Автоматическая Буровая Установка	00001	45	-1	180	3	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	2000000	0	0	0	0	100000	1	1	1	1	1	0	tunaa001	2	0	0	
unbb002	1	731200	7200	Стандартная Автоматическая Буровая Установка	11000	35	-1	180	1	40	30	20	99	1289	0,5	0,085083	20	20	20	20	150000	0	1000000	0	0	0	0	50000	1	1	1	1	1	0	tunbb002	2	0	0	
uncc002	1	831200	8200	Стандартная Автоматическая Буровая Установка	00110	35	-1	180	2	40	30	20	99	1289	0,5	0,085083	20	20	20	20	150000	0	1000000	0	0	0	0	50000	1	1	1	1	1	0	tuncc002	2	0	0	
unaa002	1	431200	4200	Стандартная Автоматическая Буровая Установка	00001	35	-1	180	3	40	30	20	99	1289	0,5	0,085083	20	20	20	20	150000	0	1000000	0	0	0	0	50000	1	1	1	1	1	0	tunaa002	2	0	0	
unbb003	1	731200	7200	Легкая Автоматическая Буровая Установка	11000	25	-1	180	1	30	30	20	99	671	0,5	0,085083	20	20	20	20	50000	0	300000	0	0	0	0	15000	1	1	1	1	1	0	tunbb003	2	0	0	
uncc003	1	831200	8200	Легкая Автоматическая Буровая Установка	00110	25	-1	180	2	30	30	20	99	671	0,5	0,085083	20	20	20	20	50000	0	300000	0	0	0	0	15000	1	1	1	1	1	0	tuncc003	2	0	0	
unaa003	1	431200	4200	Легкая Автоматическая Буровая Установка	00001	25	-1	180	3	30	30	20	99	671	0,5	0,085083	20	20	20	20	50000	0	300000	0	0	0	0	15000	1	1	1	1	1	0	tunaa003	2	0	0	
uncsa01	1	731200	7200	Усиленная Автоматическая Буровая Установка	11000	45	-1	180	4	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa01	2	1	0	
uncsa02	1	731200	7200	Усиленная Автоматическая Буровая Установка	11000	45	-1	180	7	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa02	2	0	0	
uncsa03	1	831200	8200	Усиленная Автоматическая Буровая Установка	00110	45	-1	180	5	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa03	2	1	0	
uncsa04	1	831200	8200	Усиленная Автоматическая Буровая Установка	00110	45	-1	180	8	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa04	2	0	0	
uncsa05	1	431200	4200	Усиленная Автоматическая Буровая Установка	00001	45	-1	180	6	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa05	2	1	0	
uncsa06	1	431200	4200	Усиленная Автоматическая Буровая Установка	00001	45	-1	180	9	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa06	2	0	0	
uncsa07	1	731200	7200	Стандартная Автоматическая Буровая Установка	11000	35	-1	180	4	40	30	20	99	1289	0,5	0,085083	20	20	20	20	150000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa07	2	1	0	
uncsa08	1	831200	8200	Стандартная Автоматическая Буровая Установка	00110	35	-1	180	5	40	30	20	99	1289	0,5	0,085083	20	20	20	20	150000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa08	2	1	0	
uncsa09	1	431200	4200	Стандартная Автоматическая Буровая Установка	00001	35	-1	180	6	40	30	20	99	1289	0,5	0,085083	20	20	20	20	150000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa09	2	1	0	
uncsa10	1	731200	7200	Легкая Автоматическая Буровая Установка	11000	25	-1	180	4	30	30	20	99	671	0,5	0,085083	20	20	20	20	50000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa10	2	1	0	
uncsa11	1	831200	8200	Легкая Автоматическая Буровая Установка	00110	25	-1	180	5	30	30	20	99	671	0,5	0,085083	20	20	20	20	50000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa11	2	1	0	
uncsa12	1	431200	4200	Легкая Автоматическая Буровая Установка	00001	25	-1	180	6	30	30	20	99	671	0,5	0,085083	20	20	20	20	50000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncsa12	2	1	0	
unbpc01	1	731200	7200	Премиум Пейджер	11000	25	-1	180	7	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tunbpc01	2	0	0	
uncpc01	1	831200	8200	Премиум Пейджер	00110	25	-1	180	8	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tuncpc01	2	0	0	
unapc01	1	431200	4200	Премиум Пейджер	00001	25	-1	180	9	50	30	20	99	2333	0,5	0,085083	20	20	20	20	300000	0	1	0	0	0	0	0	1	0	0	1	1	0	tunapc01	2	0	0	
