clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	xeh	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	Lv	NPCCode	NPCClass1	NPCClass2	NPCClass3	NPCClass4	NPCClass5	NPCClass6	NPCClass7	NPCClass8	NPCClass9	NPCClass10	none	StoragePart	hz	
lknpc00	UTS доступный пейджер(B)	731600	1	11000	35	0	0	10000	0	0	0	0	100	1	1	1	1	0	1	0	0	0	1	060B0	19	20	0	0	0	0	0	0	0	0	0	0	0	
lknpc01	UTS пейджер(B)	731600	2	11000	35	0	0	10000	0	0	0	0	100	1	1	1	1	1	1	0	0	0	1	060B0	19	20	0	0	0	0	0	0	0	0	0	1	0	
lknpc02	UTS доступный пейджер(C)	831600	1	00110	35	0	0	10000	0	0	0	0	100	1	1	1	1	2	1	0	0	0	1	080B0	19	20	0	0	0	0	0	0	0	0	0	0	0	
lknpc03	UTS пейджер(C)	831600	2	00110	35	0	0	10000	0	0	0	0	100	1	1	1	1	3	1	0	0	0	1	080B0	19	20	0	0	0	0	0	0	0	0	0	1	0	
lknpc04	UTS доступный пейджер(A)	431600	1	00001	35	0	0	10000	0	0	0	0	100	1	1	1	1	4	1	0	0	0	1	0A0B0	19	20	0	0	0	0	0	0	0	0	0	0	0	
lknpc05	UTS пейджер(A)	431600	2	00001	35	0	0	10000	0	0	0	0	100	1	1	1	1	5	1	0	0	0	1	0A0B0	19	20	0	0	0	0	0	0	0	0	0	1	0	
lknpc06	Доступный Пейджер Хранилища.	731601	4	11000	35	0	0	10000	0	0	0	0	100	1	1	1	1	6	1	0	0	0	1	03050	6	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc07	Пейджер Хранилища	731601	4	11000	35	0	0	10000	0	0	0	0	100	1	1	1	1	7	1	0	0	0	1	03050	6	0	0	0	0	0	0	0	0	0	0	1	0	
lknpc08	Доступный Пейджер Хранилища.	831601	5	00110	35	0	0	10000	0	0	0	0	100	1	1	1	1	8	1	0	0	0	1	04050	6	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc09	Пейджер Хранилища	831601	5	00110	35	0	0	10000	0	0	0	0	100	1	1	1	1	9	1	0	0	0	1	04050	6	0	0	0	0	0	0	0	0	0	0	1	0	
lknpc10	Доступный Пейджер Хранилища.	431601	6	00001	35	0	0	10000	0	0	0	0	100	1	1	1	1	10	1	0	0	0	1	05050	6	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc11	Пейджер Хранилища	431601	6	00001	35	0	0	10000	0	0	0	0	100	1	1	1	1	11	1	0	0	0	1	05050	6	0	0	0	0	0	0	0	0	0	0	1	0	
lknpc12	Доступный Комбинирующий Пейджер.	731602	13	11000	35	0	0	10000	0	0	0	0	100	1	1	1	1	12	1	0	0	0	1	030F1	22	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc13	Комбинирующий Пейджер.	731602	14	11000	35	0	0	10000	0	0	0	0	100	1	1	1	1	13	1	0	0	0	1	030F1	22	0	0	0	0	0	0	0	0	0	0	1	0	
lknpc14	Доступный Комбинирующий Пейджер.	831602	15	00110	35	0	0	10000	0	0	0	0	100	1	1	1	1	14	1	0	0	0	1	040F1	22	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc15	Комбинирующий Пейджер.	831602	16	00110	35	0	0	10000	0	0	0	0	100	1	1	1	1	15	1	0	0	0	1	040F1	22	0	0	0	0	0	0	0	0	0	0	1	0	
lknpc16	Доступный Комбинирующий Пейджер.	431602	17	00001	35	0	0	10000	0	0	0	0	100	1	1	1	1	16	1	0	0	0	1	050F1	22	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc17	Комбинирующий Пейджер.	431602	18	00001	35	0	0	10000	0	0	0	0	100	1	1	1	1	17	1	0	0	0	1	050F1	22	0	0	0	0	0	0	0	0	0	0	1	0	
lknpc18	Устройство вызова торговца.	731600	19	11000	35	0	0	50	0	0	0	0	50	1	1	1	1	18	1	1	0	0	1	03177	1	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc19	Устройство вызова торговца.	831600	20	00110	35	0	0	50	0	0	0	0	50	1	1	1	1	19	1	1	0	0	1	04177	1	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc20	Устройство вызова торговца.	431600	21	00001	35	0	0	50	0	0	0	0	50	1	1	1	1	20	1	1	0	0	1	05177	1	0	0	0	0	0	0	0	0	0	0	0	0	
lknpc21	Устройство вызова торговца MAU.	731600	22	11000	35	0	0	50	0	0	0	0	50	1	1	1	1	21	1	1	0	0	1	03040	1	10	11	0	0	0	0	0	0	0	0	0	0	
