dword	text	END
Count	desc	
0	Мобильный пейджер Аукциона	
1	Мобильный пейджер Аукциона	
2	Мобильный пейджер Аукциона	
3	Мобильный пейджер Аукциона	
4	Мобильный пейджер Аукциона	
5	Мобильный пейджер Аукциона	
6	Мобильный пейджер Хранилища	
7	Мобильный пейджер Хранилища	
8	Мобильный пейджер Хранилища	
9	Мобильный пейджер Хранилища	
10	Мобильный пейджер Хранилища	
11	Мобильный пейджер Хранилища	
12	Мобильный пейджер Героя	
13	Мобильный пейджер Героя	
14	Мобильный пейджер Героя	
15	Мобильный пейджер Героя	
16	Мобильный пейджер Героя	
17	Мобильный пейджер Героя	
18	Предмет позволяющий воспользоваться услугами торговца.	
19	Предмет позволяющий воспользоваться услугами торговца.	
20	Предмет позволяющий воспользоваться услугами торговца.	
21	Предмет позволяющий воспользоваться услугами торговца.	
