string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	NPCCode	NPCClass1	NPCClass2	NPCClass3	NPCClass4	NPCClass5	NPCClass6	NPCClass7	NPCClass8	NPCClass9	NPCClass10	Money	StdPrice	StorePrice	Lv	StdPoint	StoragePart	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	IsCash	
lknpc00	1	731600	1	UTS доступный пейджер(B)	780	300	11000	060B0	19	20	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc00	0	
lknpc01	1	731600	2	UTS пейджер(B)	780	300	11000	060B0	19	20	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc01	0	
lknpc02	1	831600	1	UTS доступный пейджер(C)	780	300	00110	080B0	19	20	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc02	0	
lknpc03	1	831600	2	UTS пейджер(C)	780	300	00110	080B0	19	20	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc03	0	
lknpc04	1	431600	1	UTS доступный пейджер(A)	780	300	00001	0A0B0	19	20	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc04	0	
lknpc05	1	431600	2	UTS пейджер(A)	780	300	00001	0A0B0	19	20	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc05	0	
lknpc06	1	731601	4	Доступный Пейджер Хранилища.	780	300	11000	03050	6	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc06	0	
lknpc07	1	731601	4	Пейджер Хранилища	780	300	11000	03050	6	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc07	0	
lknpc08	1	831601	5	Доступный Пейджер Хранилища.	780	300	00110	04050	6	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc08	0	
lknpc09	1	831601	5	Пейджер Хранилища	780	300	00110	04050	6	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc09	0	
lknpc10	1	431601	6	Доступный Пейджер Хранилища.	780	300	00001	05050	6	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc10	0	
lknpc11	1	431601	6	Пейджер Хранилища	780	300	00001	05050	6	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc11	0	
lknpc12	1	731602	13	Доступный Комбинирующий Пейджер.	780	300	11000	030F1	22	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc12	0	
lknpc13	1	731602	14	Комбинирующий Пейджер.	780	300	11000	030F1	22	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc13	0	
lknpc14	1	831602	15	Доступный Комбинирующий Пейджер.	780	300	00110	040F1	22	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc14	0	
lknpc15	1	831602	16	Комбинирующий Пейджер.	780	300	00110	040F1	22	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc15	0	
lknpc16	1	431602	17	Доступный Комбинирующий Пейджер.	780	300	00001	050F1	22	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	0	1	1	1	1	1	tlknpc16	0	
lknpc17	1	431602	18	Комбинирующий Пейджер.	780	300	00001	050F1	22	0	0	0	0	0	0	0	0	0	0	10000	100	1	0	1	1	1	1	1	1	tlknpc17	0	
lknpc18	1	731600	19	Устройство вызова торговца.	780	300	11000	03177	1	0	0	0	0	0	0	0	0	0	0	50	50	1	0	0	1	1	1	1	1	tlknpc18	1	
lknpc19	1	831600	20	Устройство вызова торговца.	780	300	00110	04177	1	0	0	0	0	0	0	0	0	0	0	50	50	1	0	0	1	1	1	1	1	tlknpc19	1	
lknpc20	1	431600	21	Устройство вызова торговца.	780	300	00001	05177	1	0	0	0	0	0	0	0	0	0	0	50	50	1	0	0	1	1	1	1	1	tlknpc20	1	
lknpc21	1	731600	22	Устройство вызова торговца MAU.	780	300	11000	03040	1	10	11	0	0	0	0	0	0	0	0	50	50	1	0	0	1	1	1	1	1	tlknpc21	1	
