clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	CoupItemPart	Discount	Point	StoragePart	Lv	hz	
cucou00	Купон компьютерного кафе [1 час]	A31700	1	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	0	1	1	1	-1	0	0	500	0	1	0	
cucou01	Купон компьютерного кафе [2 часа]	A31701	2	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	1	1	1	1	-1	0	0	1000	0	1	0	
cucou02	Купон компьютерного кафе [3 часа]	A31702	3	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	2	1	1	1	-1	0	1	5	0	1	0	
cucou03	Купон компьютерного кафе [4 часа]	A31703	4	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	3	1	1	1	-1	0	1	7	0	1	0	
cucou04	Купон компьютерного кафе [5 часов]	A31704	5	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	4	1	1	1	-1	0	1	10	0	1	0	
cucou05	Купон участника [Серебрянный]	A31705	6	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	5	1	1	1	-1	1	1	1	0	1	0	
cucou06	Купон участника [Золотой]	A31706	7	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	6	1	1	1	-1	1	1	2	0	1	0	
cucou07	Купон участника [Платиновый]	A31707	8	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	7	1	1	1	-1	1	1	3	0	1	0	
cucou08	Купон участника [Изумрудный]	A31708	9	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	8	1	1	1	-1	1	1	5	0	1	0	
cucou09	Купон участника [Сапфировый]	A31709	10	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	9	1	1	1	-1	1	1	7	0	1	0	
cucou10	Membership Coupon[Бриллиантовый]	A31710	11	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	10	1	1	1	-1	1	1	10	0	1	0	
cucou11	Купон Скидки 500	A31711	20	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	11	1	0	0	-1	0	0	500	0	1	0	
cucou12	Купон Скидки 1000	A31712	21	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	12	1	0	0	-1	0	0	1000	0	1	0	
cucou13	Купон Скидки 1 процент	A31713	13	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	13	1	0	0	-1	1	1	1	0	1	0	
cucou14	Купон Скидки 2 процента	A31714	14	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	14	1	0	0	-1	1	1	2	0	1	0	
cucou15	Купон Скидки 3 процента	A31715	15	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	15	1	0	0	-1	1	1	3	0	1	0	
cucou16	Купон Скидки 5 процентов	A31716	16	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	16	1	0	0	-1	1	1	5	0	1	0	
cucou17	Купон Скидки 7 процентов	A31717	17	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	17	1	0	0	-1	1	1	7	0	1	0	
cucou18	Купон Скидки 10 процентов	A31718	18	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	18	1	0	0	-1	1	1	10	0	1	0	
cucou19	Купон Скидки 80 процентов	A31719	19	11111	36	0	0	1000	0	0	0	0	10	0	1	0	1	19	1	0	0	-1	1	1	80	0	1	0	
