dword	text	END
Count	desc	
0	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
1	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
2	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
3	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
4	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
5	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
6	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
7	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
8	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
9	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
10	Купон на скидку для пользователей Премиум Сервиса [Используется в тележке 	
11	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 500.	
12	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 1000.	
13	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 1% от общей суммы одного заказа.	
14	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 2% от общей суммы одного заказа.	
15	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 3% от общей суммы одного заказа.	
16	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 5% от общей суммы одного заказа.	
17	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 7% от общей суммы одного заказа.	
18	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 10% от общей суммы одного заказа.	
19	Купон на скидку, полученный из коробки купонов, которую можно обменять на Пексион кристалы. Можно использовать только один раз и получить скидку 80% от общей суммы одного заказа.	
