string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
Code	IsExist	Model	Icon	Name	KindClt	FixPart	Civil	CoupItemPart	Discount	Point	Money	StdPrice	StdPoint	GoldPoint	KillPoint	ProcPoint	StorePrice	Lv	UpLvLim	StoragePart	IsSell	IsExchange	IsGround	IsStore	IsNormAcc	ToolTip	IsCash	IsTime	
cucou00	1	A31700	1	Купон компьютерного кафе [1 час]	780	300	11111	0	0	500	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou00	1	1	
cucou01	1	A31701	2	Купон компьютерного кафе [2 часа]	780	300	11111	0	0	1000	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou01	1	1	
cucou02	1	A31702	3	Купон компьютерного кафе [3 часа]	780	300	11111	0	1	5	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou02	1	1	
cucou03	1	A31703	4	Купон компьютерного кафе [4 часа]	780	300	11111	0	1	7	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou03	1	1	
cucou04	1	A31704	5	Купон компьютерного кафе [5 часов]	780	300	11111	0	1	10	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou04	1	1	
cucou05	1	A31705	6	Купон участника [Серебрянный]	780	300	11111	1	1	1	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou05	1	1	
cucou06	1	A31706	7	Купон участника [Золотой]	780	300	11111	1	1	2	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou06	1	1	
cucou07	1	A31707	8	Купон участника [Платиновый]	780	300	11111	1	1	3	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou07	1	1	
cucou08	1	A31708	9	Купон участника [Изумрудный]	780	300	11111	1	1	5	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou08	1	1	
cucou09	1	A31709	10	Купон участника [Сапфировый]	780	300	11111	1	1	7	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou09	1	1	
cucou10	1	A31710	11	Membership Coupon[Бриллиантовый]	780	300	11111	1	1	10	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou10	1	1	
cucou11	1	A31711	20	Купон Скидки 500	780	300	11111	0	0	500	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou11	0	0	
cucou12	1	A31712	21	Купон Скидки 1000	780	300	11111	0	0	1000	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou12	0	0	
cucou13	1	A31713	13	Купон Скидки 1 процент	780	300	11111	1	1	1	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou13	0	0	
cucou14	1	A31714	14	Купон Скидки 2 процента	780	300	11111	1	1	2	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou14	0	0	
cucou15	1	A31715	15	Купон Скидки 3 процента	780	300	11111	1	1	3	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou15	0	0	
cucou16	1	A31716	16	Купон Скидки 5 процентов	780	300	11111	1	1	5	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou16	0	0	
cucou17	1	A31717	17	Купон Скидки 7 процентов	780	300	11111	1	1	7	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou17	0	0	
cucou18	1	A31718	18	Купон Скидки 10 процентов	780	300	11111	1	1	10	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou18	0	0	
cucou19	1	A31719	19	Купон Скидки 80 процентов	780	300	11111	1	1	80	0	1000	0	0	0	0	10	1	-1	0	1	0	0	1	1	tcucou19	0	0	
