clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	FixPart	DefFrame	none	none	DefFc	Fire	Water	Soil	Wind	AttMastery	DefMastery	none	hz	hz	hz	hz	hz	LvLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	RepPrice	AttEffType	DefEffType	hz	
unhe001	Головной Модуль	00100	1	11000	37	0	0	100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	607	0	0	0	0	10	10	0	0	0	0	0	0	30	2	-1	1	-1	0	0	1	-1	2	0	
unhe002	Головной Модуль Мк.II	00100	1	11000	37	0	0	200000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	607	0	0	0	0	11	12	0	0	0	0	0	0	30	2	-1	12	-1	0	0	1	-1	2	0	
unhe003	"Вспомогательная  Голова  ""Голиафа""3"	00100	100	11000	37	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	911	0	0	0	0	127	15	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unhe004	"Вспомогательная  Голова  ""Голиафа""4"	00100	100	11000	37	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	607	0	0	0	0	127	20	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unhe005	"Вспомогательная  Голова  ""Голиафа""5"	00100	100	11000	37	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	720	0	0	0	0	127	20	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unhe006	Головной Модуль Мк.III	00100	1	11000	37	0	0	600000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	1440	0	0	0	0	60	30	0	0	0	0	0	0	35	2	-1	60	-1	0	0	1	-1	2	0	
unhe007	Головной Модуль Мк.IV	00100	1	11000	37	0	0	800000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	1260	0	0	0	0	80	30	0	0	0	0	0	0	37	2	-1	65	-1	0	0	1	-1	2	0	
unhe008	"Вспомогательная  Голова  ""Голиафа""8"	00107	100	11000	37	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	225	0	0	0	0	127	50	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unhe009	"Вспомогательная  Голова  ""Голиафа""9"	00108	100	11000	37	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	225	0	0	0	0	127	50	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unhe010	Головной Энергомодуль	00109	2	11000	37	0	0	1100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	1935	0	0	0	0	110	50	0	0	0	0	0	0	40	2	-1	72	-1	0	0	1	-1	2	0	
unhe011	Головной Энергомодуль Мк.II	00109	2	11000	37	0	0	1300000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	2025	0	0	0	0	127	50	0	0	0	0	0	0	42	2	-1	88	-1	0	0	1	-1	2	0	
unhe012	Головной Энергомодуль Мк.III	00109	2	11000	37	0	0	1900000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	2151	0	0	0	0	127	50	0	0	0	0	0	0	48	2	-1	93	-1	0	0	1	-1	2	0	
unhe013	Голова ЦИКЛОП	0010C	3	11000	37	0	0	2100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	2581	0	0	0	0	127	50	0	0	0	0	0	0	50	2	-1	99	-1	0	0	1	-1	2	0	
unhe014	Голова ТРОЙ	0010C	3	11000	37	0	0	8400000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	3097	0	0	0	0	127	50	0	0	0	0	0	0	50	2	-1	99	-1	0	0	1	-1	2	0	
unhe015	Голова АРЕС	0010C	3	11000	37	0	0	18900000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	4026	0	0	0	0	127	50	0	0	0	0	0	0	50	2	-1	99	-1	0	0	1	-1	2	0	
unhe016	Голова МИРОТВОРЕЦ	00112	7	11000	37	0	0	2600000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	4300	0	0	0	0	127	50	0	0	0	0	0	0	51	2	-1	99	-1	0	0	3	-1	2	0	
unhe017	Голова СТРАЖ	00112	7	11000	37	0	0	8400000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	5000	0	0	0	0	127	50	0	0	0	0	0	0	52	2	-1	99	-1	0	0	3	-1	2	0	
unhe018	Голова ТИТАН	00112	7	11000	37	0	0	18900000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	10000000	0	0	5700	0	0	0	0	127	50	0	0	0	0	0	0	53	2	-1	99	-1	0	0	3	-1	2	0	
