string[64]	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	dword	float	dword	float	dword	float	string[64]	dword	dword	END
Code	Model	Icon	Name	FixPart	DefFrame	WPType	EffectGroup	NeedBullet	IsAbr	DurUnit	LvLim	UpLvLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	AttGap	Attack_DP	AttackRange	AttackDelay	MoveSpdRev	GAMinAF	GAMaxAF	AttMastery	GAMinSelProb	GAMaxSelProb	DefFc	DefMastery	Property	Fire	Water	Soil	Wind	Money	StdPrice	StdPoint	RepPrice	DesRepPrice	BstCha	BstSpd	BackSlt	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	ToolTip	AttEffType	DefEffType	
unhe001	00100	1	Головной Модуль	0	10000000	-1	-1	-1	0	0	30	-1	2	1	-1	-1	1	0	0	0	0	-1	-1	10	50	50	607	10	-1	0	0	0	0	0	100000	1	1	2000	0	0	0	0	0	0	0	0	0	0	0	tunhe001	-1	2	
unhe002	00100	1	Головной Модуль Мк.II	0	10000000	-1	-1	-1	0	0	30	-1	2	12	-1	-1	1	0	0	0	0	-1	-1	11	50	50	607	12	-1	0	0	0	0	0	200000	1	1	4000	0	0	0	0	0	0	0	0	0	0	0	tunhe002	-1	2	
unhe003	00100	100	"Вспомогательная  Голова  ""Голиафа""3"	0	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	710	50	50	911	15	-1	0	0	0	0	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunhe003	-1	2	
unhe004	00100	100	"Вспомогательная  Голова  ""Голиафа""4"	0	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	710	50	50	607	20	-1	0	0	0	0	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunhe004	-1	2	
unhe005	00100	100	"Вспомогательная  Голова  ""Голиафа""5"	0	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	710	50	50	720	20	-1	0	0	0	0	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunhe005	-1	2	
unhe006	00100	1	Головной Модуль Мк.III	0	10000000	-1	-1	-1	0	0	35	-1	2	60	-1	-1	1	0	0	0	0	-1	-1	60	50	50	1440	30	-1	0	0	0	0	0	600000	1	1	12000	0	0	0	0	0	0	0	0	0	0	0	tunhe006	-1	2	
unhe007	00100	1	Головной Модуль Мк.IV	0	10000000	-1	-1	-1	0	0	37	-1	2	65	-1	-1	1	0	0	0	0	-1	-1	80	50	50	1260	30	-1	0	0	0	0	0	800000	1	1	16000	0	0	0	0	0	0	0	0	0	0	0	tunhe007	-1	2	
unhe008	00107	100	"Вспомогательная  Голова  ""Голиафа""8"	0	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	710	50	50	225	50	-1	0	0	0	0	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunhe008	-1	2	
unhe009	00108	100	"Вспомогательная  Голова  ""Голиафа""9"	0	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	710	50	50	225	50	-1	0	0	0	0	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunhe009	-1	2	
unhe010	00109	2	Головной Энергомодуль	0	10000000	-1	-1	-1	0	0	40	-1	2	72	-1	-1	1	0	0	0	0	-1	-1	110	50	50	1935	50	-1	0	0	0	0	0	1100000	1	1	22000	0	0	0	0	0	0	0	0	0	0	0	tunhe010	-1	2	
