clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	FixPart	DefFrame	none	none	DefFc	Fire	Water	Soil	Wind	AttMastery	DefMastery	none	hz	hz	hz	hz	hz	LvLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	RepPrice	AttEffType	DefEffType	hz	
unup001	Динамическая Броня	00200	1	11000	38	0	0	100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	607	5	5	5	5	0	49	0	0	0	0	0	0	30	2	-1	1	-1	0	0	1	-1	2	0	
unup002	"Вспомогательный Корпус ""Голиафа""2"	00201	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	225	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup003	"Вспомогательный Корпус ""Голиафа""3"	00202	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	112	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup004	Улучшенная Динамическая Броня	00200	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	843	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup005	Бронированная Обшивка	00200	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	843	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup006	Тяжелая Броня	00200	1	11000	38	0	0	900000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	2025	13	13	13	13	0	49	0	0	0	0	0	0	38	2	-1	55	-1	0	0	1	-1	2	0	
unup007	"Вспомогательный Корпус ""Голиафа""7"	00200	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	1012	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	61	-1	0	0	1	-1	2	0	
unup008	"Вспомогательный Корпус ""Голиафа""8"	00207	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	112	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup009	"Вспомогательный Корпус ""Голиафа""9"	00208	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	112	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup010	Массивная Броня	00209	2	11000	38	0	0	1100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	2685	15	15	15	15	0	49	0	0	0	0	0	0	40	2	-1	70	-1	0	0	1	-1	2	0	
unup011	"Вспомогательный Корпус ""Голиафа""11"	0020A	100	11000	38	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	3605	75	75	75	75	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup012	Отражающая Броня	00209	2	11000	38	0	0	1900000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	4996	23	23	23	23	0	49	0	0	0	0	0	0	48	2	-1	95	-1	0	0	1	-1	2	0	
unup013	Корпус ЦИКЛОП	0020C	3	11000	38	0	0	2100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	5995	25	25	25	25	0	49	0	0	0	0	0	0	50	2	-1	99	-1	0	0	1	-1	2	0	
unup014	Корпус ТРОЙ	0020C	3	11000	38	0	0	8400000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	7193	27	27	27	27	0	49	0	0	0	0	0	0	50	2	-1	99	-1	0	0	1	-1	2	0	
unup015	Корпус АРЕС	0020C	3	11000	38	0	0	18900000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	9351	30	30	30	30	0	49	0	0	0	0	0	0	50	2	-1	99	-1	0	0	1	-1	2	0	
unup016	Корпус МИРОТВОРЕЦ	00212	7	11000	38	0	0	2100000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	10000	30	30	30	30	0	49	0	0	0	0	0	0	52	2	-1	99	-1	0	0	3	-1	2	0	
unup017	Корпус СТРАЖ	00212	7	11000	38	0	0	8400000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	13000	33	33	33	33	0	49	0	0	0	0	0	0	53	2	-1	99	-1	0	0	3	-1	2	0	
unup018	Корпус ТИТАН	00212	7	11000	38	0	0	18900000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	16000	36	36	36	36	0	49	0	0	0	0	0	0	54	2	-1	99	-1	0	0	3	-1	2	0	
unup019	Броня Яда	0022D	16	11000	38	0	0	30240000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	19200	37	37	37	37	0	49	0	0	0	0	0	0	57	2	-1	99	-1	0	0	12	-1	2	0	
unup020	Броня Миража	0022D	16	11000	38	0	0	37800000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	10000000	0	0	23040	38	38	38	38	0	49	0	0	0	0	0	0	62	2	-1	99	-1	0	0	15	-1	2	0	
unup021	Обычная Броня	10214	4	11000	38	0	0	100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	371	3	3	3	3	0	49	0	0	0	0	0	0	30	2	-1	1	-1	0	0	1	-1	2	0	
unup022	"Вспомогательный Корпус ""Баллисты""2"	10215	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	76	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup023	"Вспомогательный Корпус ""Баллисты""3"	10216	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	76	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup024	Тяжелая Броня Баллисты	10217	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	497	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup025	Легкая Броня	10214	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	535	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup026	Молекулярная Броня	10214	4	11000	38	0	0	900000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	1147	7	7	7	7	0	49	0	0	0	0	0	0	38	2	-1	57	-1	0	0	1	-1	2	0	
unup027	Усиленная Легкая Прочная Броня	10214	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	688	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup028	"Вспомогательный Корпус ""Баллисты""8"	1021B	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	76	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup029	"Вспомогательный Корпус ""Баллисты""9"	1021C	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	76	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup030	Пластинчатая Броня	1021D	5	11000	38	0	0	1100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	1649	9	9	9	9	0	49	0	0	0	0	0	0	40	2	-1	70	-1	0	0	1	-1	2	0	
unup031	"Вспомогательный Корпус ""Баллисты""11"	1021E	100	11000	38	0	0	7100000	4	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	2138	45	45	45	45	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	4	-1	2	0	
unup032	Тугоплавкая Броня	1021D	5	11000	38	0	0	1900000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	2891	13	13	13	13	0	49	0	0	0	0	0	0	48	2	-1	95	-1	0	0	1	-1	2	0	
unup033	Вспомогательный Корпус XR1	10220	6	11000	38	0	0	2100000	2	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	3469	15	15	15	15	0	49	0	0	0	0	0	0	50	2	-1	99	-1	0	0	2	-1	2	0	
unup034	Вспомогательный Корпус XR2	10220	6	11000	38	0	0	8400000	5	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	4163	16	16	16	16	0	49	0	0	0	0	0	0	50	2	-1	99	-1	0	0	5	-1	2	0	
unup035	Вспомогательный Корпус XR3	10220	6	11000	38	0	0	18900000	10	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	5411	18	18	18	18	0	49	0	0	0	0	0	0	50	2	-1	99	-1	0	0	10	-1	2	0	
unup036	Вспомогательный Корпус XR4	10226	8	11000	38	0	0	2100000	2	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	6000	18	18	18	18	0	49	0	0	0	0	0	0	52	2	-1	99	-1	0	0	2	-1	2	0	
unup037	Вспомогательный Корпус XR5	10226	8	11000	38	0	0	8400000	5	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	6800	19	19	19	19	0	49	0	0	0	0	0	0	53	2	-1	99	-1	0	0	5	-1	2	0	
unup038	Вспомогательный Корпус XR6	10226	8	11000	38	0	0	18900000	10	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	7500	21	21	21	21	0	49	0	0	0	0	0	0	54	2	-1	99	-1	0	0	10	-1	2	0	
unup039	Броня Изменения	1022D	16	11000	38	0	0	30240000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	9000	23	23	23	23	0	49	0	0	0	0	0	0	57	2	-1	99	-1	0	0	12	-1	2	0	
unup040	Необычная Броня	1022D	16	11000	38	0	0	37800000	3	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	01000000	0	0	10800	25	25	25	25	0	49	0	0	0	0	0	0	62	2	-1	99	-1	0	0	15	-1	2	0	
unup041	"Вспомогательный Корпус ""Зодчего""1"	20228	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup042	"Вспомогательный Корпус ""Зодчего""2"	20229	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup043	"Вспомогательный Корпус ""Зодчего""3"	2022A	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup044	"Вспомогательный Корпус ""Зодчего""4"	2022B	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup045	"Вспомогательный Корпус ""Зодчего""5"	2022C	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup046	"Вспомогательный Корпус ""Зодчего""6"	2022D	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup047	"Вспомогательный Корпус ""Зодчего""7"	2022E	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup048	"Вспомогательный Корпус ""Зодчего""8"	2022F	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup049	"Вспомогательный Корпус ""Зодчего""9"	20230	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unup050	"Вспомогательный Корпус ""Зодчего""10"	20231	100	11000	38	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	00100000	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
