string[64]	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	dword	float	dword	float	dword	float	string[64]	dword	dword	END
Code	Model	Icon	Name	FixPart	DefFrame	WPType	EffectGroup	NeedBullet	IsAbr	DurUnit	LvLim	UpLvLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	AttGap	Attack_DP	AttackRange	AttackDelay	MoveSpdRev	GAMinAF	GAMaxAF	AttMastery	GAMinSelProb	GAMaxSelProb	DefFc	DefMastery	Property	Fire	Water	Soil	Wind	Money	StdPrice	StdPoint	RepPrice	DesRepPrice	BstCha	BstSpd	BackSlt	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	ToolTip	AttEffType	DefEffType	
unup001	00200	1	Динамическая Броня	1	10000000	-1	-1	-1	0	0	30	-1	2	1	-1	-1	1	0	0	0	0	-1	-1	0	50	50	607	49	-1	5	5	5	5	0	100000	1	1	2000	0	0	0	0	0	0	0	0	0	0	0	tunup001	-1	2	
unup002	00201	100	"Вспомогательный Корпус ""Голиафа""2"	1	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	225	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup002	-1	2	
unup003	00202	100	"Вспомогательный Корпус ""Голиафа""3"	1	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	112	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup003	-1	2	
unup004	00200	100	Улучшенная Динамическая Броня	1	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	843	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup004	-1	2	
unup005	00200	100	Бронированная Обшивка	1	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	843	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup005	-1	2	
unup006	00200	1	Тяжелая Броня	1	10000000	-1	-1	-1	0	0	38	-1	2	55	-1	-1	1	0	0	0	0	-1	-1	0	50	50	2025	49	-1	13	13	13	13	0	900000	1	1	18000	0	0	0	0	0	0	0	0	0	0	0	tunup006	-1	2	
unup007	00200	100	"Вспомогательный Корпус ""Голиафа""7"	1	10000000	-1	-1	-1	0	0	100	-1	2	61	-1	-1	1	0	0	0	0	-1	-1	0	50	50	1012	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup007	-1	2	
unup008	00207	100	"Вспомогательный Корпус ""Голиафа""8"	1	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	112	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup008	-1	2	
unup009	00208	100	"Вспомогательный Корпус ""Голиафа""9"	1	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	112	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup009	-1	2	
unup010	00209	2	Массивная Броня	1	10000000	-1	-1	-1	0	0	40	-1	2	70	-1	-1	1	0	0	0	0	-1	-1	0	50	50	2685	49	-1	15	15	15	15	0	1100000	1	1	22000	0	0	0	0	0	0	0	0	0	0	0	tunup010	-1	2	
unup011	0020A	100	"Вспомогательный Корпус ""Голиафа""11"	1	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	3605	49	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunup011	-1	2	
unup012	00209	2	Отражающая Броня	1	10000000	-1	-1	-1	0	0	48	-1	2	95	-1	-1	1	0	0	0	0	-1	-1	0	50	50	4996	49	-1	23	23	23	23	0	1900000	1	1	38000	0	0	0	0	0	0	0	0	0	0	0	tunup012	-1	2	
