clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	FixPart	DefFrame	none	none	DefFc	Fire	Water	Soil	Wind	AttMastery	DefMastery	none	hz	hz	hz	hz	hz	LvLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	RepPrice	AttEffType	DefEffType	hz	
unlo001	Динамический Сервопривод	00300	1	11000	39	0	0	100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	455	5	5	5	5	0	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	1	-1	2	0	
unlo002	"Вспомогательные Обтекатели ""Голиафа""2"	00300	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	112	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo003	"Вспомогательные Обтекатели ""Голиафа""3"	00300	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	112	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo004	Усиленный Передвижной Элемент Голиафа	00300	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	731	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo005	Тяжелый Сервопривод	00300	1	11000	39	0	0	800000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	1462	12	12	12	12	0	0	0	0	0	0	0	0	37	2	-1	50	-1	0	0	1	-1	2	0	
unlo006	Дополнительный Передвижной Элемент Голиафа	00300	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	900	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo007	Отражающие Обтекатели	00300	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	900	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo008	"Вспомогательные Обтекатели ""Голиафа""8"	00307	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	112	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo009	"Вспомогательные Обтекатели ""Голиафа""9"	00308	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	112	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo010	Массивный Сервопривод	00309	2	11000	39	0	0	1100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	2351	15	15	15	15	0	0	0	0	0	0	0	0	40	2	-1	69	-1	0	0	1	-1	2	0	
unlo011	"Вспомогательные Обтекатели ""Голиафа""11"	0030A	100	11000	39	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	3526	75	75	75	75	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	
unlo012	Отражающий Сервопривод	00309	2	11000	39	0	0	1600000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	5800	20	20	20	20	0	0	0	0	0	0	0	0	45	2	-1	78	-1	0	0	1	-1	2	0	
unlo013	Обтекатель ЦИКЛОП	0030C	3	11000	39	0	0	2000000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	6960	24	24	24	24	0	0	0	0	0	0	0	0	49	2	-1	99	-1	0	0	1	-1	2	0	
unlo014	Обтекатель ТРОЙ	0030C	3	11000	39	0	0	8000000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	2	10000000	0	0	8351	26	26	26	26	0	0	0	0	0	0	0	0	49	2	-1	99	-1	0	0	1	-1	2	0	
