string[64]	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	dword	float	dword	float	dword	float	string[64]	dword	dword	END
Code	Model	Icon	Name	FixPart	DefFrame	WPType	EffectGroup	NeedBullet	IsAbr	DurUnit	LvLim	UpLvLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	AttGap	Attack_DP	AttackRange	AttackDelay	MoveSpdRev	GAMinAF	GAMaxAF	AttMastery	GAMinSelProb	GAMaxSelProb	DefFc	DefMastery	Property	Fire	Water	Soil	Wind	Money	StdPrice	StdPoint	RepPrice	DesRepPrice	BstCha	BstSpd	BackSlt	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	ToolTip	AttEffType	DefEffType	
unlo001	00300	1	Динамический Сервопривод	2	10000000	-1	-1	-1	0	0	30	-1	2	1	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	455	0	-1	5	5	5	5	0	100000	1	1	2000	0	0	0	0	0	0	0	0	0	0	0	tunlo001	-1	2	
unlo002	00300	100	"Вспомогательные Обтекатели ""Голиафа""2"	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	112	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo002	-1	2	
unlo003	00300	100	"Вспомогательные Обтекатели ""Голиафа""3"	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	112	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo003	-1	2	
unlo004	00300	100	Усиленный Передвижной Элемент Голиафа	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	731	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo004	-1	2	
unlo005	00300	1	Тяжелый Сервопривод	2	10000000	-1	-1	-1	0	0	37	-1	2	50	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	1462	0	-1	12	12	12	12	0	800000	1	1	16000	0	0	0	0	0	0	0	0	0	0	0	tunlo005	-1	2	
unlo006	00300	100	Дополнительный Передвижной Элемент Голиафа	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	900	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo006	-1	2	
unlo007	00300	100	Отражающие Обтекатели	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	900	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo007	-1	2	
unlo008	00307	100	"Вспомогательные Обтекатели ""Голиафа""8"	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	112	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo008	-1	2	
unlo009	00308	100	"Вспомогательные Обтекатели ""Голиафа""9"	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	112	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo009	-1	2	
unlo010	00309	2	Массивный Сервопривод	2	10000000	-1	-1	-1	0	0	40	-1	2	69	-1	-1	1	0	0	0	0	-1	-1	0	50	50	2351	0	-1	15	15	15	15	0	1100000	1	1	22000	0	0	0	0	0	0	0	0	0	0	0	tunlo010	-1	2	
unlo011	0030A	100	"Вспомогательные Обтекатели ""Голиафа""11"	2	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	3526	0	-1	75	75	75	75	0	7100000	1	1	142000	0	0	0	0	0	0	0	0	0	0	0	tunlo011	-1	2	
unlo012	00309	2	Отражающий Сервопривод	2	10000000	-1	-1	-1	0	0	45	-1	2	78	-1	-1	1	0	0	0	0	-1	-1	0	50	50	5800	0	-1	20	20	20	20	0	1600000	1	1	32000	0	0	0	0	0	0	0	0	0	0	0	tunlo012	-1	2	
unlo013	0030C	3	Обтекатель ЦИКЛОП	2	10000000	-1	-1	-1	0	0	49	-1	2	99	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	6960	0	-1	24	24	24	24	0	2000000	1	1	40000	0	0	0	0	0	0	0	0	0	0	0	tunlo013	-1	2	
unlo014	0030C	3	Обтекатель ТРОЙ	2	10000000	-1	-1	-1	0	0	49	-1	2	99	-1	-1	1	0	0	0	0	-1	-1	0	50	50	8351	0	-1	26	26	26	26	0	8000000	1	1	160000	0	0	0	0	0	0	0	0	0	0	0	tunlo014	-1	2	
unlo015	0030C	3	Обтекатель АРЕС	2	10000000	-1	-1	-1	0	0	49	-1	2	99	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	10021	0	-1	28	28	28	28	0	18000000	1	1	360000	0	0	0	0	0	0	0	0	0	0	0	tunlo015	-1	2	
unlo016	00312	7	Обтекатель МИРОТВОРЕЦ	2	10000000	-1	-1	-1	0	0	53	-1	2	99	-1	-1	1	0	0	0	0	-1	-1	0	50	50	11000	0	-1	29	29	29	29	0	2000000	1	1	40000	0	0	0	0	0	0	0	0	0	0	0	tunlo016	-1	2	
unlo017	00312	7	Обтекатель СТРАЖ	2	10000000	-1	-1	-1	0	0	54	-1	2	99	-1	-1	1	0	0	0	-0,5	-1	-1	0	50	50	13000	0	-1	31	31	31	31	0	8000000	1	1	160000	0	0	0	0	0	0	0	0	0	0	0	tunlo017	-1	2	
unlo018	00312	7	Обтекатель ТИТАН	2	10000000	-1	-1	-1	0	0	55	-1	2	99	-1	-1	1	0	0	0	0	-1	-1	0	50	50	15000	0	-1	34	34	34	34	0	18000000	1	1	360000	0	0	0	0	0	0	0	0	0	0	0	tunlo018	-1	2	
