clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	FixPart	DefFrame	none	none	DefFc	Fire	Water	Soil	Wind	AttMastery	DefMastery	none	hz	hz	hz	hz	hz	LvLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	RepPrice	AttEffType	DefEffType	AttackRange	AttackDelay	EffectGroup	GAMinAF	GAMaxAF	WPType	NeedBullet	BackSlt	hz	
unar001	Энергокулак	00401	1	11000	40	0	0	100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	303	0	0	0	0	20	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	1	4	2	40	1700	0	961	1068	1	1	1	0	
unar002	Ударный Энергокулак	00401	2	11000	40	0	0	200000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	303	0	0	0	0	25	0	0	0	0	0	0	0	30	2	-1	15	-1	0	0	1	4	2	40	1700	0	1153	1282	1	1	1	0	
unar003	Шипастый Энергокулак	00402	3	11000	40	0	0	300000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	303	0	0	0	0	35	0	0	0	0	0	0	0	30	2	-1	30	-1	0	0	1	1	2	40	1700	0	1384	1538	1	1	1	0	
unar004	Электрокулак	00400	100	11000	40	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	337	0	0	0	0	50	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	4	2	0	1700	0	0	0	1	1	1	0	
unar005	Сервоманипулятор	00401	1	11000	40	0	0	600000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	405	0	0	0	0	50	0	0	0	0	0	0	0	35	2	-1	52	-1	0	0	1	4	2	40	1700	0	1778	1976	1	1	1	0	
unar006	Пневмоманипулятор	00402	1	11000	40	0	0	800000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	472	0	0	0	0	50	0	0	0	0	0	0	0	37	2	-1	60	-1	0	0	1	4	2	40	1700	0	2426	2696	1	1	1	0	
unar007	Сервомолот	00400	100	11000	40	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	495	0	0	0	0	50	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	4	2	0	1700	0	0	0	1	1	1	0	
unar008	"Тонарм Боевых Систем ""Голиафа""8"	00407	100	11000	40	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	4	2	0	1700	0	0	0	1	1	1	0	
unar009	"Тонарм Боевых Систем ""Голиафа""9"	00408	100	11000	40	0	0	7100000	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	3	10000000	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	4	2	0	1700	0	0	0	1	1	1	0	
