string[64]	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	dword	float	dword	float	dword	float	string[64]	dword	dword	END
Code	Model	Icon	Name	FixPart	DefFrame	WPType	EffectGroup	NeedBullet	IsAbr	DurUnit	LvLim	UpLvLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	AttGap	Attack_DP	AttackRange	AttackDelay	MoveSpdRev	GAMinAF	GAMaxAF	AttMastery	GAMinSelProb	GAMaxSelProb	DefFc	DefMastery	Property	Fire	Water	Soil	Wind	Money	StdPrice	StdPoint	RepPrice	DesRepPrice	BstCha	BstSpd	BackSlt	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	ToolTip	AttEffType	DefEffType	
unar001	00401	1	Энергокулак	3	10000000	1	0	1	0	0	30	-1	2	1	-1	-1	0	0	40	1700	0	961	1068	20	30	50	303	0	-1	0	0	0	0	0	100000	1	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunar001	4	2	
unar002	00401	2	Ударный Энергокулак	3	10000000	1	0	1	0	0	30	-1	2	15	-1	-1	0	0	40	1700	0	1153	1282	25	30	40	303	0	-1	0	0	0	0	0	200000	1	1	4000	0	0	1	0	0	0	0	0	0	0	0	tunar002	4	2	
unar003	00402	3	Шипастый Энергокулак	3	10000000	1	0	1	0	0	30	-1	2	30	-1	-1	0	0	40	1700	0	1384	1538	35	30	30	303	0	-1	0	0	0	0	0	300000	1	1	6000	0	0	1	0	0	0	0	0	0	0	0	tunar003	1	2	
unar004	00400	100	Электрокулак	3	10000000	1	0	1	0	0	100	-1	2	100	-1	-1	0	0	0	1700	0	0	0	50	30	30	337	0	-1	0	0	0	0	0	7100000	1	1	142000	0	0	1	0	0	0	0	0	0	0	0	tunar004	4	2	
unar005	00401	1	Сервоманипулятор	3	10000000	1	0	1	0	0	35	-1	2	52	-1	-1	0	0	40	1700	0	1778	1976	50	30	30	405	0	-1	0	0	0	0	0	600000	1	1	12000	0	0	1	0	0	0	0	0	0	0	0	tunar005	4	2	
unar006	00402	1	Пневмоманипулятор	3	10000000	1	0	1	0	0	37	-1	2	60	-1	-1	0	0	40	1700	0	2426	2696	50	30	30	472	0	-1	0	0	0	0	0	800000	1	1	16000	0	0	1	0	0	0	0	0	0	0	0	tunar006	4	2	
unar007	00400	100	Сервомолот	3	10000000	1	0	1	0	0	100	-1	2	100	-1	-1	0	0	0	1700	0	0	0	50	30	30	495	0	-1	0	0	0	0	0	7100000	1	1	142000	0	0	1	0	0	0	0	0	0	0	0	tunar007	4	2	
unar008	00407	100	"Тонарм Боевых Систем ""Голиафа""8"	3	10000000	1	0	1	0	0	100	-1	2	100	-1	-1	0	0	0	1700	0	0	0	50	30	30	0	0	-1	0	0	0	0	0	7100000	1	1	142000	0	0	1	0	0	0	0	0	0	0	0	tunar008	4	2	
unar009	00408	100	"Тонарм Боевых Систем ""Голиафа""9"	3	10000000	1	0	1	0	0	100	-1	2	100	-1	-1	0	0	0	1700	0	0	0	50	30	30	0	0	-1	0	0	0	0	0	7100000	1	1	142000	0	0	1	0	0	0	0	0	0	0	0	tunar009	4	2	
