clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	FixPart	DefFrame	none	none	DefFc	Fire	Water	Soil	Wind	AttMastery	DefMastery	none	hz	hz	hz	hz	hz	LvLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	RepPrice	AttEffType	DefEffType	AttackRange	AttackDelay	EffectGroup	GAMinAF	GAMaxAF	WPType	NeedBullet	BackSlt	hz	
unsg000	Сервоплечо	005FF	1	11000	41	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	0	-1	2	0	3000	-1	0	0	0	-1	0	0	
unsh001	Установка Паутина	00500	2	11000	41	0	0	500000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	300	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	40	-1	0	0	1	12	2	180	3000	0	0	0	5	2	1	0	
unsh002	"Вспомогательный Плечевой Элемент ""Голиафа""2"	00501	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh003	"Вспомогательный Плечевой Элемент ""Голиафа""3"	00502	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh004	"Вспомогательный Плечевой Элемент ""Голиафа""4"	00503	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh005	"Вспомогательный Плечевой Элемент ""Голиафа""5"	00504	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh006	"Вспомогательный Плечевой Элемент ""Голиафа""6"	00505	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh007	"Вспомогательный Плечевой Элемент ""Голиафа""7"	00506	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh008	"Вспомогательный Плечевой Элемент ""Голиафа""8"	00507	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
