string[64]	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	dword	float	dword	float	dword	float	string[64]	dword	dword	END
Code	Model	Icon	Name	FixPart	DefFrame	WPType	EffectGroup	NeedBullet	IsAbr	DurUnit	LvLim	UpLvLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	AttGap	Attack_DP	AttackRange	AttackDelay	MoveSpdRev	GAMinAF	GAMaxAF	AttMastery	GAMinSelProb	GAMaxSelProb	DefFc	DefMastery	Property	Fire	Water	Soil	Wind	Money	StdPrice	StdPoint	RepPrice	DesRepPrice	BstCha	BstSpd	BackSlt	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	ToolTip	AttEffType	DefEffType	
unsg000	005FF	1	Сервоплечо	4	10000000	0	-1	-1	0	0	30	-1	2	1	-1	-1	1	0	0	3000	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tunsg000	-1	2	
unsh001	00500	2	Установка Паутина	4	10000000	5	0	2	0	0	30	-1	2	40	-1	-1	1	0	180	3000	0	0	0	99	50	50	300	0	-1	0	0	0	0	0	500000	0	1	10000	0	0	1	0	0	0	0	0	0	0	0	tunsh001	12	2	
unsh002	00501	100	"Вспомогательный Плечевой Элемент ""Голиафа""2"	4	10000000	0	0	2	0	0	30	-1	2	100	-1	-1	1	0	0	3000	0	250	350	99	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunsh002	-1	2	
unsh003	00502	100	"Вспомогательный Плечевой Элемент ""Голиафа""3"	4	10000000	0	0	2	0	0	30	-1	2	100	-1	-1	1	0	0	3000	0	150	250	99	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunsh003	-1	2	
unsh004	00503	100	"Вспомогательный Плечевой Элемент ""Голиафа""4"	4	10000000	0	0	2	0	0	30	-1	2	100	-1	-1	1	0	0	3000	0	250	350	99	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunsh004	-1	2	
unsh005	00504	100	"Вспомогательный Плечевой Элемент ""Голиафа""5"	4	10000000	0	0	2	0	0	30	-1	2	100	-1	-1	1	0	0	3000	0	150	250	99	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunsh005	-1	2	
unsh006	00505	100	"Вспомогательный Плечевой Элемент ""Голиафа""6"	4	10000000	0	0	2	0	0	30	-1	2	100	-1	-1	1	0	0	3000	0	250	350	99	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunsh006	-1	2	
unsh007	00506	100	"Вспомогательный Плечевой Элемент ""Голиафа""7"	4	10000000	0	0	2	0	0	30	-1	2	100	-1	-1	1	0	0	3000	0	150	250	99	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunsh007	-1	2	
unsh008	00507	100	"Вспомогательный Плечевой Элемент ""Голиафа""8"	4	10000000	0	0	2	0	0	30	-1	2	100	-1	-1	1	0	0	3000	0	250	350	99	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	1	0	0	0	0	0	0	0	0	tunsh008	-1	2	
