clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	byte	byte	word	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	StorePrice	IsExchange	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	FixPart	DefFrame	none	none	DefFc	Fire	Water	Soil	Wind	AttMastery	DefMastery	none	hz	hz	hz	hz	hz	LvLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	RepPrice	AttEffType	DefEffType	BstCha	BstSpd	BackSlt	none	hz	
unbg000	Арьергардный Ускоритель	006FF	1	11000	42	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	0	-1	2	0	0	0	0	0	
unba001	Ускоритель	00600	2	11000	42	0	0	300000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	15	-1	0	0	1	-1	2	100	2	0	0	0	
unba002	Легкий Ускоритель	00601	100	11000	42	0	0	150000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba003	Стандартный Ускоритель	00602	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba004	"Вспомогательная Тыльная Броня ""Голиафа""4"	00603	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba005	"Вспомогательная Тыльная Броня ""Голиафа""5"	00604	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba006	"Вспомогательная Тыльная Броня ""Голиафа""6"	00605	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba007	"Вспомогательная Тыльная Броня ""Голиафа""7"	00606	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba008	"Вспомогательная Тыльная Броня ""Голиафа""8"	00607	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
