string[64]	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	dword	float	dword	float	dword	float	string[64]	dword	dword	END
Code	Model	Icon	Name	FixPart	DefFrame	WPType	EffectGroup	NeedBullet	IsAbr	DurUnit	LvLim	UpLvLim	ExpertID1	ExpertLim1	ExpertID2	ExpertLim2	AttGap	Attack_DP	AttackRange	AttackDelay	MoveSpdRev	GAMinAF	GAMaxAF	AttMastery	GAMinSelProb	GAMaxSelProb	DefFc	DefMastery	Property	Fire	Water	Soil	Wind	Money	StdPrice	StdPoint	RepPrice	DesRepPrice	BstCha	BstSpd	BackSlt	EffCode1	EffUnit1	EffCode2	EffUnit2	EffCode3	EffUnit3	EffCode4	EffUnit4	ToolTip	AttEffType	DefEffType	
unbg000	006FF	1	Арьергардный Ускоритель	5	10000000	-1	-1	-1	0	0	30	-1	2	1	-1	-1	1	0	0	0	0	-1	-1	0	50	50	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tunbg000	-1	2	
unba001	00600	2	Ускоритель	5	10000000	-1	-1	-1	0	0	30	-1	2	15	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	300000	0	1	6000	100	2	0	0	0	0	0	0	0	0	0	tunba001	-1	2	
unba002	00601	100	Легкий Ускоритель	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	150000	0	1	3000	0	0	0	0	0	0	0	0	0	0	0	tunba002	-1	2	
unba003	00602	100	Стандартный Ускоритель	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	2	0	0	0	0	0	0	0	0	0	tunba003	-1	2	
unba004	00603	100	"Вспомогательная Тыльная Броня ""Голиафа""4"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	0	0	0	0	0	0	0	0	0	tunba004	-1	2	
unba005	00604	100	"Вспомогательная Тыльная Броня ""Голиафа""5"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	2	0	0	0	0	0	0	0	0	0	tunba005	-1	2	
unba006	00605	100	"Вспомогательная Тыльная Броня ""Голиафа""6"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	0	0	0	0	0	0	0	0	0	tunba006	-1	2	
unba007	00606	100	"Вспомогательная Тыльная Броня ""Голиафа""7"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	2	0	0	0	0	0	0	0	0	0	tunba007	-1	2	
unba008	00607	100	"Вспомогательная Тыльная Броня ""Голиафа""8"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	0	0	0	0	0	0	0	0	0	tunba008	-1	2	
unba009	00608	100	"Вспомогательная Тыльная Броня ""Голиафа""9"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	100	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	0	0	0	0	0	0	0	0	0	tunba009	-1	2	
unba010	00609	3	Энергоускоритель	5	10000000	-1	-1	-1	0	0	41	-1	2	80	-1	-1	1	0	0	0	0	-1	-1	0	50	50	125	0	-1	0	0	0	0	0	1000000	0	1	20000	500	3	8	0	0	0	0	0	0	0	0	tunba010	-1	2	
unba011	0060A	100	"Вспомогательная Тыльная Броня ""Голиафа""11"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	125	0	-1	0	0	0	0	0	100000	0	1	2000	0	2	0	0	0	0	0	0	0	0	0	tunba011	-1	2	
unba012	0060B	100	"Вспомогательная Тыльная Броня ""Голиафа""12"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	125	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	4	0	0	0	0	0	0	0	0	tunba012	-1	2	
unba013	0060C	4	Тыльная Броня XR1	5	10000000	-1	-1	-1	0	0	49	-1	2	99	-1	-1	1	0	0	0	0	-1	-1	0	50	50	324	0	-1	0	0	0	0	0	3000000	0	5	60000	1000	3	8	0	0	0	0	0	0	0	0	tunba013	-1	2	
unba014	00636	9	Тыльная Броня XR2	5	10000000	-1	-1	-1	0	0	54	-1	2	99	-1	-1	1	0	0	0	0	-1	-1	0	50	50	211	0	-1	0	0	0	0	0	3000000	0	1	60000	1000	3	8	0	0	0	0	0	0	0	0	tunba014	-1	2	
unba015	0062D	16	Накидка Яда	5	10000000	-1	-1	-1	0	0	56	-1	2	99	-1	-1	1	0	0	0	0	-1	-1	0	50	50	253	0	-1	0	0	0	0	0	4800000	0	4	96000	1000	3	8	0	0	0	0	0	0	0	0	tunba015	-1	2	
unba016	0062D	16	Накидка Миража	5	10000000	-1	-1	-1	0	0	61	-1	2	99	-1	-1	1	0	0	0	0	-1	-1	0	50	50	304	0	-1	0	0	0	0	0	6000000	0	5	120000	1000	3	8	0	0	0	0	0	0	0	0	tunba016	-1	2	
unba017	00610	100	"Вспомогательная Тыльная Броня ""Голиафа""17"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	125	0	-1	0	0	0	0	0	100000	0	1	2000	0	2	0	0	0	0	0	0	0	0	0	tunba017	-1	2	
unba018	00611	100	"Вспомогательная Тыльная Броня ""Голиафа""18"	5	10000000	-1	-1	-1	0	0	100	-1	2	100	-1	-1	1	0	0	0	0	-1	-1	0	50	50	125	0	-1	0	0	0	0	0	100000	0	1	2000	0	0	8	0	0	0	0	0	0	0	0	tunba018	-1	2	
