clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	dword	dword	xeh	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	Gold	Proc	Kill	Store	Excha	sell	ground	store	Descript	IsExist	IsCash	IsTime	UpLvLim	FixPart	DefFrame	none	none	DefFc	Fire	Water	Soil	Wind	AttMastery	DefMastery	none	hz	hz	hz	hz	hz	LvLim	ExpertID1	ExpertID2	ExpertLim1	ExpertLim2	none	none	RepPrice	AttEffType	DefEffType	DurUnit	WPType	IsAbr	EffectIndex	hz	
unbg000	Пустой Энергозаряд	F07FF	1	11000	43	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
unbu001	Слабый Энергозаряд	F0700	2	11000	43	0	0	10000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1	1	0	0	
unbu002	Энергозаряд	F0701	3	11000	43	0	0	20000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1	1	0	0	
unbu003	Насыщенный Энергозаряд	F0702	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1	1	0	0	
unbu004	Вспомогательный	F0703	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu005	Вспомогательный	F0704	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu006	Вспомогательный	F0705	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu007	Вспомогательный	F0706	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu008	Вспомогательный	F0707	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu009	Вспомогательный	F0708	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu010	Вспомогательный	F0709	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu011	Заряды Установки Паутина	F070A	10	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	11	0	
unbu012	Вспомогательная система XR1	F070B	15	11000	43	0	0	40000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	18	0	
unbu013	Вспомогательная система XR2	F070C	16	11000	43	0	0	40000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	19	0	
unbu014	Вспомогательная система XR3	F070D	17	11000	43	0	0	40000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1A	0	
unbu015	Вспомогательная система XR4	F070E	18	11000	43	0	0	120000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1B	0	
unbu016	Вспомогательная система XR5	F070F	19	11000	43	0	0	120000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1C	0	
unbu017	Вспомогательная система XR6	F0710	20	11000	43	0	0	240000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1D	0	
unbu018	Вспомогательный	F0711	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu019	Вспомогательный	F0712	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu020	Вспомогательный	F0713	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbc000	Пустой Цинк	F07FF	5	11000	43	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
unbu021	Вспомогательная система XR7	F0700	6	11000	43	0	0	10000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	2	1	0	0	
unbu022	Огнеметный Боеприпас	F0701	7	11000	43	0	0	10000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	3	1	0	0	
unbu023	Ракетный Боеприпас	F0702	8	11000	43	0	0	10000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	4	1	0	0	
unbu024	Вспомогательная система XR8	F0703	9	11000	43	0	0	40000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	2	1	0	0	
unbu025	Вспомогательная система XR9	F0704	10	11000	43	0	0	80000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	2	1	0	0	
unbu026	Вспомогательная система XR10	F0705	20	11000	43	0	0	160000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1	0	0	
unbu027	Вспомогательный	F0706	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu028	Вспомогательный	F0707	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
