string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	float	string[64]	string[64]	END
Code	Model	Icon	Name	WPType	IsAbr	DurUnit	Money	StdPrice	StdPoint	GAAF	EffectIndex	ToolTip	
unbg000	F07FF	1	Пустой Энергозаряд	0	0	0	0	0	0	0	0	tunbg000	
unbu001	F0700	2	Слабый Энергозаряд	1	1	1000	0	10000	0	1	0	tunbu001	
unbu002	F0701	3	Энергозаряд	1	1	1000	0	20000	0	1,100000024	0	tunbu002	
unbu003	F0702	4	Насыщенный Энергозаряд	1	1	1000	0	30000	0	1,200000048	0	tunbu003	
unbu004	F0703	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu004	
unbu005	F0704	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu005	
unbu006	F0705	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu006	
unbu007	F0706	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu007	
unbu008	F0707	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu008	
unbu009	F0708	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu009	
unbu010	F0709	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu010	
unbu011	F070A	10	Заряды Установки Паутина	5	1	2	0	30000	0	1	11	tunbu011	
unbu012	F070B	15	Вспомогательная система XR1	0	1	5	0	40000	0	1	18	tunbu012	
unbu013	F070C	16	Вспомогательная система XR2	0	1	5	0	40000	0	1	19	tunbu013	
unbu014	F070D	17	Вспомогательная система XR3	0	1	5	0	40000	0	1	1A	tunbu014	
unbu015	F070E	18	Вспомогательная система XR4	0	1	5	0	120000	0	1	1B	tunbu015	
unbu016	F070F	19	Вспомогательная система XR5	0	1	5	0	120000	0	1	1C	tunbu016	
unbu017	F0710	20	Вспомогательная система XR6	0	1	5	0	240000	0	1	1D	tunbu017	
unbu018	F0711	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu018	
unbu019	F0712	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu019	
unbu020	F0713	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu020	
unbc000	F07FF	5	Пустой Цинк	0	0	0	0	0	0	0	0	tunbc000	
unbu021	F0700	6	Вспомогательная система XR7	2	1	1000	0	10000	0	1	0	tunbu021	
unbu022	F0701	7	Огнеметный Боеприпас	3	1	1000	0	10000	0	1	0	tunbu022	
unbu023	F0702	8	Ракетный Боеприпас	4	1	1000	0	10000	0	1	0	tunbu023	
unbu024	F0703	9	Вспомогательная система XR8	2	1	1000	0	40000	0	1,100000024	0	tunbu024	
unbu025	F0704	10	Вспомогательная система XR9	2	1	1000	0	80000	0	1,200000048	0	tunbu025	
unbu026	F0705	20	Вспомогательная система XR10	0	1	100	0	160000	0	1,299999952	0	tunbu026	
unbu027	F0706	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu027	
unbu028	F0707	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu028	
unbu029	F0708	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu029	
unbu030	F0709	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu030	
unbu031	F070A	22	Гранатометный Боеприпас	6	1	5	0	30000	0	1	12	tunbu031	
unbu032	F070B	21	Вспомогательная система XR11	0	1	5	0	40000	0	1	1E	tunbu032	
unbu033	F070C	22	Вспомогательная система XR12	0	1	5	0	40000	0	1	1F	tunbu033	
unbu034	F070D	23	Вспомогательная система XR13	0	1	5	0	40000	0	1	20	tunbu034	
unbu035	F070E	24	Вспомогательная система XR14	0	1	5	0	120000	0	1	21	tunbu035	
unbu036	F070F	25	Вспомогательная система XR15	0	1	5	0	120000	0	1	22	tunbu036	
unbu037	F0710	26	Вспомогательная система XR16	0	1	5	0	240000	0	1	23	tunbu037	
unbu038	F0711	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu038	
unbu039	F0712	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu039	
unbu040	F0713	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu040	
unbe000	F07FF	1	Пустой Магазин	0	0	0	0	0	0	0	0	tunbe000	
unbu041	F0700	2	Вспомогательный	0	1	1000	0	10000	0	1	0	tunbu041	
unbu042	F0701	3	Вспомогательный	0	1	1000	0	20000	0	1,100000024	0	tunbu042	
unbu043	F0702	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu043	
unbu044	F0703	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu044	
unbu045	F0704	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu045	
unbu046	F0705	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu046	
unbu047	F0706	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu047	
unbu048	F0707	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu048	
unbu049	F0708	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu049	
unbu050	F0709	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu050	
unbu051	F070A	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu051	
