dword	dword	clcode	xeh	dword	byte	stb	byte	byte	byte	byte	byte	byte	byte	dword	dword	dword	dword	dword	hex	hex	hex	hex	hex	dword	dword	dword	dword	dword	dword	END
newType	bewIndex	Code	NewModel	Exp	MakeMastery	Civil	NeedNum	NeedType1	NeedType2	NeedType3	NeedType4	NeedType5	none	NeedIndex1	NeedIndex2	NeedIndex3	NeedIndex4	NeedIndex5	NeedCode1	NeedCode2	NeedCode3	NeedCode4	NeedCode5	NeedNum1	NeedNum2	NeedNum3	NeedNum4	NeedNum5	hz
6	0	iwkna01	A10300	0	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	1	0	0	0	0
6	4	iwkna02	A10304	1	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	1	0	0	0	0
6	8	iwkna03	A10308	2	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	2	0	0	0	0
6	16	iwkna05	A10310	3	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	4	0	0	0	0
6	200	iwswa01	A10100	4	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	1	0	0	0	0
6	204	iwswa02	A10104	5	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	2	0	0	0	0
6	208	iwswa03	A10108	6	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	3	0	0	0	0
6	216	iwswa05	A10210	7	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	5	0	0	0	0
6	400	iwaxa01	A10600	8	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	1	0	0	0	0
6	404	iwaxa02	A10704	9	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	2	0	0	0	0
6	408	iwaxa03	A10908	10	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	2	0	0	0	0
6	416	iwaxa05	A10710	11	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	6	0	0	0	0
6	600	iwmaa01	A10A00	12	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	1	0	0	0	0
6	604	iwmaa02	A10A04	13	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	1	0	0	0	0
6	608	iwmaa03	A10A08	14	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	2	0	0	0	0
6	616	iwmaa05	A10B10	15	1	11111	2	17	20	0	0	0	0	4	19	0	0	0	051408d1	201818d8	00000000	00000000	00000000	1	5	0	0	0	0
6	800	iwsta01	910D00	16	1	11110	2	17	20	0	0	0	0	0	19	0	0	0	011408d1	201818d8	00000000	00000000	00000000	1	3	0	0	0	0
6	804	iwsta02	910D04	17	1	11110	2	17	20	0	0	0	0	0	19	0	0	0	011408d1	201818d8	00000000	00000000	00000000	1	3	0	0	0	0
6	808	iwsta03	910D08	18	1	11110	2	17	20	0	0	0	0	0	19	0	0	0	011408d1	201818d8	00000000	00000000	00000000	1	4	0	0	0	0
6	816	iwsta05	910D10	19	1	11110	2	17	20	0	0	0	0	0	19	0	0	0	011408d1	201818d8	00000000	00000000	00000000	1	17	0	0	0	0
