string[64]	dword	string[64]	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	END
Code	MakeMastery	Civil	Mat1	Dur1	Mat2	Dur2	Mat3	Dur3	Mat4	Dur4	Mat5	Dur5	ItemOut1	PdProp1	ItemOut2	PdProp2	ItemOut3	PdProp3	ItemOut4	PdProp4	ItemOut5	PdProp5	ItemOut6	PdProp6	ItemOut7	PdProp7	ItemOut8	PdProp8	ItemOut9	PdProp9	ItemOut10	PdProp10	ItemOut11	PdProp11	ItemOut12	PdProp12	ItemOut13	PdProp13	ItemOut14	PdProp14	ItemOut15	PdProp15	ItemOut16	PdProp16	ItemOut17	PdProp17	ItemOut18	PdProp18	ItemOut19	PdProp19	ItemOut20	PdProp20	ItemOut21	PdProp21	ItemOut22	PdProp22	ItemOut23	PdProp23	ItemOut24	PdProp24	ItemOut25	PdProp25	ItemOut26	PdProp26	ItemOut27	PdProp27	ItemOut28	PdProp28	ItemOut29	PdProp29	ItemOut30	PdProp30	
iwkna01	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	1	iwkna01	6530	iwkha01	165	iwkhb01	165	iwkhc01	165	iwkhd01	165	iwkhe01	165	iwkhf01	165	iwkhg01	165	iwkhh01	165	iwkhi01	165	iwkhj01	165	iwkhk01	165	iwkhl01	165	iwknb01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwkna02	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	1	iwkna02	6540	iwkha02	165	iwkhb02	165	iwkhc02	165	iwkhd02	165	iwkhe02	165	iwkhf02	165	iwkhg02	165	iwkhh02	165	iwkhi02	165	iwkhj02	165	iwkhk02	165	iwkhl02	165	iwknb02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwkna03	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	2	iwkna03	6562	iwkha03	164	iwkhb03	164	iwkhc03	164	iwkhd03	164	iwkhe03	164	iwkhf03	164	iwkhg03	164	iwkhh03	164	iwkhi03	164	iwkhj03	164	iwkhk03	164	iwkhl03	164	iwknb03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwkna05	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	4	iwkna05	6606	iwkha05	162	iwkhb05	162	iwkhc05	162	iwkhd05	162	iwkhe05	162	iwkhf05	162	iwkhg05	162	iwkhh05	162	iwkhi05	162	iwkhj05	162	iwkhk05	162	iwkhl05	162	iwknb05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwswa01	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	1	iwswa01	6530	iwsha01	165	iwshb01	165	iwshc01	165	iwshd01	165	iwshe01	165	iwshf01	165	iwshg01	165	iwshh01	165	iwshi01	165	iwshj01	165	iwshk01	165	iwshl01	165	iwswb01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwswa02	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	2	iwswa02	6540	iwsha02	165	iwshb02	165	iwshc02	165	iwshd02	165	iwshe02	165	iwshf02	165	iwshg02	165	iwshh02	165	iwshi02	165	iwshj02	165	iwshk02	165	iwshl02	165	iwswb02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwswa03	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	3	iwswa03	6562	iwsha03	164	iwshb03	164	iwshc03	164	iwshd03	164	iwshe03	164	iwshf03	164	iwshg03	164	iwshh03	164	iwshi03	164	iwshj03	164	iwshk03	164	iwshl03	164	iwswb03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwswa05	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	5	iwswa05	6606	iwsha05	162	iwshb05	162	iwshc05	162	iwshd05	162	iwshe05	162	iwshf05	162	iwshg05	162	iwshh05	162	iwshi05	162	iwshj05	162	iwshk05	162	iwshl05	162	iwswb05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwaxa01	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	1	iwaxa01	6530	iwxha01	165	iwxhb01	165	iwxhc01	165	iwxhd01	165	iwxhe01	165	iwxhf01	165	iwxhg01	165	iwxhh01	165	iwxhi01	165	iwxhj01	165	iwxhk01	165	iwxhl01	165	iwaxb01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
