dword	dword	dword	clcode	dword	stb	byte	byte	word	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	dword	hex	hex	hex	hex	hex	dword	dword	dword	dword	dword	END
CombineIdx	rtype	rindex	Code	dwFee	Civil	TradeValue	none	none	dwTradeMoney	Num	ID1	ID2	ID3	ID4	ID5	none	Index1	Index2	Index3	Index4	Index5	Code1	Code2	Code3	Code4	Code5	Need1	Need2	Need3	Need4	Need5
0	31	0	bxlow01	500	11111	-1	0	0	-1	2	20	20	-1	-1	-1	0	56	57	0	0	0	010416d3	020416d3	ffffffff	ffffffff	ffffffff	7	7	-1	-1	-1
1	31	1	bxchr01	50000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	88	0	0	0	0	01000cd7	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
2	31	2	bxchr02	200000	11111	-1	0	0	-1	1	31	-1	-1	-1	-1	0	1	0	0	0	0	01110752	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
3	31	3	bxchr03	400000	11111	-1	0	0	-1	1	31	-1	-1	-1	-1	0	2	0	0	0	0	02110752	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
4	20	362	iygem02	10000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	361	0	0	0	0	010c04c6	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
5	20	363	iygem03	20000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	362	0	0	0	0	020c04c6	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
6	20	364	iygem04	150000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	363	0	0	0	0	030c04c6	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
7	31	10	bxgem01	10000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	362	0	0	0	0	020c04c6	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
8	31	11	bxgem02	10000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	363	0	0	0	0	030c04c6	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
9	31	12	bxgem03	10000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	364	0	0	0	0	040c04c6	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
