string[64]	dword	dword	string[64]	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	END
Code	CombineIdx	dwFee	Civil	TradeValue	dwTradeMoney	Mat1	Dur1	Mat2	Dur2	Mat3	Dur3	Mat4	Dur4	Mat5	Dur5	
bxlow01	0	500	11111	-1	-1	iytwe01	7	iytwe02	7	-1	-1	-1	-1	-1	-1	
bxchr01	1	50000	11111	-1	-1	iyxma01	5	-1	-1	-1	-1	-1	-1	-1	-1	
bxchr02	2	200000	11111	-1	-1	bxchr01	5	-1	-1	-1	-1	-1	-1	-1	-1	
bxchr03	3	400000	11111	-1	-1	bxchr02	5	-1	-1	-1	-1	-1	-1	-1	-1	
iygem02	4	10000	11111	-1	-1	iygem01	5	-1	-1	-1	-1	-1	-1	-1	-1	
iygem03	5	20000	11111	-1	-1	iygem02	5	-1	-1	-1	-1	-1	-1	-1	-1	
iygem04	6	150000	11111	-1	-1	iygem03	5	-1	-1	-1	-1	-1	-1	-1	-1	
bxgem01	7	10000	11111	-1	-1	iygem02	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxgem02	8	10000	11111	-1	-1	iygem03	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxgem03	9	10000	11111	-1	-1	iygem04	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxgem04	10	10000	11111	-1	-1	iybox03	50	-1	-1	-1	-1	-1	-1	-1	-1	
ipexp03	11	10000	11111	-1	-1	irwav01	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcou01	12	10000	11111	-1	-1	ircry02	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc50	13	10000000	11000	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc50	14	10000000	11000	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc50	15	10000000	11000	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc50	16	10000000	00110	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc50	17	10000000	00110	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc50	18	10000000	00110	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxawc50	19	10000000	00001	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc50	20	10000000	00001	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc50	21	10000000	00001	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc53	22	20000000	11000	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc53	23	20000000	11000	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc53	24	20000000	11000	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc53	25	20000000	00110	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc53	26	20000000	00110	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc53	27	20000000	00110	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxawc53	28	20000000	00001	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc53	29	20000000	00001	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc53	30	20000000	00001	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc55	31	30000000	11000	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc55	32	30000000	11000	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc55	33	30000000	11000	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc55	34	30000000	00110	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc55	35	30000000	00110	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc55	36	30000000	00110	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
