string[64]	text	END
Code	Desc	
a1	Побереги силы. Мы находимся в странном месте, где понятия пространства и времени смещены. Только могущественный разум и Сила позволяет нам говорить с тобой. Здесь хранятся секреты Геродиан, и возможно ты узнаешь, для каких целей они служат. Этот лабиринт охраняется Баал-Хамоном. Чтобы узнать тайну Геродиан, ты должен победить его.	
a2	Слушай внимательно. Где-то здесь спрятаны Кристаллы Памяти, твоя задача - уничтожить эти четыре Кристалла, чтобы добраться до Баал-Хамона. Будь осторожен, от того, какой кристалл ты уничтожишь, зависит найдешь ты ли ты именно Баал-Хамона, или наткнешься на одну из его иллюзий. Удачи тебе.	
a3	В этом месте звучит сигнал Маяка. Тебе предстоит, ориентируясь по этому сигналу, найти десять Надгробий. Собранные в одном месте Надгробья перенаправят сигнал и тебе откроется путь дальше. Все понятно? Ты должен собрать 10 Надгробий.	
a4	Ты пришел в очень неприятное место. Тебе придется уничтожить десять Надгробий и всех монстров, бродящих здесь. Если ты пропустишь хотя бы одного монстра, ты будешь заточен здесь навсегда.	
a5	Здесь живет Шквальный Двулик, будь осторожен. Тебе нужно убить их всех, чтобы пройти дальше. Покажи насколько ты силен.	
a6	Тсссс! Ты видишь их? Это Кровавые Лапы. Ты должен убить троих, чтобы выбраться из этого места. Будь осторожен. Они сильнее чем ты думаешь. 	
a7	Видишь Надгробия по западную и восточную сторону? Врата будут активированы, как только ты уничтожишь их. Удачи.	
a8	Чтобы выбраться отсюда, тебе нужно уничтожить всех этих монстров. Удачи, я надеюсь увидеть тебя снова.	
a9	Хммм... Я надеюсь, тебе очень повезет. Это место - самый большой лабиринт на планете. Найди три Ключа Тьмы, чтобы выбраться отсюда. Найти их будет не просто. В лабиринте есть четыре Хрустальных Куба. Ключи в них, но один из Кубов - пуст. Если ты откроешь пустой... в общем, будет сложно. Удачи.	
a10	Наконец-то. Ты прибыл в зал Зверя, Баал-Хамона. Помни, если ты не сможешь победить его, тебе снова придется блуждать по лабиринту. 	
a11	Проклятье! Он обманул тебя. То, что лежит перед тобой - всего лишь его зеркальное отражение. Это лишь иллюзия Баал-Хамона, которую он оставил для нас. Удача отвернулась от нас. Тебе придется попытаться еще раз.	
a12	Уничтожь 200 Геродиан в этом секторе в назначенное время.	
a13	Уничтожь 300 Геродиан в этом секторе в назначенное время.	
a14	Уничтожь Богомола, который контролируется Геродианами.	
a15	Теперь, когда портал активирован, ты можешь идти. Но будь осторожен. Никто не знает, что нас там ждет.	
