string[64]	string[64]	dword	dword	END
Code	Item	Type	Time	
tires01	ircsa05	2	86400	
tires02	ircsa06	2	518400	
tires03	ircsa07	2	1209600	
tires04	ircsa08	2	2592000	
tires05	ircsa09	2	86400	
tires06	ircsa10	2	518400	
tires07	ircsa11	2	1209600	
tires08	ircsa12	2	2592000	
tires09	irbud01	2	1800	
tires10	irbud02	2	600	
tires11	irbud03	2	1800	
tires12	irbud04	2	3600	
tires13	irbud05	2	600	
tires14	irbud06	2	1800	
tires15	irbud07	2	3600	
tires17	ircsa13	1	21600	
tires18	ircsa14	1	43200	
tires19	ircsa15	1	72000	
tires20	ircsa16	1	108000	
tires21	ircsa17	1	21600	
tires22	ircsa18	1	43200	
tires23	ircsa19	1	72000	
tires24	ircsa20	1	108000	
tires25	ircsa21	2	2592000	
tires26	ircsa22	2	2592000	
tires27	ircsa23	2	2592000	
ticuc01	cucou00	2	86400	
ticuc02	cucou01	2	86400	
ticuc03	cucou02	2	86400	
ticuc04	cucou03	2	86400	
ticuc05	cucou04	2	86400	
ticuc06	cucou05	2	86400	
ticuc07	cucou06	2	86400	
ticuc08	cucou07	2	86400	
ticuc09	cucou08	2	86400	
ticuc10	cucou09	2	86400	
ticuc11	cucou10	2	86400	
tiamu01	iabbd16	2	21600	
tiamu02	iabbd17	2	21600	
tiamu03	iabbd18	2	21600	
tiamu04	iabbd19	2	21600	
tiamu05	iabbd20	2	21600	
tiamu06	iabbd21	2	21600	
tiamu07	iaccd81	2	21600	
tiamu08	iaccd82	2	21600	
tiamu09	iaccd83	2	21600	
tiamu10	iaaad56	2	21600	
tiamu11	iaaad57	2	21600	
tiamu12	iaaad58	2	21600	
tirin01	iibbd81	2	21600	
tirin02	iibbd82	2	21600	
tirin03	iibbd83	2	21600	
tirin04	iiccd16	2	21600	
tirin05	iiccd17	2	21600	
tirin06	iiccd18	2	21600	
tirin07	iiccd19	2	21600	
tirin08	iiccd20	2	21600	
tirin09	iiccd21	2	21600	
tirin10	iiaad81	2	21600	
tirin11	iiaad82	2	21600	
tirin12	iiaad83	2	21600	
tires28	irsry01	2	172800	
tires29	irwav01	2	5400	
tiwea01	iwkho55	2	14400	
tiwea02	iwbho55	2	14400	
tiwea03	iwtho55	2	14400	
tiwea04	iwmkn55	2	14400	
tiwea05	iwmsh55	2	14400	
tiwea06	iwmbh55	2	14400	
tiwea07	iwmfh55	2	14400	
tishl01	idmsb55	2	14400	
tishi02	idesb55	2	14400	
tipot01	ipexp01	2	420	
tipot02	ipexp03	2	420	
tichm01	ircsa24	2	172800	
tichm02	ircsa25	2	172800	
tichm03	ircsa26	2	172800	
tichm04	ircsa27	2	172800	
tichm05	ircsa28	2	172800	
tichm06	ircsa29	2	172800	
tichm07	ircsa30	2	172800	
tichm08	ircsa31	2	172800	
tichm09	ircsa32	2	172800	
tichm10	ircsa33	2	172800	
tichm11	ircsa34	2	172800	
tichm12	ircsa35	2	172800	
tichm13	ircsa36	2	172800	
tichm14	ircsa37	2	172800	
tichm15	ircsa38	2	172800	
tichm16	ircsa39	2	172800	
tichm17	ircsa40	2	172800	
tichm18	ircsa41	2	172800	
tichm19	ircsa42	2	172800	
tichm20	irchm01	2	432000	
tichm21	irchm02	2	432000	
tichm22	irchm03	2	432000	
tichm23	irchm04	2	432000	
tichm24	irchm05	2	432000	
tichm25	irchm06	2	432000	
tichm26	irchm07	2	432000	
tichm27	irchm08	2	432000	
tichm28	irchm09	2	432000	
tichm29	irchm10	2	432000	
tichm30	irchm11	2	432000	
tichm31	irchm12	2	432000	
tichm32	irchm13	2	432000	
tichm33	irchm14	2	432000	
tichm34	irchm15	2	432000	
tichm35	irchm16	2	432000	
tichm36	irchm17	2	432000	
tichm37	irchm18	2	432000	
tichm38	irchm19	2	432000	
tichm39	irchm20	2	432000	
tichm40	irchm21	2	432000	
tichm41	irchm22	2	432000	
tichm42	irchm23	2	432000	
tichm43	irchm24	2	432000	
tichm44	irchm25	2	432000	
tichm45	irchm26	2	432000	
tichm46	irchm27	2	432000	
tichm47	irchm28	2	432000	
tichm48	irchm29	2	432000	
tichm49	irchm30	2	432000	
tichm50	irchm31	2	432000	
tichm51	irchm32	2	432000	
tichm52	irchm33	2	432000	
tirstl01	irstl01	1	604800	
tirstl02	irstl02	1	604800	
tirstl03	irstl03	1	604800	
tirstl04	irstl04	1	604800	
tirstl05	irstl05	1	604800	
tirqsa01	irqsa01	2	86400	
tirqsa03	irqsa03	2	86400	
tirqsa05	irqsa05	1	43200	
tirqsa08	irqsa08	1	21600	
tikqsa01	ikqsa01	1	600	
tiwqsa01	iwqsa01	1	18000	
tiwqsa02	iwqsa02	1	18000	
tiwqsa03	iwqsa03	1	18000	
tiwqsa04	iwqsa04	1	18000	
tirqsa09	irqsa09	2	604800	
tirqsa10	irqsa10	2	604800	
tipqsa10	ipqsa10	2	300	
tirchm34	irchm34	1	7200	
tirchm35	irchm35	1	14400	
tirchm36	irchm36	1	21600	
tirchm37	irchm37	1	43200	
tirchm38	irchm38	2	2592000	
tirchm39	irchm39	2	2592000	
tirchm40	irchm40	2	2592000	
tirchm41	irchm41	2	2592000	
tirchm42	irchm42	2	2592000	
tirchm43	irchm43	2	2592000	
tirchm44	irchm44	2	2592000	
tirchm45	irchm45	2	2592000	
tipexp04	ipexp04	2	420	
tipexp05	ipexp05	2	300	
tiqexp01	ipqsa24	2	300	
tiqval01	irval01	2	604800	
tiaqsa04	iaqsa04	2	2592000	
tiaqsa05	iaqsa05	2	2592000	
tiaqsa06	iaqsa06	2	2592000	
tiaqsa07	iaqsa07	2	2592000	
tiiqsa04	iiqsa04	2	2592000	
tiiqsa05	iiqsa05	2	2592000	
tirchm46	irchm46	2	432000	
tirchm47	irchm47	2	432000	
tirchm48	irchm48	2	432000	
tirchm49	irchm49	2	432000	
tirchm50	irchm50	2	432000	
tirchm51	irchm51	2	432000	
tirchm52	irchm52	2	432000	
tirchm53	irchm53	2	432000	
tirchm54	irchm54	2	432000	
tirchm55	irchm55	2	432000	
tirchm56	irchm56	2	432000	
tirchm57	irchm57	2	432000	
tihmey01	ihemy01	1	14400	
tihmey02	ihemy02	1	14400	
tihmey03	ihemy03	1	14400	
tihmey04	ihemy04	1	14400	
tihmey05	ihemy05	1	14400	
tihmey06	ihemy06	1	14400	
tihmey07	ihemy07	1	14400	
tihmey08	ihemy08	1	14400	
tihmey09	ihemy09	1	14400	
tihmey10	ihemy10	1	14400	
tihmey11	ihemy11	1	14400	
tihmey12	ihemy12	1	14400	
tihmey13	ihemy13	1	14400	
tihmey14	ihemy14	1	14400	
tihmey15	ihemy15	1	14400	
tihmey22	ihemy22	1	14400	
tihmey23	ihemy23	1	14400	
tihmey24	ihemy24	1	14400	
tihmey25	ihemy25	1	14400	
tihmey26	ihemy26	1	14400	
tihmey27	ihemy27	1	14400	
tihmey28	ihemy28	1	14400	
tihmey29	ihemy29	1	14400	
tihmey30	ihemy30	1	14400	
tihmey31	ihemy31	1	14400	
tihmey32	ihemy32	1	14400	
tihmey33	ihemy33	1	14400	
tihmey34	ihemy34	1	14400	
tihmey35	ihemy35	1	14400	
tihmey36	ihemy36	1	14400	
tihmey43	ihemy43	1	14400	
tihmey44	ihemy44	1	14400	
tihmey45	ihemy45	1	14400	
tihmey46	ihemy46	1	14400	
tihmey47	ihemy47	1	14400	
tihmey48	ihemy48	1	14400	
tihmey49	ihemy49	1	14400	
tihmey50	ihemy50	1	14400	
tihmey51	ihemy51	1	14400	
tihmey52	ihemy52	1	14400	
tihmey53	ihemy53	1	14400	
tihmey54	ihemy54	1	14400	
