string[64]	dword	dword	dword	double	dword	dword	dword	dword	dword	string[64]	string[64]	string[64]	dword	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	string[64]	dword	dword	double	dword	dword	dword	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	string[64]	dword	string[64]	string[64]	dword	string[64]	dword	string[64]	END
Code	LimLv	QuestType	IsRepeat	RepeateTime	DificultyLv	2	IsSelectQuestMenual	IsCompQuestType	ActType	ActSub	ActSub2	ActArea	ReqAct	SetCntPro_100	LinqQuestItem	Order	ActType	ActSub	ActSub2	ActArea	ReqAct	SetCntPro_100	LinqQuestItem	Order	ActType	ActSub	ActSub2	ActArea	ReqAct	SetCntPro_100	LinqQuestItem	Order	MaxLvl	ConsExp	ConsContrib	ConsDalant	ConsPvP	ConsGold	IsSelectConsMenual	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	CnsMasID	CnsMasSubID	CnsMasCnt	CnsMasID	CnsMasSubID	CnsMasCnt	ConsSkillCode	ConsSkillCnt	ConsForceCode	ConsForceCnt	LinkQuest	LinkQuest	LinkQuest	LinkQuest	LinkQuest	LnkQstGrpID	IsFailCheck	FailCond	FailCode	FailCond	FailCode	FailCond	FailCode	FailBriefCode	LinkDummyCond	LinkDummyCode	FailLinkQuest	ViewportType	ViewportCode	Store_trade	txtQTExp	
Q104250	-1	1	0	0	25	0	0	0	3	09B01	-1	-1	1	100	-1	0	3	09B02	-1	-1	1	100	-1	0	4	iyhsc01	-1	-1	1	20	-1	0	-1	0	5000	50000	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q104250	
Q134250	-1	1	0	0	25	1	0	0	3	09B00	-1	-1	1	100	-1	0	3	09B02	-1	-1	1	100	-1	0	4	iyhsc01	-1	-1	1	20	-1	0	-1	0	5000	50000	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q134250	
Q164250	-1	1	0	0	25	2	0	0	3	09B00	-1	-1	1	100	-1	0	3	09B01	-1	-1	1	100	-1	0	4	iyhsc01	-1	-1	1	20	-1	0	-1	0	5000	50000	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q164250	
Q104251	-1	1	0	0	25	0	0	0	3	09B01	-1	-1	1	100	-1	0	3	09B02	-1	-1	1	100	-1	0	3	09B00	-1	-1	1	100	-1	0	-1	0	5000	50000	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q104251	
Q134251	-1	1	0	0	25	1	0	0	3	09B00	-1	-1	1	100	-1	0	3	09B02	-1	-1	1	100	-1	0	3	09B01	-1	-1	1	100	-1	0	-1	0	5000	50000	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q134251	
Q164251	-1	1	0	0	25	2	0	0	3	09B00	-1	-1	1	100	-1	0	3	09B01	-1	-1	1	100	-1	0	3	09B02	-1	-1	1	100	-1	0	-1	0	5000	50000	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q164251	
Q104252	-1	1	0	0	25	0	0	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q104252	
Q134252	-1	1	0	0	25	1	0	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q134252	
Q164252	-1	1	0	0	25	2	0	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q164252	
Q104253	-1	1	0	0	25	0	0	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q104253	
Q134253	-1	1	0	0	25	1	0	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	-1	-1	-1	1	100	-1	0	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q134253	
