dword	text	END	
Count	Desc		
0	Оружейный вопрос		
1	Зачистка Генштаба		
2	Зачистка Генштаба		
3	Зачистка Генштаба		
4	Зачистка Генштаба		
5	Зачистка Генштаба		
6	Оружейный вопрос		
7	Зачистка Генштаба		
8	Зачистка Генштаба		
9	Зачистка Генштаба		
10	Зачистка Генштаба		
11	Зачистка Генштаба		
12	Оружейный вопрос		
13	Зачистка Генштаба		
14	Зачистка Генштаба		
15	Зачистка Генштаба		
16	Зачистка Генштаба		
17	Зачистка Генштаба		
18	Оружейный вопрос		
19	Оружейный вопрос		
20	Оружейный вопрос		
21	Зачистка Генштаба		
22	Зачистка Генштаба		
23	Оружейный вопрос		
24	Оружейный вопрос		
25	Оружейный вопрос		
26	Зачистка Генштаба		
27	Зачистка Генштаба		
28	Оружейный вопрос		
29	Зачистка Генштаба		
30	Оружейный вопрос		
31	Оружейный вопрос		
32	Оружейный вопрос		
33	Оружейный вопрос		
34	Оружейный вопрос		
35	Зачистка Генштаба		
36	Оружейный вопрос		
37	Оружейный вопрос		
38	Оружейный вопрос		
39	Оружейный вопрос		
40	Оружейный вопрос		
41	Зачистка Генштаба		
42	Оружейный вопрос		
43	Оружейный вопрос		
44	Оружейный вопрос		
45	Оружейный вопрос		
46	Оружейный вопрос		
47	Срочное сообщение от Центра генетических исследований		
48	Коллекция образцов для Института исследований		
49	Охота на Молотоглавов		
50	Охота на Молотоглавов		
51	Охота на Молотоглавов		
52	Охота на Молотоглавов		
53	Восстановление системы связи		
54	Охота на Взрослого Ратозверя		
55	Охота на Змееголова Метателя		
56	Задание от Бюро по Управлению ресурсами		
57	Cбор образцов		
58	Cбор образцов		
59	Cбор образцов		
60	Cбор образцов		
61	Срочное сообщение от Центра генетических исследований		
62	Срочное сообщение от Центра генетических исследований		
63	Срочное сообщение от Центра генетических исследований		
64	Срочное сообщение от Центра генетических исследований		
65	Связь с Зеленоглазом		
66	Защита вибромагнитных систем		
67	Защита вибромагнитных систем		
68	Защита вибромагнитных систем		
69	Защита вибромагнитных систем		
70	Миссия Краговы шахты		
71	Чумные Мехозавры		
72	Чумные Мехозавры		
73	Чумные Мехозавры		
74	Чумные Мехозавры		
75	Охота на Дроидов		
76	Охота на Синего Скорпиона		
77	Охота на Синего Скорпиона		
78	Охота на Синего Скорпиона		
79	Охота на Синего Скорпиона		
80	Периодическая оценка		
81	Периодическая оценка		
82	Периодическая оценка		
83	Периодическая оценка		
84	Истинный источник вируса		
85	Истинный источник вируса		
86	Истинный источник вируса		
87	Истинный источник вируса		
88	Охота на Гигантского Раптора		
89	Исследование ауры Силы		
90	Задание от Зеленоглаза		
91	Задание от Зеленоглаза		
92	Задание от Зеленоглаза		
93	Задание от Зеленоглаза		
