string[64]	dword	dword	dword	double	dword	dword	dword	dword	dword	string[64]	string[64]	string[64]	dword	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	string[64]	dword	dword	double	dword	dword	dword	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	string[64]	dword	string[64]	string[64]	dword	string[64]	dword	string[64]	END
Code	LimLv	QuestType	IsRepeat	RepeateTime	DificultyLv	2	IsSelectQuestMenual	IsCompQuestType	ActType	ActSub	ActSub2	ActArea	ReqAct	SetCntPro_100	LinqQuestItem	Order	ActType	ActSub	ActSub2	ActArea	ReqAct	SetCntPro_100	LinqQuestItem	Order	ActType	ActSub	ActSub2	ActArea	ReqAct	SetCntPro_100	LinqQuestItem	Order	MaxLvl	ConsExp	ConsContrib	ConsDalant	ConsPvP	ConsGold	IsSelectConsMenual	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	ConsITCode	ConsITCnt	LinkQuestIndex	CnsMasID	CnsMasSubID	CnsMasCnt	CnsMasID	CnsMasSubID	CnsMasCnt	ConsSkillCode	ConsSkillCnt	ConsForceCode	ConsForceCnt	LinkQuest	LinkQuest	LinkQuest	LinkQuest	LinkQuest	LnkQstGrpID	IsFailCheck	FailCond	FailCode	FailCond	FailCode	FailCond	FailCode	FailBriefCode	LinkDummyCond	LinkDummyCode	FailLinkQuest	ViewportType	ViewportCode	Store_trade	txtQTExp	
Q070000	-1	0	0	-1	1	0	0	0	15	Q070000	-1	-1	1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	0	0	0	0	0	0	iwrtn01	1	-1	iwrtn02	1	-1	iwrtn03	1	-1	bxcsa77	1	-1	bxcsa80	1	-1	-1	-1	-1	0	0	100	-1	-1	-1	-1	-1	-1	-1	Q070001	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070000	
Q070001	-1	0	0	-1	1	0	0	0	3	00001	-1	-1	5	100	-1	0	3	00201	-1	-1	10	100	-1	0	6	3	-1	-1	1	100	-1	0	-1	0	150	1558	0	0	0	idbcb04	1	-1	iwknb05	1	-1	iebbs00	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070001	
Q070002	-1	0	0	-1	1	0	0	0	3	00001	-1	-1	5	100	-1	0	3	00201	-1	-1	10	100	-1	0	6	3	-1	-1	1	100	-1	0	-1	0	150	1558	0	0	0	iwswb05	1	-1	iebbs00	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070002	
Q070003	-1	0	0	-1	1	0	0	0	3	00001	-1	-1	5	100	-1	0	3	00201	-1	-1	10	100	-1	0	6	3	-1	-1	1	100	-1	0	-1	0	150	1558	0	0	0	iwmab05	1	-1	iebbs00	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070003	
Q070004	-1	0	0	-1	1	0	0	0	3	00001	-1	-1	5	100	-1	0	3	00201	-1	-1	10	100	-1	0	6	3	-1	-1	1	100	-1	0	-1	0	150	1558	0	0	0	iwaxb05	1	-1	iebbs00	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070004	
Q070005	-1	0	0	-1	1	0	0	0	3	00001	-1	-1	5	100	-1	0	3	00201	-1	-1	10	100	-1	0	6	3	-1	-1	1	100	-1	0	-1	0	150	1558	0	0	0	iwspb05	1	-1	iebbs00	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070005	
Q070006	-1	0	0	-1	1	0	0	1	-1	-1	-1	-1	-1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070006	
Q070007	-1	0	0	-1	1	0	0	1	-1	-1	-1	-1	-1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070007	
Q070008	-1	0	0	-1	1	0	0	1	-1	-1	-1	-1	-1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	-1	-1	-1	-1	100	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	Q070008	
