string[64]	dword	string[64]	END
code	index	name	
QI00000	1	Броня Флема Стража	
QI00100	2	Рог Ратозверя	
QI00200	3	Отравленный шип Скорпиона	
QI00300	4	Экзоскелет Мехозавра	
QI00400	5	Хитин Вонючего Жука	
QI00500	6	Шкура Раптора	
QI00600	7	Клешни Лобстера	
QI00700	8	Процессор Армированного Вертобот	
QI00800	9	Шкура Ящера	
QI00900	10	Охотничий Лук	
QI00901	11	Коса	
QI00902	12	Рукавицы Лазутчика	
QI00903	13	Клешни Брутальной Медведки	
QI00904	14	Диадема Мага	
QI00905	15	Информационный Блок	
QI00906	16	Информационный Блок	
QI00907	17	Информационный Блок	
QI00908	18	Ритуальная одежда Культистов	
QI00909	19	Ритуальная мантия Короля Змеегол	
QI00910	20	Ритуальная мантия Царя Шипоголов	
QI00911	21	Эпидермис Слизня	
QI00912	22	Хитин Короля Лобстеров	
QI00913	23	Процессор Робо-клинка	
QI00914	24	Процессор Робо-снайпера	
QI00915	25	Копье Шипоголова	
QI00916	26	Шкура Древнего Ящера	
QI00917	27	Рукавица Доспеха-Призрака	
QI00918	28	Эпидермис Мясного Слизня	
QI00919	29	Рука Робо-пушки	
QI00920	30	Кинжал	
QI00921	31	Меч	
QI00922	32	Парные мечи	
QI00923	33	Палица Шипоголова	
QI00924	34	Парные секиры	
QI00925	35	Боевая булава	
QI00926	36	Боевой посох	
QI00927	37	Составной лук	
QI00928	38	Ростовой щит	
QI00929	39	Посох	
QI00930	40	Посох битвы	
QI00931	41	Церемониальный щит	
QI00932	42	Элетрокопье	
QI00933	43	Военный жезл	
QI00934	44	Звездный щит	
QI00935	45	Цвайхандер	
QI00936	46	Башенный щит	
QI00937	47	Полуторный меч	
QI00938	48	Кристальный щит	
QI00939	49	Обоюдоострый топор	
QI00940	50	Плазменная винтовка	
QI00941	51	Энергощит	
QI00942	52	Акинак	
QI00943	53	Парные клинки	
QI00944	54	Штурмовой энергощит	
QI00945	55	Энергопика	
QI00946	56	Сборный щит	
QI00947	57	Щит Тьмы	
QI00948	58	Жезл Небес	
QI00949	59	Боевая булава	
QI00950	60	Пиломеч	
QI00951	61	Башенный технощит	
QI00952	62	Золтой щит	
QI00953	63	Саиф	
QI00954	64	Обсидиановый посох	
QI00955	65	Ростовой щит	
QI00956	66	Боевой щит	
QI00957	67	Лучевой арбалет	
QI00958	68	Гладиус	
