dword	qcode	byte	byte	byte	byte	dword	byte	byte	word	param1	param2	dword	dword	dword	qitid	byte	byte	word	param1	param2	dword	dword	dword	qitid	byte	byte	word	param1	param2	dword	dword	dword	qitid	double	dword	dword	dword	dword	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	byte	byte	word	dword	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	qcode	END
Count	QCode	QuestType	DificultyLv	2	LimLv	none	ActType	none	none	ActSub	ActSub2	ReqAct	TaskInGUI	TaskInBrief	LinqQuestItem	ActType	none	none	ActSub	ActSub2	ReqAct	TaskInGUI	TaskInBrief	LinqQuestItem	ActType	none	none	ActSub	ActSub2	ReqAct	TaskInGUI	TaskInBrief	LinqQuestItem	ConsExp	ConsDalant	none	ConsContrib	ConsPvP	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	ConsITCode	ConsITCnt	none	none	CnsMasID	CnsMasSubID	none	CnsMasCnt	CnsMasID	CnsMasSubID	none	CnsMasCnt	ConsSkillCode	ConsSkillCnt	ConsForceCode	ConsForceCnt	QSDesc1	QSDesc2	QSDesc3	QSDesc4	QSDesc5	QFDesc1	QFDesc2	QFDesc3	QFDesc4	QFDesc5	LQ1	LQ1	LQ2	LQ2	LQ3	LQ3	LQ4	LQ4	LQ5	LQ5	QTitle	QDesc1	QDesc2	QDesc3	QDesc4	QDesc5	BriefDesc	none	none	none	none	Store_trade	IsFailCheck	FailCond	FailCode	none	FailCond	FailCode	none	FailCond	FailCode	none	none	none	none	FailLinkQuest	
-268435456	Q104250	1	25	0	-1	0	3	0	0	09B01	-1	1	3104	3126	-1	3	0	0	09B02	-1	1	3105	3127	-1	4	0	0	iyhsc01	-1	1	-1	-1	-1	0	50000	0	5000	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3456	-1	-1	-1	-1	3462	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	450	1341	1342	1343	1344	-1	2378	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435455	Q134250	1	25	1	-1	0	3	0	0	09B00	-1	1	3103	3125	-1	3	0	0	09B02	-1	1	3105	3127	-1	4	0	0	iyhsc01	-1	1	-1	-1	-1	0	50000	0	5000	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3458	-1	-1	-1	-1	3464	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	452	1345	1346	1347	-1	-1	2379	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435454	Q164250	1	25	2	-1	0	3	0	0	09B00	-1	1	3103	3125	-1	3	0	0	09B01	-1	1	3104	3126	-1	4	0	0	iyhsc01	-1	1	-1	-1	-1	0	50000	0	5000	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3460	-1	-1	-1	-1	3466	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	454	1348	1349	1350	-1	-1	2380	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435453	Q104251	1	25	0	-1	0	3	0	0	09B01	-1	1	3104	3126	-1	3	0	0	09B02	-1	1	3105	3127	-1	3	0	0	09B00	-1	1	3107	3129	-1	0	50000	0	5000	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3457	-1	-1	-1	-1	3463	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	451	1341	1342	1343	1344	-1	2381	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435452	Q134251	1	25	1	-1	0	3	0	0	09B00	-1	1	3103	3125	-1	3	0	0	09B02	-1	1	3105	3127	-1	3	0	0	09B01	-1	1	3107	3129	-1	0	50000	0	5000	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3459	-1	-1	-1	-1	3465	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	453	1345	1346	1347	-1	-1	2382	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435451	Q164251	1	25	2	-1	0	3	0	0	09B00	-1	1	3103	3125	-1	3	0	0	09B01	-1	1	3104	3126	-1	3	0	0	09B02	-1	1	3107	3129	-1	0	50000	0	5000	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3461	-1	-1	-1	-1	3467	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	455	1348	1349	1350	-1	-1	2383	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435450	Q104252	1	25	0	-1	0	-1	0	0	-1	-1	1	-1	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3444	-1	-1	-1	-1	3450	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	456	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435449	Q134252	1	25	1	-1	0	-1	0	0	-1	-1	1	-1	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3446	-1	-1	-1	-1	3452	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	457	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
-268435448	Q164252	1	25	2	-1	0	-1	0	0	-1	-1	1	-1	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	-1	0	-1	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3448	-1	-1	-1	-1	3454	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
