xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
41050920	00000001	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DAXE_BOTTOM_01_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41050910	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DAXE_MIDDLE_02_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41050911	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DAXE_MIDDLE_02_01.ANI	2	17	20	0	0	0	0	0	0	0	0	
41050900	00000001	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DAXE_TOP_01_00.ANI	2	17	20	0	0	0	0	0	0	0	0	
41051920	00000001	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DBEAMGUN_BOTTOM_01_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41051910	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DBEAMGUN_MIDDLE_02_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41051911	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DBEAMGUN_MIDDLE_02_01.ANI	2	17	19	0	0	0	0	0	0	0	0	
41051900	00000001	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DBEAMGUN_TOP_01_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41051220	00000001	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DGUN_BOTTOM_01_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41051210	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DGUN_MIDDLE_02_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41051211	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DGUN_MIDDLE_02_01.ANI	2	17	19	0	0	0	0	0	0	0	0	
41051200	00000001	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DGUN_TOP_01_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41050220	00000001	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DSWORD_BOTTOM_01_00.ANI	2	18	20	0	0	0	0	0	0	0	0	
41050210	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DSWORD_MIDDLE_02_00.ANI	2	17	19	0	0	0	0	0	0	0	0	
41050211	00000002	.\CHARACTER\PLAYER\ANI\	ACCRETIA_COMBAT_ATTACK_DSWORD_MIDDLE_02_01.ANI	2	23	25	0	0	0	0	0	0	0	0	
