xeh	xeh	string[128]	string[64]	string[128]	END
ID	BoneID	PathName	FileName	TexutrePath	
00400103	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_FACE_003.MSH	.\CHARACTER\PLAYER\TEX\	
00400157	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_FACE_087.MSH	.\CHARACTER\PLAYER\TEX\	
004001ab	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_FACE_171.MSH	.\CHARACTER\PLAYER\TEX\	
004001e7	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_FACE_231.MSH	.\CHARACTER\PLAYER\TEX\	
004001ef	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_FACE_239.MSH	.\CHARACTER\PLAYER\TEX\	
004001f7	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_FACE_247.MSH	.\CHARACTER\PLAYER\TEX\	
004001f9	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_FACE_249.MSH	.\CHARACTER\PLAYER\TEX\	
00400400	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_000.MSH	.\CHARACTER\PLAYER\TEX\	
00400403	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_003.MSH	.\CHARACTER\PLAYER\TEX\	
00400404	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_004.MSH	.\CHARACTER\PLAYER\TEX\	
00400406	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_006.MSH	.\CHARACTER\PLAYER\TEX\	
00400407	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_007.MSH	.\CHARACTER\PLAYER\TEX\	
00400408	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_008.MSH	.\CHARACTER\PLAYER\TEX\	
0040040a	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_010.MSH	.\CHARACTER\PLAYER\TEX\	
0040040c	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_012.MSH	.\CHARACTER\PLAYER\TEX\	
0040040d	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_013.MSH	.\CHARACTER\PLAYER\TEX\	
0040040e	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_014.MSH	.\CHARACTER\PLAYER\TEX\	
0040040f	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_015.MSH	.\CHARACTER\PLAYER\TEX\	
00400410	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_016.MSH	.\CHARACTER\PLAYER\TEX\	
00400414	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_020.MSH	.\CHARACTER\PLAYER\TEX\	
00400418	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_024.MSH	.\CHARACTER\PLAYER\TEX\	
0040041c	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_028.MSH	.\CHARACTER\PLAYER\TEX\	
00400420	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_032.MSH	.\CHARACTER\PLAYER\TEX\	
00400424	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_036.MSH	.\CHARACTER\PLAYER\TEX\	
00400428	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_040.MSH	.\CHARACTER\PLAYER\TEX\	
0040042c	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_044.MSH	.\CHARACTER\PLAYER\TEX\	
00400430	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_048.MSH	.\CHARACTER\PLAYER\TEX\	
00400434	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_052.MSH	.\CHARACTER\PLAYER\TEX\	
00400438	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_056.MSH	.\CHARACTER\PLAYER\TEX\	
0040043c	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_060.MSH	.\CHARACTER\PLAYER\TEX\	
0040043f	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_063.MSH	.\CHARACTER\PLAYER\TEX\	
00400440	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_064.MSH	.\CHARACTER\PLAYER\TEX\	
00400444	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_068.MSH	.\CHARACTER\PLAYER\TEX\	
00400448	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_072.MSH	.\CHARACTER\PLAYER\TEX\	
0040044c	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_076.MSH	.\CHARACTER\PLAYER\TEX\	
00400450	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_080.MSH	.\CHARACTER\PLAYER\TEX\	
00400454	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_084.MSH	.\CHARACTER\PLAYER\TEX\	
00400457	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_087.MSH	.\CHARACTER\PLAYER\TEX\	
00400458	00000004	.\CHARACTER\PLAYER\MESH\	ACCRETIA_ARMOR_GLOVES_088.MSH	.\CHARACTER\PLAYER\TEX\	
