xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
000f70e0	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_PEACECRITICAL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f7020	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_PEACEIDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f7000	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f7010	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_PEACEWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f7090	00000002	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARATTACK_02_00.ANI	1	18	0	0	0	0	0	0	0	0	0	
000f7091	00000002	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARATTACK_02_01.ANI	1	19	0	0	0	0	0	0	0	0	0	
000f70b0	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARCORPSE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f70f0	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARCRITICAL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f70a0	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARDIE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f70c0	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARFORCEATTACK_01_00.ANI	1	23	0	0	0	0	0	0	0	0	0	
000f70d0	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARFORCESUPPORT_01_00.ANI	1	0	0	0	0	0	0	0	0	0	0	
000f7060	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARIDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f7080	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARPOWERUP_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f7040	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARSTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000f7050	00000001	.\CHARACTER\MONSTER\ANI\	ABELDIGAR_WARWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000080e0	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_PEACECRITICAL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00008020	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_PEACEIDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00008000	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_PEACESTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00008010	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_PEACEWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00008090	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARATTACK_01_00.ANI	1	9	0	0	0	0	0	0	0	0	0	
000080b0	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARCORPSE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000080f0	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARCRITICAL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000080a0	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARDIE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000080c0	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARFORCEATTACK_01_00.ANI	1	23	0	0	0	0	0	0	0	0	0	
00008060	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARIDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00008040	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARSTAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00008050	00000001	.\CHARACTER\MONSTER\ANI\	ADULTSTINKBUG_WARWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040030	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_PEACEDAMAGE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040020	00000003	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_PEACEIDLE_03_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040021	00000003	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_PEACEIDLE_03_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040022	00000003	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_PEACEIDLE_03_02.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040010	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_PEACEWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040090	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARATTACK_04_00.ANI	1	10	0	0	0	0	0	0	0	0	0	
00040091	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARATTACK_04_01.ANI	1	13	0	0	0	0	0	0	0	0	0	
00040092	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARATTACK_04_02.ANI	1	16	0	0	0	0	0	0	0	0	0	
00040093	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARATTACK_04_03.ANI	1	19	0	0	0	0	0	0	0	0	0	
000400b0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARCORPSE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040070	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARDAMAGE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000400a0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARDIE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000400c0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARFORCEATTACK_01_00.ANI	1	23	0	0	0	0	0	0	0	0	0	
000400d0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARFORCESUPPORT_01_00.ANI	1	7	0	0	0	0	0	0	0	0	0	
00040060	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARIDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040080	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARPOWERUP_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00040050	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLACYST_WARWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a030	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_PEACEDAMAGE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a020	00000003	.\CHARACTER\MONSTER\ANI\	ANABOLA_PEACEIDLE_03_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a021	00000003	.\CHARACTER\MONSTER\ANI\	ANABOLA_PEACEIDLE_03_01.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a022	00000003	.\CHARACTER\MONSTER\ANI\	ANABOLA_PEACEIDLE_03_02.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a010	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_PEACEWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a090	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARATTACK_04_00.ANI	1	10	0	0	0	0	0	0	0	0	0	
0002a091	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARATTACK_04_01.ANI	1	13	0	0	0	0	0	0	0	0	0	
0002a092	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARATTACK_04_02.ANI	1	16	0	0	0	0	0	0	0	0	0	
0002a093	00000004	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARATTACK_04_03.ANI	1	19	0	0	0	0	0	0	0	0	0	
0002a0b0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARCORPSE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a070	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARDAMAGE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a0a0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARDIE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a0c0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARFORCEATTACK_01_00.ANI	1	23	0	0	0	0	0	0	0	0	0	
0002a0d0	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARFORCESUPPORT_01_00.ANI	1	7	0	0	0	0	0	0	0	0	0	
0002a060	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARIDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a080	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARPOWERUP_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
0002a050	00000001	.\CHARACTER\MONSTER\ANI\	ANABOLA_WARWALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
