xeh	string[128]	string[64]	string[64]	END
ID	PathName	FileName	BBoxName	
000000f7	.\CHARACTER\MONSTER\BONE\	ABELDIGAR.BN	ABELDIGAR.BBX	
00000008	.\CHARACTER\MONSTER\BONE\	ADULTSTINKBUG.BN	ADULTSTINKBUG.BBX	
0000002a	.\CHARACTER\MONSTER\BONE\	ANABOLA.BN	ANABOLA.BBX	
00000040	.\CHARACTER\MONSTER\BONE\	ANABOLACYST.BN	ANABOLACYST.BBX	
0000014a	.\CHARACTER\MONSTER\BONE\	ANCIENTHOBOCUTTER.BN	ANCIENTHOBOCUTTER.BBX	
0000014b	.\CHARACTER\MONSTER\BONE\	ANCIENTHOBOTURNPIKE.BN	ANCIENTHOBOTURNPIKE.BBX	
0000014c	.\CHARACTER\MONSTER\BONE\	ANCIENTPASSERA.BN	ANCIENTPASSERA.BBX	
000000bd	.\CHARACTER\MONSTER\BONE\	ANGRYYONGFLEM.BN	ANGRYYONGFLEM.BBX	
0000006f	.\CHARACTER\MONSTER\BONE\	ARCHER.BN	ARCHER.BBX	
00000136	.\CHARACTER\MONSTER\BONE\	ARESFERDRED.BN	ARESFERDRED.BBX	
00000016	.\CHARACTER\MONSTER\BONE\	ARGHOL.BN	ARGHOL.BBX	
0000001a	.\CHARACTER\MONSTER\BONE\	ARGHOLQUICH.BN	ARGHOLQUICH.BBX	
0000003b	.\CHARACTER\MONSTER\BONE\	ARMEDGHOST.BN	ARMEDGHOST.BBX	
00000062	.\CHARACTER\MONSTER\BONE\	ARTHROP.BN	ARTHROP.BBX	
0000005f	.\CHARACTER\MONSTER\BONE\	ASH.BN	ASH.BBX	
00000092	.\CHARACTER\MONSTER\BONE\	ASSASSINBUILDERA.BN	ASSASSINBUILDERA.BBX	
00000093	.\CHARACTER\MONSTER\BONE\	ASSASSINBUILDERB.BN	ASSASSINBUILDERB.BBX	
000000d4	.\CHARACTER\MONSTER\BONE\	ASUS.BN	ASUS.BBX	
00000140	.\CHARACTER\MONSTER\BONE\	B2S.BN	B2S.BBX	
00000094	.\CHARACTER\MONSTER\BONE\	BAALHAMON.BN	BAALHAMON.BBX	
0000013e	.\CHARACTER\MONSTER\BONE\	BACURODEM.BN	BACURODEM.BBX	
0000013b	.\CHARACTER\MONSTER\BONE\	BALKEIN.BN	BALKEIN.BBX	
000000a9	.\CHARACTER\MONSTER\BONE\	BEACON.BN	BEACON.BBX	
00000095	.\CHARACTER\MONSTER\BONE\	BEL.BN	BEL.BBX	
00000096	.\CHARACTER\MONSTER\BONE\	BELGUARD.BN	BELGUARD.BBX	
000000d9	.\CHARACTER\MONSTER\BONE\	BELIUR.BN	BELIUR.BBX	
