xeh	xeh	string[128]	string[64]	string[128]	END
ID	BoneID	PathName	FileName	TexutrePath	
000000f7	000000f7	.\CHARACTER\MONSTER\MESH\	ABELDIGAR.MSH	.\CHARACTER\MONSTER\TEX\	
00000008	00000008	.\CHARACTER\MONSTER\MESH\	ADULTSTINKBUG.MSH	.\CHARACTER\MONSTER\TEX\	
0000002a	0000002a	.\CHARACTER\MONSTER\MESH\	ANABOLA.MSH	.\CHARACTER\MONSTER\TEX\	
00000040	00000040	.\CHARACTER\MONSTER\MESH\	ANABOLACYST.MSH	.\CHARACTER\MONSTER\TEX\	
0000014a	0000014a	.\CHARACTER\MONSTER\MESH\	ANCIENTHOBOCUTTER.MSH	.\CHARACTER\MONSTER\TEX\	
0000014b	0000014b	.\CHARACTER\MONSTER\MESH\	ANCIENTHOBOTURNPIKE.MSH	.\CHARACTER\MONSTER\TEX\	
0000014c	0000014c	.\CHARACTER\MONSTER\MESH\	ANCIENTPASSERA.MSH	.\CHARACTER\MONSTER\TEX\	
000000bd	000000bd	.\CHARACTER\MONSTER\MESH\	ANGRYYONGFLEM.MSH	.\CHARACTER\MONSTER\TEX\	
0000006f	0000006f	.\CHARACTER\MONSTER\MESH\	ARCHER.MSH	.\CHARACTER\MONSTER\TEX\	
00000136	00000136	.\CHARACTER\MONSTER\MESH\	ARESFERDRED.MSH	.\CHARACTER\MONSTER\TEX\	
00000016	00000016	.\CHARACTER\MONSTER\MESH\	ARGHOL.MSH	.\CHARACTER\MONSTER\TEX\	
0000001a	0000001a	.\CHARACTER\MONSTER\MESH\	ARGHOLQUICH.MSH	.\CHARACTER\MONSTER\TEX\	
0000003b	0000003b	.\CHARACTER\MONSTER\MESH\	ARMEDGHOST.MSH	.\CHARACTER\MONSTER\TEX\	
00000062	00000062	.\CHARACTER\MONSTER\MESH\	ARTHROP.MSH	.\CHARACTER\MONSTER\TEX\	
0000005f	0000005f	.\CHARACTER\MONSTER\MESH\	ASH.MSH	.\CHARACTER\MONSTER\TEX\	
00000092	00000092	.\CHARACTER\MONSTER\MESH\	ASSASSINBUILDERA.MSH	.\CHARACTER\MONSTER\TEX\	
00000093	00000093	.\CHARACTER\MONSTER\MESH\	ASSASSINBUILDERB.MSH	.\CHARACTER\MONSTER\TEX\	
000000d4	000000d4	.\CHARACTER\MONSTER\MESH\	ASUS.MSH	.\CHARACTER\MONSTER\TEX\	
00000140	00000140	.\CHARACTER\MONSTER\MESH\	B2S.MSH	.\CHARACTER\MONSTER\TEX\	
00000094	00000094	.\CHARACTER\MONSTER\MESH\	BAALHAMON.MSH	.\CHARACTER\MONSTER\TEX\	
0000013e	0000013e	.\CHARACTER\MONSTER\MESH\	BACURODEM.MSH	.\CHARACTER\MONSTER\TEX\	
