xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
00010380	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_ATTACK_05_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010381	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_ATTACK_05_01.ANI	1	13	0	0	0	0	0	0	0	0	0	
00010382	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_ATTACK_05_02.ANI	2	9	35	0	0	0	0	0	0	0	0	
00010383	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_ATTACK_05_03.ANI	2	11	22	0	0	0	0	0	0	0	0	
00010384	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_ATTACK_05_04.ANI	1	16	0	0	0	0	0	0	0	0	0	
00010320	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_CORPSE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
000103a0	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_CRITICAL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010310	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_DIE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010370	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_IDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010330	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_RECALL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010390	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_SKILL_01_00.ANI	1	20	0	0	0	0	0	0	0	0	0	
00010350	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_STAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010340	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_TAKEUP_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010360	00000001	.\CHARACTER\ANIMUS\ANI\	HECATE_AMY_WALK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00010280	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_MASTER_ATTACK_05_00.ANI	1	13	0	0	0	0	0	0	0	0	0	
00010281	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_MASTER_ATTACK_05_01.ANI	1	13	0	0	0	0	0	0	0	0	0	
00010282	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_MASTER_ATTACK_05_02.ANI	2	9	35	0	0	0	0	0	0	0	0	
00010283	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_MASTER_ATTACK_05_03.ANI	2	11	22	0	0	0	0	0	0	0	0	
00010284	00000005	.\CHARACTER\ANIMUS\ANI\	HECATE_MASTER_ATTACK_05_04.ANI	1	16	0	0	0	0	0	0	0	0	0	
