xeh	xeh	string[128]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ID	Num	PathName	FileName	EffectNum	EffectFrame_0	EffectFrame_1	EffectFrame_2	EffectFrame_3	EffectFrame_4	EffectFrame_5	EffectFrame_6	EffectFrame_7	EffectFrame_8	EffectFrame_9	
00402880	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_ATTACK_01_00.ANI	4	7	13	19	25	0	0	0	0	0	0	
00402820	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_CORPSE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00402800	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_CREATE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
004028a0	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_CRITICAL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00402810	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_DIE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00402870	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_IDLE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00402830	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_RECALL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00402850	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_STAND_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00402840	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_GUARDTOWER_040_TAKEUP_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00420080	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_UNMANNEDMINER_000_ATTACK_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00420020	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_UNMANNEDMINER_000_CORPSE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00420000	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_UNMANNEDMINER_000_CREATE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
004200a0	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_UNMANNEDMINER_000_CRITICAL_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
00420010	00000001	.\CHARACTER\GUARDTOWER\ANI\	ACCRETIA_UNMANNEDMINER_000_DIE_01_00.ANI	0	0	0	0	0	0	0	0	0	0	0	
